head,role,condition,signed_mean,mean_absolute_pair,max_absolute_pair,mean_absolute_family
L12H17,target,corruption,9.091974934563136e-05,0.00222704914631318,0.0163510544225573,0.002017682208679591
L12H17,source,reorder,-0.011075756183708985,0.014521160602453115,0.0332078733481466,0.011196013513836043
L12H17,source,corruption,-0.0006616870057769073,0.0014281673240474952,0.0059961974620819,0.0013967312755994205
L12H2,target,reorder,0.0008107712375931445,0.00487863362068306,0.0342170968651771,0.0042341844062320656
L12H2,target,corruption,0.0002446768456138532,0.005858375539537474,0.0404658415354788,0.005712374474387576
L12H2,source,reorder,-0.00993308153992982,0.014472413147450375,0.0650196559727191,0.010821132923592791
L12H2,source,corruption,-0.00031063773203640984,0.002676535095088135,0.0095402002334594,0.0023504248587414302
L12H9,target,reorder,0.004619085998274376,0.00931383168790485,0.0276696272194385,0.005471234815195184
L12H9,target,corruption,0.00010276054963469991,0.00940943430177862,0.0305888783186674,0.008884642343036786
L12H9,source,reorder,0.0028391969855874693,0.007272326643578663,0.0315788658335804,0.004037472256459275
L12H9,source,corruption,0.00035057862987741557,0.0015511263511143155,0.0061540063470602,0.0010369775001890823
L13H1,target,reorder,-0.000231349212117486,0.000985315907746507,0.004304482601583,0.0005899894051253639
L13H1,target,corruption,0.00016950020217335374,0.0015633054717909087,0.0058265337720513,0.0014585219614673052
L13H1,source,reorder,0.0009230762487277107,0.0012088771094567606,0.0041799298487603,0.0009834891010541147
L13H1,source,corruption,-6.816413952036211e-05,0.00018705134862099599,0.0005794335156679,0.0001689269673078961
L13H10,target,reorder,2.4579433375035805e-05,0.0007394900050712316,0.0029506284045055,0.0003988097159890251
L13H10,target,corruption,-0.00013570728333432805,0.0009282618746510221,0.004591362318024,0.0008939381790696168
L13H10,source,reorder,-0.004041968006640655,0.0065275199245661,0.0170777849853038,0.005308310315012905
L13H10,source,corruption,-0.00016385106137021776,0.0008775027352384855,0.0038960818201303,0.0007317150826565678
L13H22,target,reorder,-0.0003204656793968775,0.0032274134486214726,0.0116663123480975,0.0028062529425369226
L13H22,target,corruption,0.00010165853309445247,0.0020696897816378074,0.0060638897120952,0.0019045192108023523
L13H22,source,reorder,-0.039243640366476006,0.04676508790580551,0.1176436208188533,0.039243640366476
L13H22,source,corruption,-0.0014898598194122228,0.007651247736066538,0.0498556643724441,0.007303629815578433
L13H30,target,reorder,9.868276538333549e-06,0.00032220930443141135,0.0012896927073597,0.00023364525404756046
L13H30,target,corruption,-0.00024683353258295757,0.00039081233553584963,0.001250889385119,0.0003828997374511923
L13H30,source,reorder,-4.039519117213389e-05,0.00043768589966925836,0.0013456146698445,0.000337127939565075
L13H30,source,corruption,1.9760039867832404e-05,0.00011208282667209843,0.000255248742178,0.00010000351467167476
L14H10,target,reorder,-0.004494558396982,0.006253142555942714,0.0218881773762404,0.005635915120365062
L14H10,target,corruption,0.0010820269642863242,0.0027060861990320954,0.008602637797594,0.002614738541888026
L14H10,source,reorder,-0.02383979513542725,0.03682250572601329,0.1036387309432029,0.02850713935913516
