head,routing_signed,routing_mean_absolute,values_mean_absolute,interaction_mean_absolute
L14H26,-0.0012935466980666258,0.008726827214273173,0.05738322118694863,0.004585775096764725
L15H0,0.0004781283689348885,0.008110233906949505,0.0024703995565350137,0.004042397724108749
L15H2,-0.002353341391917025,0.007266682185483783,0.010000255670440331,0.008904103482707162
L15H3,-0.010257994191030437,0.026435739538642797,0.05172210864806443,0.018142142992341116
L15H18,-0.006762804610005925,0.06895346052191231,0.051700683122270566,0.021267703409945028
L15H25,0.005101771836870172,0.02335340521308813,0.17200338170769508,0.019681437631671347
L15H27,0.0004867435841078169,0.005978911110524381,0.008209346385484331,0.003850208239608936
L15H28,0.001190153400549728,0.021787568424524884,0.022286061490519662,0.013790109184350861
L15H29,-0.0005740315726633822,0.0035184099433127414,0.0040665422932485516,0.005508452319027333
L16H1,0.043036728762508775,0.17634283558706218,0.8259381102711967,0.13726323575116275
L16H2,0.00019798921735099192,0.007436034384738194,0.01304519846198264,0.004950957351856017
L16H4,0.0029098746481906164,0.010711166296112403,0.02163435903827796,0.006664477037579826
L16H16,0.004612017213628533,0.008927275625507483,0.016042912943979328,0.0062203728750850375
L16H21,-0.05224114857362897,0.16841033871254224,0.9464142938678184,0.1282574621479163
L16H24,-0.003973130429728648,0.05155406373270442,0.05256434772791487,0.022838592529296875
L16H31,-0.0067957010162010625,0.03464728794740827,0.1663578145959404,0.031110364399599227
L17H1,-0.0001274280333786868,0.015377730466006847,0.05395217424028375,0.036245276418964516
L17H3,-0.10101765996954415,0.15287801388944133,0.3612047393670243,0.10509852612956186
L17H5,0.0005107997508531206,0.02230986584438367,0.05851079104991441,0.03270354431666685
L17H17,-0.011850158819991552,0.08298309733358662,0.5247589122043567,0.04366559660836552
L17H24,-0.006209678864211179,0.07091468103816,0.4220156026690194,0.14795596412058626
L18H5,-0.0008844150586074657,0.007229992512906535,0.009653190548500319,0.006872161050860802
L18H15,0.00018988566452197815,0.0077719554472505375,0.01119227891557672,0.008078009894724642
L18H18,0.10974017153964953,0.4062739061505607,2.8844732273830456,0.8106310233641206
L18H19,0.08061873510982213,0.256548736872298,3.157418727874756,0.5423982545231165
L18H22,0.017659535568751647,0.03539170575945565,0.08969974517822266,0.030135379748398
L18H24,-0.02824838509720363,0.288748446475254,0.5814457743355398,0.4709165819575278
L19H16,-0.16423480430345858,0.2030811095505618,0.6859003399195296,0.3213887830798546
L19H20,0.0028313143869464316,0.0050971802700771375,0.0028860274325595812,0.004733798209201084
L19H22,0.014048220066542036,0.06899151909217406,0.4203921275192432,0.1578067313419299
L20H1,-0.21467035807920307,0.3148033752870024,1.2969278807050726,0.5822802768664413
L20H7,-0.039472783549448075,0.10361488213699856,0.22124739443318228,0.13094648082604568
L20H14,2.0675444870852353e-05,0.019991269272364928,0.019652532727530835,0.023898874775747234
L21H6,0.004665572991531887,0.09028973204366277,0.6203096458751164,0.2836606117446771
L21H11,-0.0007585836260506276,0.0026437941561923937,0.0023063595375318207,0.003509108939867341
L21H18,0.011019240604357773,0.16002463758661506,1.6949202130349834,0.46601131926761585
L21H22,-0.0009269633989655569,0.003777683450934592,0.0023898676540074723,0.003884245840351233
L21H23,-0.0034353545542513387,0.0661656293976173,0.6386165190278814,0.23737699530097875
L21H24,0.004286524954806553,0.016480944129858125,0.015199554100465239,0.023238787490330384
L21H25,0.0014155152138699307,0.037702951538428835,0.05090716983495134,0.07660947488934806
L21H27,0.0011953450320811754,0.03857809238219529,0.03601715537939179,0.05301172813672698
L22H5,-0.004524198810705978,0.2381301944175463,1.0522937988967038,0.6131503608789337
L22H15,0.00026648767878500264,0.0023367110263095812,0.0016439148549283488,0.0027347575412707383
L22H31,0.00020393628752633428,0.014819659543841074,0.016653516319360625,0.0310788101024842
L23H10,0.005866522199652168,0.02231986870926418,0.03987730219123069,0.0432023841343569
L23H15,-0.09324709217200118,0.17120082726639307,0.8512617872002419,0.332384564903345
L23H17,-0.0004753745004032435,0.0024229917633399535,0.002061592059189014,0.002990537814879685
L24H17,-0.01691803771458315,0.06605413522613182,0.09032254272632384,0.09288869814926319
L25H11,0.0003473410445652651,0.001915095897203081,0.001805053668075733,0.0026632158943776336
L25H13,0.005237715967585531,0.012395314955979252,0.002654397085811315,0.0045181820901592125
L25H15,0.00022248471720834797,0.002543085076835718,0.002333946442336179,0.003526216142632988
L25H17,-0.016369567828231985,0.08463278245390131,1.2935328805044797,0.25865462254942134
L25H18,-0.012557276179281514,0.075392948107773,0.06555631723296776,0.12718208720175067
L25H20,0.0006918049930186754,0.002713562397474653,0.002169292964292376,0.00324122825365388
L25H21,-0.00622758704624819,0.047972724678811064,0.04436609182464943,0.09752415271287554
L26H23,-0.052419105272614556,0.2038070700141821,0.3359150029300304,0.5222446838121736
L26H31,0.0012191761745495742,0.0461323716667261,0.04806383540121357,0.08962224038799158
L27H6,0.2691686930281393,0.6746540819661001,2.667790589707621,1.253567331292656
L27H23,-0.00042589059036769224,0.005899231085616551,0.004824488350514616,0.007593401362386982
L28H1,0.0013452272736624385,0.0035639773593859727,0.0022403363431437633,0.004060895255442416
L28H15,-0.0023545683099982445,0.009487130668725861,0.007886891954400566,0.014595910404505355
L29H5,0.0008180570066644904,0.003070651815178689,0.0017606756660375703,0.0018622339441535178
