head,mean_residual,mean_absolute_residual,max_absolute_residual
L21H11,0.0006468772888183639,0.06442041397094726,0.1470947265625
L21H18,0.0007735252380371149,0.06376008987426758,0.1616363525390625
L21H22,-0.0034230232238769377,0.06300935745239256,0.1492919921875
L21H23,0.0013085365295410212,0.06528940200805664,0.20721435546875
L21H24,-0.0029749393463134603,0.06255984306335446,0.1444549560546875
L21H25,-0.004172849655151353,0.06565537452697753,0.1452484130859375
L21H27,-0.0017597913742065283,0.06017582416534423,0.174072265625
L21H6,0.0015040874481201283,0.0620007038116455,0.1670684814453125
L22H15,-0.002164840698242169,0.06385841369628904,0.1428680419921875
L22H31,0.002527713775634783,0.06268453598022458,0.16375732421875
L22H5,0.0012249946594238448,0.06371259689331052,0.1664886474609375
L23H10,-0.003144073486328125,0.05378570556640625,0.188629150390625
L23H15,-0.0014548301696777287,0.050214290618896484,0.1683502197265625
L23H17,-0.001898288726806642,0.05122995376586914,0.1810302734375
L24H17,-0.0029677391052246064,0.05466604232788086,0.1372833251953125
L25H11,-0.008801651000976555,0.05161247253417968,0.129638671875
L25H13,-0.004895687103271477,0.0508101463317871,0.1152191162109375
L25H15,-0.007185745239257801,0.0476886749267578,0.15240478515625
L25H17,-0.0033105850219726507,0.05135211944580078,0.111236572265625
L25H18,-0.004524636268615716,0.050317788124084474,0.1116180419921875
L25H20,-0.006712532043457027,0.050060462951660153,0.115478515625
L25H21,-0.0025918960571289077,0.05028247833251953,0.121337890625
L26H23,-0.012304890155792227,0.05033529996871947,0.2231597900390625
L26H31,-0.0036098480224609373,0.044620513916015625,0.132843017578125
L27H23,-0.005648326873779282,0.04493055343627928,0.162017822265625
L27H6,-0.014878416061401344,0.05354647636413572,0.20786094665527255
L28H1,0.0011758804321289086,0.043234062194824216,0.134033203125
L28H15,-0.00043354034423828436,0.04135150909423828,0.140625
L29H5,-0.002296829223632814,0.034569931030273435,0.1029052734375
L2H1,-0.03216819763183591,0.16035728454589843,0.4453125
L2H21,-0.03218727111816405,0.14877357482910156,0.42236328125
L2H22,-0.03676471710205077,0.15246143341064453,0.46142578125
L30H13,-0.00078887939453125,0.02427749633789063,0.12451171875
L30H18,-0.0032985687255859377,0.02955780029296875,0.105712890625
L30H3,-0.001976990699768061,0.022898697853088387,0.116943359375
L31H1,7.37257477290143e-19,3.165870343657673e-18,5.0306980803327406e-17
L3H11,-0.037797164916992164,0.16434135437011715,0.43115234375
L4H0,-0.03638715744018552,0.15800886154174804,0.5146484375
L5H18,-0.03624010086059569,0.15897569656372068,0.411376953125
L6H12,-0.044210433959960924,0.14747886657714843,0.389404296875
L6H2,-0.038159275054931635,0.15615396499633788,0.455810546875
L6H24,-0.048957538604736305,0.16507844924926757,0.47717761993408203
L7H1,-0.02184259891510009,0.15921289920806886,0.441650390625
L7H18,-0.03538770675659179,0.16200132369995118,0.421875
L7H25,-0.04468870162963866,0.1562838554382324,0.373046875
L8H15,0.02685093879699707,0.1681365489959717,0.566162109375
L8H16,-0.030283832550048812,0.14219789505004882,0.3743896484375
L8H8,-0.029796695709228493,0.14215173721313473,0.4052734375
L9H16,-0.0494607925415039,0.1403512954711914,0.373291015625
L9H17,-0.04031057357788085,0.13795766830444336,0.375244140625
L9H22,-0.030358219146728493,0.1287896156311035,0.334228515625
L9H23,-0.0326663017272949,0.1422366142272949,0.3603515625
L9H26,-0.03843574523925779,0.13679847717285154,0.357421875
L9H6,-0.03539304733276366,0.14153776168823243,0.338134765625
