head,signed_mean,mean_absolute_family,max_absolute_family
L17H1,-0.13456893563270572,0.8889026343822479,2.334522247314453
L17H17,0.013599967956542983,0.056640052795410144,0.13626861572265625
L17H24,-0.008146858215332009,0.055864906311035134,0.1307373046875
L17H3,0.028858757019042985,0.05521755218505857,0.12363815307617185
L17H5,-0.0035170316696166897,0.052844738960266105,0.1419677734375
L18H15,0.0010615348815918204,0.047880268096923806,0.1103515625
L18H18,0.005394554138183625,0.06586551666259767,0.149566650390625
L18H19,-0.006719589233398396,0.05667037963867187,0.1431884765625
L18H22,0.004761600494384777,0.04971418380737304,0.1281585693359375
L18H24,0.00507192611694337,0.05046815872192382,0.11043548583984375
L18H5,0.004994106292724622,0.043734073638916,0.130157470703125
L19H16,-0.0017784357070922776,0.05590670108795166,0.123870849609375
L19H20,-0.00473327636718749,0.04963378906249999,0.135162353515625
L19H22,-0.003108859062194815,0.050899386405944824,0.112156867980957
L1H27,-0.040774345397949205,0.1111440658569336,0.30316162109375
L20H1,0.010705757141113282,0.051761436462402347,0.0989990234375
L20H14,-0.00450537204742431,0.04716947078704833,0.11128807067871074
L20H7,-0.002704548835754378,0.04729683399200438,0.0997314453125
L21H11,0.000646877288818365,0.04300317764282226,0.09307861328125
L21H18,0.0007735252380371149,0.04301042556762695,0.10504150390625
L21H22,-0.0034230232238769377,0.04016084671020506,0.12127685546875
L21H23,0.00130853652954102,0.04816293716430663,0.1129150390625
L21H24,-0.00297493934631346,0.04128298759460448,0.10845947265625
L21H25,-0.004172849655151353,0.04796738624572752,0.10516357421875
L21H27,-0.0017597913742065253,0.039908337593078595,0.10015869140625
L21H6,0.00150408744812013,0.0431408405303955,0.09185791015625
L22H15,-0.0021648406982421676,0.04038734436035154,0.09783935546875
L22H31,0.002527713775634785,0.042256069183349586,0.08184814453125
L22H5,0.0012249946594238448,0.04443616867065428,0.10760498046875
L23H10,-0.003144073486328125,0.03695755004882813,0.09771728515625
L23H15,-0.0014548301696777274,0.03216009140014648,0.10430908203125
L23H17,-0.00189828872680664,0.03370981216430664,0.0977020263671875
L24H17,-0.002967739105224605,0.036131191253662105,0.0908203125
L25H11,-0.008801651000976555,0.031110000610351556,0.071044921875
L25H13,-0.004895687103271475,0.0313307762145996,0.0882568359375
L25H15,-0.0071857452392578,0.0313770294189453,0.0749359130859375
L25H17,-0.00331058502197265,0.03044986724853515,0.0869293212890625
L25H18,-0.004524636268615715,0.030910897254943837,0.08380126953125
L25H20,-0.006712532043457027,0.030850410461425774,0.0718994140625
L25H21,-0.002591896057128905,0.0320486068725586,0.09027099609375
L26H23,-0.012304890155792225,0.033959758281707754,0.082763671875
L26H31,-0.0036098480224609373,0.02953948974609375,0.08563232421875
L27H23,-0.00564832687377928,0.02862958908081053,0.064697265625
L27H6,-0.014878416061401343,0.03337893486022947,0.0899200439453125
L28H1,0.0011758804321289102,0.029166984558105468,0.082122802734375
L28H15,-0.0004335403442382826,0.028930091857910158,0.078857421875
L29H5,-0.0022968292236328126,0.022340011596679688,0.05255126953125
L2H1,-0.03216819763183591,0.09759979248046873,0.24169921875
L2H21,-0.03218727111816405,0.10007362365722657,0.21826171875
L2H22,-0.03676471710205077,0.1076242446899414,0.23974609375
L30H13,-0.00078887939453125,0.0157135009765625,0.0598602294921875
L30H18,-0.0032985687255859377,0.017815017700195314,0.04876708984375
L30H3,-0.00197699069976806,0.014867997169494634,0.056396484375
L31H1,7.372574772901432e-19,3.1658703436576736e-18,2.5153490401663706e-17
L3H11,-0.037797164916992164,0.10788536071777341,0.2314453125
L4H0,-0.03638715744018552,0.1036288261413574,0.236328125
L5H18,-0.03624010086059569,0.10222826004028318,0.25146484375
L6H12,-0.044210433959960924,0.11026725769042967,0.24755859375
L6H2,-0.03815927505493163,0.11205377578735351,0.2431640625
L6H24,-0.048957538604736305,0.12145032882690428,0.347963809967041
L7H1,-0.02184259891510009,0.1070781946182251,0.30078125
L7H18,-0.03538770675659179,0.11930112838745117,0.2568359375
L7H25,-0.04468870162963866,0.11148939132690427,0.251953125
L8H15,0.02685093879699707,0.12274165153503418,0.25508880615234375
L8H16,-0.030283832550048812,0.10291528701782227,0.20599365234375
L8H8,-0.029796695709228493,0.10493631362915037,0.23388671875
L9H16,-0.049460792541503894,0.11720104217529297,0.2317962646484373
L9H17,-0.04031057357788084,0.10465383529663086,0.20068359375
L9H22,-0.030358219146728493,0.09994287490844725,0.208251953125
L9H23,-0.0326663017272949,0.10881757736206052,0.2630615234375
L9H26,-0.03843574523925779,0.10462989807128904,0.196533203125
L9H6,-0.03539304733276366,0.09901685714721678,0.18832969665527322
