head,anchor,current_role,events,families,target,control,gap
L23H15,first,neither,32,25,0.004530683387808192,0.005442660129629076,-0.000911976741820884
L23H15,last,neither,32,25,0.01795833818614483,0.019171259816115102,-0.0012129216299702724
L24H17,first,neither,82,38,0.012501535487995407,0.012848054201330932,-0.00034651871333552366
L24H17,last,neither,82,38,0.008661158785444536,0.008164034522620536,0.0004971242628240011
L24H17,first,control,34,18,0.018850693660270836,0.021863802602402522,-0.003013108942131684
L24H17,last,control,34,18,0.006808751348095636,0.007204362460308606,-0.00039561111221296915
L25H17,first,neither,58,25,0.01285162892351703,0.012710055641498505,0.000141573282018524
L25H17,last,neither,58,25,0.010687848580380282,0.012197723015098645,-0.0015098744347183638
L25H17,first,control,73,32,0.012503812853083218,0.011616940252931978,0.0008868726001512387
L25H17,last,control,73,32,0.01257041543597855,0.008338419992267315,0.004231995443711236
L25H18,first,neither,32,16,0.008634219489370782,0.004850434035688522,0.0037837854536822606
L25H18,last,neither,32,16,0.027050028344206115,0.016131825433212222,0.010918202910993893
L25H18,first,control,10,7,0.007790420869631427,0.008923276349724759,-0.0011328554800933322
L25H18,last,control,10,7,0.015967267232814004,0.014150432510567563,0.0018168347222464426
L25H18,first,target,4,1,0.0,0.012844419727722805,-0.012844419727722805
L25H18,last,target,4,1,0.13046452030539513,0.020829685032367706,0.10963483527302742
L26H23,first,neither,39,22,0.01345667509436184,0.010193492748922754,0.0032631823454390874
L26H23,last,neither,39,22,0.014841811003861949,0.016694584536845938,-0.001852773532983988
L26H23,first,control,18,16,0.01629248460085364,0.0071058071140820776,0.009186677486771561
L26H23,last,control,18,16,0.011033021262846887,0.012539565082988702,-0.0015065438201418144
L26H23,first,target,1,1,0.0,0.0,0.0
L26H23,last,target,1,1,0.03854791447520256,0.01284930482506752,0.02569860965013504
L26H31,first,control,7,4,0.04697807878255844,0.02231984135384361,0.024658237428714827
L26H31,last,control,7,4,0.007530659029725939,0.0030200219092269736,0.0045106371204989655
L26H31,first,neither,19,9,0.02029100846740659,0.011541123272575162,0.008749885194831424
L26H31,last,neither,19,9,0.02577852151805052,0.012768882424800575,0.013009639093249944
L27H6,first,neither,1,1,0.0,0.07663169503211975,-0.07663169503211975
L27H6,last,neither,1,1,0.020999081432819366,0.0,0.020999081432819366
L27H23,first,neither,533,89,0.007799879665297285,0.009796731013372438,-0.0019968513480751546
L27H23,last,neither,533,89,0.03210016550576447,0.030113679361349434,0.0019864861444150402
L30H3,first,neither,96,31,0.006056365653759472,0.00918892259792858,-0.0031325569441691074
L30H3,last,neither,96,31,0.04126951037210641,0.04778682139172151,-0.006517311019615096
L30H3,first,control,39,24,0.005151986173283755,0.008244277116722917,-0.0030922909434391646
L30H3,last,control,39,24,0.045161881464688726,0.04460753940252795,0.0005543420621607897
L30H3,first,target,27,9,0.0023368308320641518,0.006270029227088355,-0.003933198395024203
L30H3,last,target,27,9,0.03621489954767403,0.04954298677635782,-0.013328087228683779
L30H13,first,control,5,3,0.03762211153904597,0.01778313336479995,0.01983897817424602
L30H13,last,control,5,3,0.01693937989572684,0.015431166109111572,0.0015082137866152662
L30H13,first,target,1,1,0.0,0.054438948476066194,-0.054438948476066194
L30H13,last,target,1,1,0.025312576442956924,0.021302742262681324,0.0040098341802756
L30H18,first,neither,1,1,0.0,0.0,0.0
L30H18,last,neither,1,1,0.0,0.0,0.0
L31H1,first,neither,76,26,0.015797093683758225,0.010134128684124017,0.00566296499963421
L31H1,last,neither,76,26,0.02124896475310939,0.017137072993799123,0.004111891759310263
