head,anchor,current_role,events,families,target,control,gap
L11H3,first,target,2,1,0.0,0.013565702402653793,-0.013565702402653793
L11H3,last,target,2,1,0.0,0.04228394664824009,-0.04228394664824009
L11H4,first,control,51,28,0.016379591070913843,0.010139410849510495,0.006240180221403346
L11H4,last,control,51,28,0.017313140224792904,0.018575877802620183,-0.0012627375778272779
L11H4,first,neither,43,21,0.012534095274861014,0.006830944262307,0.005703151012554015
L11H4,last,neither,43,21,0.007863199499080934,0.004059440939423565,0.003803758559657369
L11H7,first,neither,1232,89,0.022422338339580114,0.022791489981460213,-0.0003691516418801028
L11H7,last,neither,1232,89,0.01464592490870849,0.013443103032382242,0.0012028218763262492
L11H15,first,control,862,89,0.012905358282231395,0.012868587455701802,3.677082652959925e-05
L11H15,last,control,862,89,0.018195671937175466,0.012527417593191753,0.005668254343983713
L11H15,first,neither,158,51,0.01383566649641101,0.0141362446220079,-0.0003005781255968895
L11H15,last,neither,158,51,0.017129184749850482,0.015760340294522068,0.001368844455328413
L11H27,first,control,347,82,0.010517529943269583,0.013872558503641266,-0.003355028560371683
L11H27,last,control,347,82,0.013508556335438059,0.00979798508570512,0.0037105712497329424
L11H27,first,neither,71,47,0.009263902074279238,0.006884989743451322,0.002378912330827915
L11H27,last,neither,71,47,0.01850653934743531,0.02074912009932628,-0.00224258075189097
L12H2,first,control,40,27,0.016802475937170745,0.013997320664487013,0.0028051552726837342
L12H2,last,control,40,27,0.011113938579787097,0.014116688395171032,-0.003002749815383934
L12H2,first,target,8,5,0.040280163660645484,0.012612250274590526,0.02766791338605496
L12H2,last,target,8,5,0.04114601835608482,0.013815922072778148,0.027330096283306682
L12H2,first,neither,4,3,0.01596512831747532,0.005173500782499711,0.010791627534975609
L12H2,last,neither,4,3,0.020411804939309757,0.03214078634563419,-0.011728981406324439
L12H9,first,control,34,18,0.014418463422744363,0.012169887308572257,0.002248576114172105
L12H9,last,control,34,18,0.008202382951923128,0.011563141208036408,-0.003360758256113277
L12H9,first,neither,15,9,0.027898268601684664,0.01530948373845514,0.01258878486322952
L12H9,last,neither,15,9,0.019671101899196703,0.013091702229791771,0.006579399669404935
L12H17,first,neither,62,30,0.0155734293172524,0.014696089498595228,0.0008773398186571691
L12H17,last,neither,62,30,0.007957818877055413,0.014134514516529938,-0.006176695639474524
L12H17,first,control,5,3,0.0,0.01469996271448003,-0.01469996271448003
L12H17,last,control,5,3,0.01032277507086595,0.020776941337519225,-0.010454166266653275
L13H1,first,neither,20,8,0.017101561557501553,0.008961109524049486,0.008140452033452069
L13H1,last,neither,20,8,0.009275603690184653,0.006632100406226489,0.0026435032839581636
L13H10,first,neither,31,19,0.020379621339471715,0.017529661577243946,0.0028499597622277696
L13H10,last,neither,31,19,0.011467064559263619,0.013539774686490235,-0.002072710127226616
L13H10,first,target,2,2,0.016050497069954872,0.0008889839518815279,0.015161513118073344
L13H10,last,target,2,2,0.035827670246362686,0.02268028321365515,0.013147387032707535
L13H10,first,control,8,5,0.0011216644197702408,0.01677297065034509,-0.015651306230574848
L13H10,last,control,8,5,0.008604468777775764,0.018495335512691075,-0.00989086673491531
L13H22,first,neither,149,56,0.002990903990437454,0.004971808003785323,-0.001980904013347869
L13H22,last,neither,149,56,0.01568278107096419,0.0241547050757141,-0.008471924004749911
L13H22,first,control,5,5,0.012001554761081935,0.011077031741539638,0.0009245230195422973
L13H22,last,control,5,5,0.011870958469808101,0.01609039803345998,-0.004219439563651879
L14H10,first,neither,240,76,0.008999764521240535,0.0067220913982888215,0.0022776731229517144
L14H10,last,neither,240,76,0.013766377396700958,0.012929173421029795,0.0008372039756711574
L14H10,first,control,5,4,0.009630070417188108,0.011523666636397442,-0.0018935962192093332
L14H10,last,control,5,4,0.02439419543952681,0.019483930043255288,0.004910265396271522
L14H23,first,control,872,89,0.015694273665523704,0.01445317518867586,0.0012410984768478509
L14H23,last,control,872,89,0.003171822299580536,0.006960970864460663,-0.003789148564880127
L14H23,first,neither,677,89,0.01551214479890216,0.016221383083994283,-0.0007092382850921167
L14H23,last,neither,677,89,0.004806096422583015,0.0049309271427824255,-0.00012483072019940986
L14H26,first,control,27,13,0.008723981750126068,0.012409508515609045,-0.003685526765482977
