writer,site,readout,family,head_site_shift,head_span_shift,intact_corrupted_shift,irrelevant_shift,none_shift,intact
L17H1,query_period,identity,154,-0.013671875,-0.013671875,0.0,0.013671875,0.7695302963256836,-6.26171875
L17H1,query_period,identity,162,-0.0234372615814209,-0.0234372615814209,-0.021484851837158203,-0.03515625,0.421875,-1.47265625
L17H1,query_period,identity,176,-0.0644533634185791,-0.0644533634185791,-0.068359375,-0.0742189884185791,0.2792966365814209,-1.705077886581421
L17H1,query_period,identity,178,-0.025390625,-0.025390625,-0.0234375,-0.0234375,-0.392578125,0.033203125
L17H1,query_period,identity,186,-0.0195314884185791,-0.0195314884185791,-0.033203125,-0.03125,-0.36328125,0.30859375
L17H1,query_period,identity,192,-0.068359375,-0.068359375,-0.0644533634185791,-0.0625,-0.681640625,-0.626953125
L17H1,query_period,identity,196,-0.0546875,-0.0546875,-0.078125,-0.076171875,-0.21875,0.1015625
L17H1,query_period,mother_of,0,-0.012695550918579102,-0.012695550918579102,-0.010742425918579102,-0.010742664337158203,0.0019533634185791016,5.203125238418579
L17H1,query_period,mother_of,16,-0.0224609375,-0.0224609375,-0.0224609375,-0.0244140625,-0.103515625,0.60546875
L17H1,query_period,mother_of,32,-0.021484375,-0.021484375,-0.0244140625,-0.029296875,-0.1220703125,0.2626953125
L17H1,query_period,mother_of,48,-0.0126953125,-0.0126953125,-0.013671875,-0.0107421875,0.0361328125,0.4755859375
L17H1,query_period,mother_of,56,-0.0263671875,-0.0263671875,-0.0205078125,-0.017578125,0.0263671875,0.3212890625
L17H1,query_period,mother_of,64,-0.0234375,-0.0234375,-0.021484375,-0.0166015625,0.0673828125,-0.4111328125
L17H1,query_period,mother_of,82,-0.0380859375,-0.0380859375,-0.0322265625,-0.0283203125,-0.0283203125,1.7099609375
L17H1,query_period,mother_of,96,-0.0078125,-0.0078125,-0.025390625,-0.0126953125,0.0849609375,1.3427734375
L17H1,query_period,mother_of,98,-0.01171875,-0.01171875,-0.015625,-0.01171875,0.123046875,0.072265625
L17H1,query_period,mother_of,102,-0.0292971134185791,-0.0292971134185791,-0.0312504768371582,-0.0351564884185791,-0.037110328674316406,-2.927733898162842
L17H1,query_period,mother_of,116,-0.0361328125,-0.0361328125,-0.044921875,-0.046875,-0.017578125,0.580078125
L17H1,query_period,mother_of,130,-0.0146484375,-0.0146484375,-0.015625,-0.01953125,0.05078125,-0.70703125
L17H1,query_period,mother_of,150,-0.0302734375,-0.0302734375,-0.03125,-0.037109375,-0.0068359375,1.8486328125
L17H1,query_period,mother_of,154,-0.0722658634185791,-0.0722658634185791,-0.09375,-0.0957033634185791,-0.1054694652557373,-2.859374761581421
L17H1,query_period,mother_of,162,-0.0205078125,-0.0205078125,-0.013671875,-0.015625,-0.025390625,0.22265625
L17H1,query_period,mother_of,176,-0.005859375,-0.005859375,-0.0087890625,-0.00390625,-0.0302734375,0.2978515625
L17H1,query_period,mother_of,178,-0.0185546875,-0.0185546875,-0.02734375,-0.033203125,-0.064453125,-0.0234375
L17H1,query_period,mother_of,186,-0.0283203125,-0.0283203125,-0.029296875,-0.0244140625,-0.03125,-0.345703125
L17H1,query_period,mother_of,192,-0.0146484375,-0.0146484375,-0.0126953125,-0.009765625,0.005859375,-1.2734375
L17H1,query_period,mother_of,196,-0.0166015625,-0.0166015625,-0.0419921875,-0.0439453125,0.0185546875,0.9013671875
