id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G1:O4:conditional:L18H19,noise,89,1.945986758457141,1.9564162265048939,1.864227294921875,-0.26953125,7.197601318359375,0.9662921348314607,0.9775280898876404,True,coherent,1.7389556397213024,2.1694529351223717,1.574037101831329,11.170458413241954,0.17420831683597537,0.17514198201442402,G1,O4,conditional,595,,,
G1:O4:conditional:L18H19,restore,89,1.8376035154535528,1.8382723304662811,1.8078765869140625,-0.02976226806640625,3.94293212890625,0.9887640449438202,0.9887640449438202,True,coherent,1.6833883676636083,1.9889451160859526,1.568142880214734,11.170458413241954,0.1645056494078324,0.1645655229589425,G1,O4,conditional,595,,,
G1:O4:whole,noise,89,3.2072084137562955,3.2520782545711215,3.0921859741210938,-1.045654296875,9.8944091796875,0.9775280898876404,1.0,True,coherent,2.846597743704078,3.5832262471820524,3.3563660503773205,11.170458413241954,0.28711520110529476,0.29113203185251235,G1,O4,whole,,,,
G1:O4:whole,restore,89,3.0227726711316056,3.0477900558643127,2.9467697143554688,-0.839111328125,5.8840789794921875,0.9775280898876404,1.0,True,coherent,2.721656986836637,3.322396596629968,3.526862326632725,11.170458413241954,0.27060417391181346,0.27284377624568457,G1,O4,whole,,,,
G2:L14H23:change,noise,89,0.000997243302591731,0.026084299837605338,0.004150390625,-0.16950225830078125,0.08282470703125,0.550561797752809,0.011235955056179775,False,below_rule,-0.00659825788455063,0.008154628919751456,0.052834392933363325,11.170458413241954,8.927505619729579e-05,0.0023351145380644234,G2,,change,471,,,
G2:L14H23:change,restore,89,0.0056214734409632304,0.024279280994715314,0.003795623779296875,-0.096221923828125,0.112518310546875,0.6067415730337079,0.011235955056179775,False,below_rule,-0.0011522325237145585,0.012513053551148828,0.04756537983926495,11.170458413241954,0.0005032446505775706,0.0021735259285271214,G2,,change,471,,,
G2:L14H23:conditional,noise,89,-0.1341525088535266,0.21162699581531996,-0.12921142578125,-0.743499755859375,0.434814453125,0.6966292134831461,0.7191011235955056,True,heterogeneous,-0.18276465300763592,-0.08686284657274745,0.46458732947874604,11.170458413241954,-0.012009579543709351,0.018945238233414662,G2,,conditional,471,,,
G2:L14H23:conditional,restore,89,-0.10446254590923866,0.18301809235904995,-0.0941162109375,-0.99462890625,0.451171875,0.6629213483146067,0.5955056179775281,True,heterogeneous,-0.15351549299915185,-0.05765197632018101,0.45706351955285235,11.170458413241954,-0.009351679406943958,0.016384116532056753,G2,,conditional,471,,,
G2:L15H3:change,noise,89,-0.0016916789365618416,0.012519193499275808,-0.00091552734375,-0.0505523681640625,0.047119140625,0.5280898876404494,0.0,False,below_rule,-0.005167993936645851,0.0017013422558816622,0.025547713376163097,11.170458413241954,-0.00015144221248399714,0.0011207412476855027,G2,,change,483,,,
G2:L15H3:change,restore,89,-0.0018811788451805543,0.013177954748775183,-0.001094818115234375,-0.0424652099609375,0.0399169921875,0.5168539325842697,0.0,False,below_rule,-0.005364437920323918,0.0015381738710939202,0.02719707167550419,11.170458413241954,-0.00016840659313950104,0.001179714767404125,G2,,change,483,,,
G2:L15H3:conditional,noise,89,-0.1539640212326907,0.17487199118967806,-0.143310546875,-0.535247802734375,0.17938232421875,0.8651685393258427,0.7303370786516854,True,coherent,-0.1833553971869222,-0.12449943965740418,0.26145401429594234,11.170458413241954,-0.013783142601397179,0.015654862559837033,G2,,conditional,483,,,
G2:L15H3:conditional,restore,89,-0.14795426304420728,0.16030747435066137,-0.1495361328125,-0.482177734375,0.13616943359375,0.8539325842696629,0.6292134831460674,True,coherent,-0.17625471601325476,-0.1204663632960802,0.24584636795386838,11.170458413241954,-0.013245137985457765,0.014351020201697883,G2,,conditional,483,,,
G2:L16H1:change,noise,89,-0.09860821252458551,0.11513120940562045,-0.0948028564453125,-0.40008544921875,0.1759033203125,0.8426966292134831,0.5056179775280899,True,heterogeneous,-0.12105957249577125,-0.07614427356237777,0.18010822574744065,11.170458413241954,-0.00882758870555312,0.010306757802270571,G2,,change,513,,,
G2:L16H1:change,restore,89,-0.11475074960944358,0.12989235995860582,-0.1082763671875,-0.653594970703125,0.1334228515625,0.8651685393258427,0.5393258426966292,True,coherent,-0.14095591922824305,-0.09013801739456949,0.20026570223690418,11.170458413241954,-0.010272698340957339,0.011628203172452231,G2,,change,513,,,
G2:L16H1:conditional,noise,89,1.6883102936691112,1.6991004863481842,1.6144065856933594,-0.48016357421875,3.4324951171875,0.9887640449438202,1.0,True,coherent,1.5434979643714561,1.8350078105926513,0.9524958267640532,11.170458413241954,0.15114064537116165,0.1521066032826366,G2,,conditional,513,,,
G2:L16H1:conditional,restore,89,1.6644837722349703,1.6657661963044927,1.63134765625,-0.05706787109375,3.59393310546875,0.9887640449438202,0.9887640449438202,True,coherent,1.5343728550364462,1.7953446607241468,0.8782484933231653,11.170458413241954,0.14900765131194776,0.14912245627536824,G2,,conditional,513,,,
G2:L16H21:change,noise,89,-0.008892005748963087,0.055733369977286694,-0.01174163818359375,-0.2581787109375,0.3443603515625,0.5955056179775281,0.1348314606741573,False,below_rule,-0.02539363791433613,0.00834146684475159,0.10496737448017249,11.170458413241954,-0.0007960287232636855,0.004989353875684985,G2,,change,533,,,
G2:L16H21:change,restore,89,-0.019275607352846124,0.05574163593602984,-0.0087890625,-0.2840576171875,0.2169647216796875,0.550561797752809,0.19101123595505617,False,below_rule,-0.03579618060187008,-0.0035052679897694225,0.10944307721062993,11.170458413241954,-0.0017255878532250715,0.004990093859527846,G2,,change,533,,,
G2:L16H21:conditional,noise,89,0.999264443858286,1.0219126015566709,0.91650390625,-0.715576171875,3.675689697265625,0.9438202247191011,0.9213483146067416,True,coherent,0.8482769332574994,1.1557162835356896,0.9483957290649414,11.170458413241954,0.08945599248404289,0.0914834972524718,G2,,conditional,533,,,
G2:L16H21:conditional,restore,89,1.0732147630011097,1.0832824777351338,0.986572265625,-0.237548828125,3.5525588989257812,0.9662921348314607,0.9438202247191011,True,coherent,0.9185181997465284,1.2366615030872687,0.8469421910435966,11.170458413241954,0.09607616118322178,0.09697744153910129,G2,,conditional,533,,,
G2:L16H31:change,noise,89,0.014008902431873794,0.01985053266032358,0.01171875,-0.033447265625,0.08673095703125,0.7415730337078652,0.0,False,below_rule,0.009551671649632828,0.01859932803036122,0.03910953007387311,11.170458413241954,0.0012541027336234493,0.001777056225086688,G2,,change,543,,,
