pair_id,config_id,direction,query_mother_mass,child_last_mass,entropy,head_output_norm
132/direct/base/0/order1,cec41ab38193f8498178,noise,0.011139284819364548,6.765613215975463e-05,2.7952562568199486,4.2246522345385396
132/direct/base/0/order1,cec41ab38193f8498178,restore,0.01263166789431125,4.9535232392372563e-05,2.7341203027949215,4.688818844466965
138/direct/base/0/order0,cec41ab38193f8498178,noise,0.01695236674277112,0.0003292132169008255,2.9761759175865734,2.227902415758764
138/direct/base/0/order0,cec41ab38193f8498178,restore,0.022546009626239538,0.0007468162220902741,3.2511741298408876,2.9849128181807227
138/direct/base/0/order1,cec41ab38193f8498178,noise,0.005736126855481416,0.00011885534331668168,2.919189510471524,2.3437168132516266
138/direct/base/0/order1,cec41ab38193f8498178,restore,0.009914531605318189,0.00020173787197563797,3.065958547964755,2.38900204085196
148/direct/base/0/order0,cec41ab38193f8498178,noise,0.019630490569397807,4.619005630956963e-05,2.886114444769089,0.8109572796820383
148/direct/base/0/order0,cec41ab38193f8498178,restore,0.05040734144859016,0.00011300801998004317,3.2004860389633065,2.1889092547464206
148/direct/base/0/order1,cec41ab38193f8498178,noise,0.01638376375194639,6.298025255091488e-05,3.1140861975365897,1.3485164174787916
148/direct/base/0/order1,cec41ab38193f8498178,restore,0.03283458715304732,4.935212928103283e-05,3.2382238387262174,2.0166587549907855
154/direct/base/0/order0,cec41ab38193f8498178,noise,0.012764606042765081,0.0001298755669267848,2.3420122910167827,4.14960793459618
154/direct/base/0/order0,cec41ab38193f8498178,restore,0.018046078737825155,0.00010546588600846007,2.4587675836940286,5.012835773262487
154/direct/base/0/order1,cec41ab38193f8498178,noise,0.0165654432203155,9.32316979742609e-05,2.7184950224274935,3.095478785751862
154/direct/base/0/order1,cec41ab38193f8498178,restore,0.009674930770415813,4.1312447137897834e-05,2.5984832046280437,3.910582015936111
160/direct/base/0/order0,cec41ab38193f8498178,noise,0.014217395801097155,0.0002204469492426142,2.9844898428265143,3.097748762630486
160/direct/base/0/order0,cec41ab38193f8498178,restore,0.00992449396289885,0.00024610868422314525,2.6550892867510205,3.2387961633211604
160/direct/base/0/order1,cec41ab38193f8498178,noise,0.01577001460827887,0.00027516952832229435,3.058665804998565,2.6301643889000585
160/direct/base/0/order1,cec41ab38193f8498178,restore,0.012374267913401127,0.00020199564460199326,2.9572310971923086,2.4355699966408806
168/direct/base/0/order0,cec41ab38193f8498178,noise,0.025513736647553742,0.00018703077512327582,2.981080338490767,3.2869867386538307
168/direct/base/0/order0,cec41ab38193f8498178,restore,0.13074883166700602,0.00012981629697605968,3.054100206799493,3.6440047375488605
168/direct/base/0/order1,cec41ab38193f8498178,noise,0.012016372551443055,8.08048716862686e-05,2.7870808913284226,5.093472498186375
168/direct/base/0/order1,cec41ab38193f8498178,restore,0.05219106748700142,8.668970986036584e-05,3.0136997515538733,4.41676196760829
174/direct/base/0/order0,cec41ab38193f8498178,noise,0.02420597121817991,0.0001729241048451513,2.9617726871848724,1.365697784364437
174/direct/base/0/order0,cec41ab38193f8498178,restore,0.015394414309412241,0.00018560468743089586,2.951312059171475,1.2531966222563442
174/direct/base/0/order1,cec41ab38193f8498178,noise,0.015726622208603658,3.8908754504518583e-05,2.8689923969359494,1.504310258762864
174/direct/base/0/order1,cec41ab38193f8498178,restore,0.007369528655544855,4.313802855904214e-05,2.8358326916478847,1.286247539888432
180/direct/base/0/order0,cec41ab38193f8498178,noise,0.03921761200763285,0.00020258105359971523,3.412558205943214,1.1604624007984516
180/direct/base/0/order0,cec41ab38193f8498178,restore,0.03743971511721611,0.00031849759398028255,3.154500527623593,0.8599617437005211
180/direct/base/0/order1,cec41ab38193f8498178,noise,0.0229178573936224,0.000127671446534805,3.4152003302250504,1.5049282097234127
180/direct/base/0/order1,cec41ab38193f8498178,restore,0.027060111053287983,0.00014339042536448687,3.3753179111596756,1.3526445699066758
188/direct/base/0/order0,cec41ab38193f8498178,noise,0.03534028341528028,4.0810296923154965e-05,2.586810049408261,0.9470023672795873
188/direct/base/0/order0,cec41ab38193f8498178,restore,0.0603529516083654,0.00010015047155320644,2.92729671129835,1.3662356546096839
188/direct/base/0/order1,cec41ab38193f8498178,noise,0.027415682678110898,1.175145007437095e-05,2.66328123766041,1.2246004080630817
188/direct/base/0/order1,cec41ab38193f8498178,restore,0.02650779234681977,2.6562714992905967e-05,2.926561042280664,1.642489657786796
196/direct/base/0/order0,cec41ab38193f8498178,noise,0.021997605450451374,6.958446465432644e-05,2.6561333446261886,0.629498496597718
196/direct/base/0/order0,cec41ab38193f8498178,restore,0.01668165050796233,9.246245463145897e-05,2.7930071455957926,0.7837106572902313
196/direct/base/0/order1,cec41ab38193f8498178,noise,0.017751534469425678,5.147380943526514e-05,2.6415512282753832,0.763261617029705
196/direct/base/0/order1,cec41ab38193f8498178,restore,0.010693453630665317,5.554483868763782e-05,2.5605156735570453,0.7869080211027442
002/direct/base/0/order0,cec41ab38193f8498178,noise,0.04423216637223959,0.0003871302178595215,3.4352083086915814,2.148542693420352
002/direct/base/0/order0,cec41ab38193f8498178,restore,0.025353004573844373,0.000398526230128482,3.319344128813438,2.130402034637106
002/direct/base/0/order1,cec41ab38193f8498178,noise,0.029129826463758945,0.00012693877215497196,3.0994437949593965,1.6460673580494898
002/direct/base/0/order1,cec41ab38193f8498178,restore,0.013218376145232469,0.00012139548198319972,3.1353435047804603,1.9846954524289306
008/direct/base/0/order0,cec41ab38193f8498178,noise,0.08736214623786509,0.00011768739932449535,2.7485074861286916,1.9865990129541964
008/direct/base/0/order0,cec41ab38193f8498178,restore,0.5363060096278787,8.585376053815708e-05,2.1675215153659027,4.915036713719079
008/direct/base/0/order1,cec41ab38193f8498178,noise,0.02883956088044215,5.5956243159016594e-05,2.7004673950064486,3.134661849871187
008/direct/base/0/order1,cec41ab38193f8498178,restore,0.3492708004778251,5.513313953997567e-05,2.453635686930392,3.334867433213179
016/direct/base/0/order0,cec41ab38193f8498178,noise,0.0260960009181872,8.904098649509251e-05,2.8662013095397514,0.7271918811546596
016/direct/base/0/order0,cec41ab38193f8498178,restore,0.02542703101062216,6.192555883899331e-05,2.9092809169906513,0.6879090474995688
016/direct/base/0/order1,cec41ab38193f8498178,noise,0.02407449414022267,6.202010990818962e-05,3.0501089891740043,1.0556143143895964
