id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference
G2:L15H3:change,noise,69,-0.0011930189270904098,0.012610283450803894,-0.00103759765625,-0.0505523681640625,0.047119140625,0.5507246376811594,0.0,False,below_rule,-0.005121853213379349,0.002690776534702448,0.027336175890936367
G2:L15H3:change,restore,69,-0.001818570537843566,0.012495714685191278,-0.000118255615234375,-0.0424652099609375,0.0399169921875,0.5072463768115942,0.0,False,below_rule,-0.005537425348724144,0.0019172795440839682,0.02976814905802409
G2:L15H3:conditional,noise,69,-0.15199668165566266,0.17326477990634198,-0.1432647705078125,-0.456512451171875,0.17938232421875,0.855072463768116,0.7246376811594203,True,coherent,-0.1845252752304077,-0.11917274810265807,0.2681088378463966
G2:L15H3:conditional,restore,69,-0.15000591761824014,0.1651471974193186,-0.1495361328125,-0.482177734375,0.13616943359375,0.8260869565217391,0.6231884057971014,True,coherent,-0.18522530845973803,-0.11648033494534704,0.24423067811606586
G2:L16H1:change,noise,69,-0.09473652079485465,0.11585883126742598,-0.09923553466796875,-0.40008544921875,0.1759033203125,0.8115942028985508,0.5217391304347826,True,heterogeneous,-0.12138092103211777,-0.06845210151395939,0.17453510173852893
G2:L16H1:change,restore,69,-0.11017193310502646,0.12741846278093863,-0.0869140625,-0.653594970703125,0.1334228515625,0.8405797101449275,0.5217391304347826,True,coherent,-0.1414061500542406,-0.081055459164191,0.18399455581886182
G2:L16H1:conditional,noise,69,1.6505021219668181,1.664419906726782,1.5289306640625,-0.48016357421875,3.4324951171875,0.9855072463768116,1.0,True,coherent,1.4843221408733425,1.8190696908080057,0.9873967378035836
G2:L16H1:conditional,restore,69,1.6723991407864336,1.6740532819775567,1.5739099979400635,-0.05706787109375,3.59393310546875,0.9855072463768116,0.9855072463768116,True,coherent,1.5176192265489827,1.8315586663674617,0.9022494329922441
G2:L16H21:change,noise,69,-0.005489349365234375,0.05917456530142522,-0.011199951171875,-0.2581787109375,0.3443603515625,0.5797101449275363,0.15942028985507245,False,below_rule,-0.02532281564629596,0.015292264413142548,0.10852918763091599
G2:L16H21:change,restore,69,-0.010111243396565535,0.05086084595624951,-0.00634765625,-0.2840576171875,0.2169647216796875,0.5072463768115942,0.15942028985507245,False,below_rule,-0.028004802083191664,0.007144606685724795,0.09075065540230792
G2:L16H21:conditional,noise,69,1.0373301229615142,1.0621979685797207,0.91845703125,-0.715576171875,3.675689697265625,0.9565217391304348,0.927536231884058,True,coherent,0.8594648618629013,1.2265050991721769,1.001275228417438
G2:L16H21:conditional,restore,69,1.0260574873806774,1.0343976318836212,0.9131698608398438,-0.237548828125,3.5525588989257812,0.9710144927536232,0.9420289855072463,True,coherent,0.8516367493872193,1.2142666535425013,0.8323218537413556
G2:L16H31:change,noise,69,0.014575495236161827,0.02081645053365956,0.01171875,-0.033447265625,0.08673095703125,0.7681159420289855,0.0,False,below_rule,0.009232808714327604,0.020047316516655075,0.04099750518798828
G2:L16H31:change,restore,69,0.01557827341383782,0.02179611247518788,0.015594482421875,-0.0523681640625,0.072296142578125,0.782608695652174,0.0,False,below_rule,0.009980082339134768,0.02103377978006998,0.039903150088545204
G2:L16H31:conditional,noise,69,-0.2620448375093764,0.26998007124748785,-0.2681007385253906,-0.6826934814453125,0.19609832763671875,0.9565217391304348,0.8985507246376812,True,coherent,-0.3004415045613828,-0.22435713349909026,0.24061139424641928
G2:L16H31:conditional,restore,69,-0.25552452128866443,0.26935805099597876,-0.2581787109375,-0.655181884765625,0.29388427734375,0.9565217391304348,0.855072463768116,True,coherent,-0.29766593385433804,-0.21391086206919907,0.2489965342093205
G2:L17H24:change,noise,69,0.008891872737718664,0.020606393399445908,0.004150390625,-0.053371429443359375,0.1177978515625,0.5797101449275363,0.014492753623188406,False,below_rule,0.0025427134140678077,0.015715016489443567,0.03168452995410864
