id,direction,donor_mean,mean_replacement_mean,donor_retained,mean_retained,same_mean_sign,donor_classification,mean_classification
G2group:negative:intact,restore,-2.1016369294584467,-0.9316350422548444,True,True,True,coherent,coherent
G2group:negative:weakened,noise,-2.3129803022641813,-1.0399017950122276,True,True,True,coherent,coherent
G2group:negative:weakened,restore,-2.2437354312853866,-0.9563228816128848,True,True,True,coherent,coherent
G2group:positive:change,noise,-0.18750156847278723,-0.1353108286857605,True,True,True,coherent,coherent
G2group:positive:change,restore,-0.28015619985173257,-0.17036179478248853,True,True,True,coherent,coherent
G2group:positive:intact,noise,5.337455979893717,4.080671642603499,True,True,True,coherent,coherent
G2group:positive:intact,restore,5.520144087544987,4.061479547050562,True,True,True,coherent,coherent
G2group:positive:weakened,noise,5.1499544114209295,3.9453608139177385,True,True,True,coherent,coherent
G2group:positive:weakened,restore,5.239987887693255,3.891117752268073,True,True,True,coherent,coherent
G2group:reference1:change,noise,-0.020554385828168206,-0.013661341720752502,False,False,True,below_rule,below_rule
G2group:reference1:change,restore,-0.022629544976052275,-0.02108646510692125,False,False,True,below_rule,below_rule
G2group:reference1:intact,noise,0.05845662984955177,-0.022302418612362294,True,True,False,heterogeneous,heterogeneous
G2group:reference1:intact,restore,-0.05892786818943667,-0.0606012987286857,True,True,True,heterogeneous,heterogeneous
G2group:reference1:weakened,noise,0.03790224402138356,-0.0359637603331148,True,True,False,heterogeneous,heterogeneous
G2group:reference1:weakened,restore,-0.08155741316548894,-0.08168776383560696,True,True,True,heterogeneous,heterogeneous
G2group:reference2:change,noise,-0.014435729283965035,0.011939080913415116,False,False,False,below_rule,below_rule
G2group:reference2:change,restore,-0.017892676123072594,0.005586361617184757,False,False,False,below_rule,below_rule
G2group:reference2:intact,noise,0.10300851136111142,-0.07601157199130969,True,True,False,heterogeneous,heterogeneous
G2group:reference2:intact,restore,0.07898311400681399,-0.06532411361008547,True,True,False,heterogeneous,heterogeneous
G2group:reference2:weakened,noise,0.08857278207714638,-0.06407249107789457,True,True,False,heterogeneous,heterogeneous
G2group:reference2:weakened,restore,0.0610904378837414,-0.05973775199290072,True,True,False,heterogeneous,heterogeneous
G2group:reference3:change,noise,-0.005934547842218635,0.00990658127859737,False,False,False,below_rule,below_rule
G2group:reference3:change,restore,-0.020724883240260436,0.005247150914052899,False,False,False,below_rule,below_rule
G2group:reference3:intact,noise,-0.08482233861858925,-0.21012451407614718,True,True,True,heterogeneous,coherent
G2group:reference3:intact,restore,-0.07584110270725207,-0.1625639454702313,True,True,True,heterogeneous,coherent
G2group:reference3:weakened,noise,-0.09075688646080789,-0.20021793279754982,True,True,True,heterogeneous,coherent
G2group:reference3:weakened,restore,-0.0965659859475125,-0.1573167945561784,True,True,True,heterogeneous,coherent
G2group:reference4:change,noise,0.006516361504458309,-0.0034225522802117164,False,False,False,below_rule,below_rule
G2group:reference4:change,restore,0.005677880865804265,0.0022085489851705145,False,False,True,below_rule,below_rule
G2group:reference4:intact,noise,-0.08413470729013507,-0.11791649829135852,True,True,True,heterogeneous,heterogeneous
G2group:reference4:intact,restore,-0.045161985279469005,-0.06029483709442482,True,True,True,heterogeneous,heterogeneous
G2group:reference4:weakened,noise,-0.07761834578567677,-0.12133905057157024,True,True,True,heterogeneous,heterogeneous
G2group:reference4:weakened,restore,-0.03948410441366474,-0.0580862881092543,True,True,True,heterogeneous,heterogeneous
G2group:residual23:change,noise,0.0689355456427242,-0.0027686772721537043,True,False,False,heterogeneous,below_rule
G2group:residual23:change,restore,0.017844885922549816,-0.004120775822843059,True,False,False,heterogeneous,below_rule
G2group:residual23:intact,noise,0.11639698971523328,-0.6329687847180313,True,True,False,heterogeneous,coherent
G2group:residual23:intact,restore,0.23779426531845263,-0.6609686305013935,True,True,False,heterogeneous,coherent
G2group:residual23:weakened,noise,0.18533253535795746,-0.635737461990185,True,True,False,heterogeneous,coherent
G2group:residual23:weakened,restore,0.25563915124100245,-0.6650894063242366,True,True,False,heterogeneous,coherent
block:L17H1:query_sentence,noise,5.535144162981697,1.824571009432332,True,True,True,coherent,coherent
block:L17H1:query_sentence,restore,5.350544425878632,1.750848223654072,True,True,True,coherent,coherent
block:L17H1:query_sentence:self,noise,0.0,0.0,False,False,True,below_rule,below_rule
block:L17H1:query_sentence:self,restore,0.0,0.0,False,False,True,below_rule,below_rule
block:L17H1:query_sentence:source,noise,6.276379397745883,2.166586216915859,True,True,True,coherent,coherent
block:L17H1:query_sentence:source,restore,5.972021365433596,2.012569973977764,True,True,True,coherent,coherent
block:L17H1:query_writer_union,noise,4.978002012445685,1.6084513289205145,True,True,True,coherent,coherent
block:L17H1:query_writer_union,restore,4.790111766772323,1.4979610389538025,True,True,True,coherent,coherent
block:L17H1:query_writer_union:self,noise,0.0,0.0,False,False,True,below_rule,below_rule
block:L17H1:query_writer_union:self,restore,0.0,0.0,False,False,True,below_rule,below_rule
block:L17H1:query_writer_union:source,noise,5.663744588916221,1.904741346166375,True,True,True,coherent,coherent
block:L17H1:query_writer_union:source,restore,5.357709027408214,1.7196918230378226,True,True,True,coherent,coherent
