layer,head,fact_block,position,distance,evals,qk_passes,scored,families,frequency,strength_first,strength_last
0,14,demo,demo,self,8544,0,0,0,0.0,,
0,14,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,14,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,14,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,14,test,test_other,previous,2136,0,0,0,0.0,,
0,14,test,test_other,self,2136,24,24,4,0.011235955056179775,0.018131997358674806,0.028844559759212036
0,15,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,15,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,15,demo,demo,previous,8544,0,0,0,0.0,,
0,15,demo,demo,self,8544,0,0,0,0.0,,
0,15,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,15,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,15,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,15,test,test_other,previous,2136,0,0,0,0.0,,
0,15,test,test_other,self,2136,0,0,0,0.0,,
0,16,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,16,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,16,demo,demo,previous,8544,0,0,0,0.0,,
0,16,demo,demo,self,8544,0,0,0,0.0,,
0,16,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,16,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,16,test,test_other,distance_ge_2,57551,6,6,3,0.0001042553561189206,0.007237084462152173,0.0025125330624481044
0,16,test,test_other,previous,2136,0,0,0,0.0,,
0,16,test,test_other,self,2136,0,0,0,0.0,,
0,17,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,17,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,17,demo,demo,previous,8544,0,0,0,0.0,,
0,17,demo,demo,self,8544,0,0,0,0.0,,
0,17,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,17,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,17,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,17,test,test_other,previous,2136,0,0,0,0.0,,
0,17,test,test_other,self,2136,0,0,0,0.0,,
0,18,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,18,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,18,demo,demo,previous,8544,0,0,0,0.0,,
0,18,demo,demo,self,8544,0,0,0,0.0,,
0,18,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,18,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,18,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,18,test,test_other,previous,2136,0,0,0,0.0,,
0,18,test,test_other,self,2136,0,0,0,0.0,,
0,19,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,19,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,19,demo,demo,previous,8544,0,0,0,0.0,,
0,19,demo,demo,self,8544,0,0,0,0.0,,
0,19,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,19,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,19,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,19,test,test_other,previous,2136,0,0,0,0.0,,
0,19,test,test_other,self,2136,0,0,0,0.0,,
0,20,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,20,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,20,demo,demo,previous,8544,0,0,0,0.0,,
0,20,demo,demo,self,8544,0,0,0,0.0,,
0,20,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,20,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,20,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,20,test,test_other,previous,2136,0,0,0,0.0,,
0,20,test,test_other,self,2136,0,0,0,0.0,,
0,21,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,21,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,21,demo,demo,previous,8544,0,0,0,0.0,,
0,21,demo,demo,self,8544,0,0,0,0.0,,
0,21,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,21,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,21,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,21,test,test_other,previous,2136,0,0,0,0.0,,
0,21,test,test_other,self,2136,0,0,0,0.0,,
0,22,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,22,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,22,demo,demo,previous,8544,0,0,0,0.0,,
0,22,demo,demo,self,8544,0,0,0,0.0,,
0,22,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,22,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,22,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,22,test,test_other,previous,2136,0,0,0,0.0,,
0,22,test,test_other,self,2136,0,0,0,0.0,,
0,23,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,23,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,23,demo,demo,previous,8544,0,0,0,0.0,,
0,23,demo,demo,self,8544,0,0,0,0.0,,
0,23,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,23,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,23,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,23,test,test_other,previous,2136,0,0,0,0.0,,
0,23,test,test_other,self,2136,0,0,0,0.0,,
0,24,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,24,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,24,demo,demo,previous,8544,0,0,0,0.0,,
0,24,demo,demo,self,8544,3036,3036,89,0.3553370786516854,0.014110671093983285,0.011852492041344729
0,24,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,24,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,24,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,24,test,test_other,previous,2136,0,0,0,0.0,,
0,24,test,test_other,self,2136,721,721,71,0.33754681647940077,0.009457023007829607,0.008060419607314396
0,25,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,25,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,25,demo,demo,previous,8544,0,0,0,0.0,,
0,25,demo,demo,self,8544,0,0,0,0.0,,
0,25,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,25,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,25,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,25,test,test_other,previous,2136,0,0,0,0.0,,
0,25,test,test_other,self,2136,0,0,0,0.0,,
0,26,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,26,demo,demo,distance_ge_2,1000158,756,756,70,0.0007558805708698026,0.003078702379882868,0.02225962847381308
0,26,demo,demo,previous,8544,0,0,0,0.0,,
0,26,demo,demo,self,8544,450,450,62,0.05266853932584269,0.0022117811472465595,0.034588993920220266
0,26,demo,test_other,distance_ge_2,451008,159,159,26,0.0003525436355896126,0.003576968701368889,0.003238264106670922
0,26,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,26,test,test_other,distance_ge_2,57551,98,98,41,0.0017028374832757033,0.006568897337645615,0.006878498930374769
0,26,test,test_other,previous,2136,0,0,0,0.0,,
0,26,test,test_other,self,2136,26,26,9,0.012172284644194757,0.0034882955459089805,0.023483006104540367
0,27,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,27,demo,demo,distance_ge_2,1000158,108,108,14,0.00010798293869568608,0.14125602043889188,0.05084527021756879
0,27,demo,demo,previous,8544,0,0,0,0.0,,
0,27,demo,demo,self,8544,0,0,0,0.0,,
0,27,demo,test_other,distance_ge_2,451008,16,16,3,3.547608911593586e-05,0.002719655102282559,0.0009769607422640547
0,27,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,27,test,test_other,distance_ge_2,57551,11,11,4,0.00019113481955135446,0.0029833945869044824,0.022016236389225178
0,27,test,test_other,previous,2136,0,0,0,0.0,,
0,27,test,test_other,self,2136,0,0,0,0.0,,
0,28,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,28,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,28,demo,demo,previous,8544,0,0,0,0.0,,
0,28,demo,demo,self,8544,0,0,0,0.0,,
0,28,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,28,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,28,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,28,test,test_other,previous,2136,0,0,0,0.0,,
0,28,test,test_other,self,2136,0,0,0,0.0,,
0,29,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,29,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,29,demo,demo,previous,8544,0,0,0,0.0,,
0,29,demo,demo,self,8544,0,0,0,0.0,,
0,29,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
