config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator
direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact0_mother,L16H21,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact0_mother,L16H21,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H18|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H18|ch=K|med=none|live=none,L13H18,fact0_mother,L18H18,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H18|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H18|ch=V|med=none|live=none,L13H18,fact0_mother,L18H18,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H19|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H19|ch=K|med=none|live=none,L13H18,fact0_mother,L18H19,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H19|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L18H19|ch=V|med=none|live=none,L13H18,fact0_mother,L18H19,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact2_mother,L16H1,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact2_mother,L16H1,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact2_mother,L16H21,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact2_mother,L16H21,V,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=K|med=none|live=none,L13H18,fact2_mother,L18H18,K,direct_comparator_l13_control,True
