layer,head,ri_first,ri_last,first_order_mean,final_estimate_mean,exact_subset_mean,exact_subset_mean_abs,exact_all_pairs_mean
2,11,0.0,0.0,0.0006385949105769919,0.0006385949105769919,0.0010816574096679688,0.011614036560058594,
2,12,0.0,0.0,0.0001849806676239424,0.0001849806676239424,0.0015943527221679687,0.006527519226074219,
2,13,0.0,0.0,-0.0016173337235670076,-0.0016173337235670076,0.0017644882202148438,0.04536457061767578,
2,14,0.0,0.0,0.0002518804008769018,0.0002518804008769018,0.00147857666015625,0.0079559326171875,
2,15,0.0,0.0,0.011525712627394314,0.011525712627394314,-0.0012451171875,0.06641578674316406,
2,16,0.0028447088,0.04869523333333333,0.0064227589709537755,0.0064227589709537755,-0.004594230651855468,0.10069828033447266,
2,17,0.0,0.0,0.0005267405190199007,0.0005267405190199007,0.00025539398193359376,0.007406425476074219,
2,18,0.0,0.014399933333333333,-0.021236602789879346,-0.021236602789879346,-0.0052010536193847655,0.08357915878295899,
2,19,0.0,0.0,0.0007210767918182641,0.0007210767918182641,0.0011457443237304688,0.006033134460449219,
2,20,0.003840045789473684,0.005749946842105263,-0.0016297565811062545,-0.0016297565811062545,0.00044345855712890625,0.007550239562988281,
2,21,0.003745420433604336,0.00487919189701897,0.0023644412266027727,0.0023644412266027727,0.006174659729003907,0.028845787048339844,
2,22,0.015497235483870967,0.012449284838709678,-0.0016560653679784428,-0.0016560653679784428,0.005842399597167969,0.03009510040283203,
2,23,0.005418095513698629,0.03824586849315068,0.006346878738226264,0.006346878738226264,0.0034162521362304686,0.020001029968261717,
2,24,0.005122858947368421,0.019732984210526317,-0.009867537081283465,-0.009867537081283465,-0.02020435333251953,0.09053897857666016,
2,25,0.0576556,0.0,-0.0002816609359409116,-0.0002816609359409116,0.0004184722900390625,0.005851364135742188,
2,26,0.0,0.0,0.0006855650329301814,0.0006855650329301814,0.0018499374389648437,0.008079338073730468,
2,27,0.0,0.0,0.0005344614400292925,0.0005344614400292925,-0.001858997344970703,0.007095050811767578,
2,28,0.0,0.0,-0.0004418359155730041,-0.0004418359155730041,0.0024654388427734373,0.008351516723632813,
2,29,0.009540795000000001,0.0,-0.001660468440052917,-0.001660468440052917,-0.00446319580078125,0.0336578369140625,
2,30,0.0,0.0,-0.0016481510338666482,-0.0016481510338666482,-0.0036195755004882813,0.01905345916748047,
2,31,0.0,0.0,0.0007728312485913479,0.0007728312485913479,-0.0034952163696289062,0.009879875183105468,
3,0,0.0,0.0,0.0042618262716255075,0.0042618262716255075,0.0034759521484375,0.0256134033203125,
3,1,0.0,0.0,-0.00035165222505567954,-0.00035165222505567954,0.002513694763183594,0.008260154724121093,
3,2,0.0,0.0,-0.0010816185300897682,-0.0010816185300897682,0.00023102760314941406,0.02510390281677246,
3,3,0.0,0.0,0.00033667103176167383,0.00033667103176167383,0.0006166458129882813,0.006380271911621094,
3,4,0.0,0.0117959875,0.008062825941093517,0.008062825941093517,0.011663055419921875,0.036258697509765625,
3,5,0.0,0.0,-0.006136536056678114,-0.006136536056678114,0.007498741149902344,0.020764732360839845,
3,6,0.0,0.0,-0.00024486887739615494,-0.00024486887739615494,-0.00279998779296875,0.03055877685546875,
3,7,0.0,0.0,0.0015850187595829032,0.0015850187595829032,-0.002164745330810547,0.013968181610107423,
3,8,0.0,0.0,0.00097987769361915,0.00097987769361915,0.00042781829833984377,0.010450172424316406,
3,9,0.018239802564102563,0.017538315384615383,-0.0005177199308174464,-0.0005177199308174464,0.0011377334594726562,0.016616249084472658,
3,10,0.0,0.0,-0.0006455221250025409,-0.0006455221250025409,-0.0029687881469726562,0.012167930603027344,
3,11,0.24306708053691273,0.056662027516778526,0.001652667678243826,0.001652667678243826,-0.007417869567871094,0.021795082092285156,0.0022394094574317504
3,12,0.024778616666666666,0.0036895349999999994,0.0016208223199335795,0.0016208223199335795,-0.003870391845703125,0.015309906005859375,
3,13,0.0,0.00882908,0.001639267315583178,0.001639267315583178,0.0018163681030273437,0.008433723449707031,
3,14,0.0,0.0,-0.004538921518329782,-0.004538921518329782,-0.007401466369628906,0.016861915588378906,
3,15,0.0,0.0,9.576498342447736e-05,9.576498342447736e-05,0.0008174896240234375,0.007820510864257812,
3,16,0.021546525252808986,0.024887833679775283,0.0017041239202064409,0.0017041239202064409,-0.013332128524780273,0.03218331336975098,
3,17,0.0,0.0,2.829556378242926e-05,2.829556378242926e-05,0.00145111083984375,0.01057281494140625,
3,18,0.0,0.0,-0.0025130707052473523,-0.0025130707052473523,-0.002748870849609375,0.01322174072265625,
3,19,0.0,0.0,-0.0009441633257175157,-0.0009441633257175157,-0.0012804031372070312,0.010497856140136718,
3,20,0.0370107,0.265764,0.0010133070176012102,0.0010133070176012102,-0.00019016265869140626,0.014370918273925781,0.0005884599149896857
3,21,0.0,0.0,0.0007066418288610457,0.0007066418288610457,0.0014253616333007812,0.015994453430175783,
3,22,0.0,0.0,0.00024405617990892045,0.00024405617990892045,0.0011610031127929688,0.007125663757324219,
3,23,0.0,0.0,0.00022539953417354002,0.00022539953417354002,-0.0007549285888671875,0.008816909790039063,
3,24,0.0,0.0,0.0014131810748949647,0.0014131810748949647,0.0038347244262695312,0.01114063262939453,
3,25,0.0,0.0,-0.00023180140663733642,-0.00023180140663733642,-0.007012748718261718,0.016274452209472656,
