head,rule,anchor,others,events,families,positive_fraction,negative_fraction,mean_contrast,family_mean_positive_fraction,label,self_event_fraction,final_site_events,answer_name_events,argmax_middle_events,label_last_anchor,label_same_role_controls,label_excluding_self,label_final_site_only,label_base_variant_only,scopeF_importance_178,scopeF_promotion,scopeF_suppression,scopeF_cross_check
L25H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0004291534423828125,-0.00013235713658707866,-0.00029679228750507486,not applicable (insufficient support)
L25H17,80% of events; support >= 20 events / 10 families,first,all_visible_names,625,20,0.4272,0.5728,-0.007173671964009603,0.2,neither,0.893353941267388,0,97,66,neither,neither,neither,insufficient,neither,1.270994771732373,1.0850131859940089,0.18598158975665488,not applicable (no label)
L25H18,80% of events; support >= 20 events / 10 families,first,all_visible_names,1248,20,0.5264423076923077,0.4735576923076923,0.3403128137286656,0.7,neither,0.0,110,64,659,neither,neither,neither,neither,neither,0.0005054581031370699,0.004105128599016854,-0.003599666477589125,not applicable (no label)
L25H20,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,0.0006026578753182058,0.00031683418188202246,0.00028582972087217183,not applicable (insufficient support)
L25H21,80% of events; support >= 20 events / 10 families,first,all_visible_names,546,14,0.6978021978021978,0.3021978021978022,1.0920739851555399,0.5,neither,0.0,58,76,293,neither,neither,neither,neither,neither,0.005800999952166268,0.0034213976913623594,0.0023796062790945676,not applicable (no label)
L26H23,80% of events; support >= 20 events / 10 families,first,all_visible_names,1670,20,0.20958083832335328,0.7904191616766467,-0.20202590795096284,0.0,neither,0.0,124,128,674,neither,negative_name_mover,neither,neither,neither,-0.3693097628904193,-0.2913283444522472,-0.07798141441988142,not applicable (no label)
L26H31,80% of events; support >= 20 events / 10 families,first,all_visible_names,621,15,0.9130434782608695,0.08695652173913043,2.0869115412331243,0.8666666666666667,name_mover,0.0,62,36,196,neither,name_mover,name_mover,name_mover,name_mover,0.02733502227268862,0.022150961200842697,0.005184065090136581,labelled but |Scope-F| < 0.05: no causal contrast to check
L27H6,80% of events; support >= 20 events / 10 families,first,all_visible_names,768,20,0.95703125,0.04296875,2.090515891410824,1.0,name_mover,0.0,147,306,461,neither,name_mover,name_mover,name_mover,name_mover,3.058940667784616,1.958964144245962,1.0999765275569444,consistent
L27H23,80% of events; support >= 20 events / 10 families,first,all_visible_names,164,20,0.5365853658536586,0.4634146341463415,-0.009582794003370327,0.4,neither,0.0,0,0,0,neither,neither,neither,insufficient,neither,-0.0011011348681503467,-0.0013996938641151686,0.0002985643536857005,not applicable (no label)
L28H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0002890758300095462,-0.0003984429863061798,0.00010937117458729261,not applicable (insufficient support)
L28H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,47,6,0.7021276595744681,0.2978723404255319,0.2734215794302893,0.16666666666666666,insufficient,0.0,14,7,12,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0009258034523953213,-0.0018962045733848314,0.0009704051392801692,not applicable (insufficient support)
L29H5,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,0.0008977664990371532,0.0007029329792837079,0.00019483485918366506,not applicable (insufficient support)
L30H3,80% of events; support >= 20 events / 10 families,first,all_visible_names,1547,20,0.46218487394957986,0.5378151260504201,0.5628550227205704,0.5,neither,0.0,53,67,357,neither,neither,neither,neither,neither,0.0021694376227561008,0.0003332931004213483,0.0018361518892009608,not applicable (no label)
L30H13,80% of events; support >= 20 events / 10 families,first,all_visible_names,917,20,0.37295528898582336,0.6270447110141767,-0.10717770121653096,0.25,neither,0.01293103448275862,0,54,397,neither,neither,neither,insufficient,neither,0.6321045682671365,0.5733311685283532,0.058773403757073905,not applicable (no label)
L30H18,80% of events; support >= 20 events / 10 families,first,all_visible_names,2528,20,0.6661392405063291,0.3338607594936709,0.5969654778395838,0.95,neither,0.010485436893203883,149,510,881,neither,neither,neither,neither,neither,-1.0568862925754505,-1.027698302536868,-0.029187986020291788,not applicable (no label)
L31H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,1799,20,0.6670372429127293,0.3329627570872707,0.18384725920730371,0.85,neither,0.24987354577642892,45,201,539,neither,neither,neither,neither,neither,-1.7192926299705932e-05,-0.0011630969101123596,0.0011459080021033127,not applicable (no label)
