head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L6H12,base,final,target,last,raw,0.0025661627451578775,0.007240843407312913,-0.006995042165120442,0.019806385040283203,20,40,0.6
L6H12,base,final,target,last,output,0.0004788517951965332,0.0060056075886475045,-0.008501688639322918,0.011266946792602539,20,40,0.5
L7H18,base,earlier,target,first,raw,0.0005774642279571611,0.00488724557847679,-0.007738803492652046,0.013200722324351469,20,1193,0.6
L7H18,base,earlier,target,first,output,0.0011424339800398132,0.007633925178003935,-0.01292538186891483,0.015426439543565115,20,1193,0.45
L7H18,base,earlier,target,last,raw,0.000819933009487289,0.004816306048404657,-0.007574045409758885,0.013695083815475993,20,1193,0.6
L7H18,base,earlier,target,last,output,0.002529729278614725,0.01941570329851845,-0.026390984741567872,0.04776456899810256,20,1193,0.55
L7H18,base,earlier,source,first,raw,0.001438088547133082,0.007248905120749633,-0.016893819173177085,0.013556710716818464,20,947,0.65
L7H18,base,earlier,source,first,output,0.0011323878217590778,0.02263159119489803,-0.04828249816353441,0.044602533181508384,20,947,0.45
L7H18,base,earlier,source,last,raw,-0.0010306702843631682,0.006645175971434213,-0.01553010810976443,0.007967434106049713,20,947,0.5
L7H18,base,earlier,source,last,output,0.006199045058756549,0.015413832752978857,-0.031168305079142245,0.025210307568919902,20,947,0.7
L7H18,base,final,source,first,raw,-0.0015799731016159057,0.010977292497177205,-0.021906534830729168,0.025704383850097656,20,40,0.45
L7H18,base,final,source,first,output,-0.004519645373026531,0.024181766658158025,-0.04795757929484049,0.03970559438069662,20,40,0.45
L7H18,base,final,source,last,raw,0.002835893630981445,0.012678090020989932,-0.017534573872884117,0.02089373270670573,20,40,0.65
L7H18,base,final,source,last,output,0.009289300441741944,0.023384652849669663,-0.04327392578125,0.040342648824055985,20,40,0.65
L7H18,base,final,target,first,raw,-0.0009876251220703128,0.007693997205816613,-0.014699300130208334,0.014286041259765625,20,40,0.4
L7H18,base,final,target,first,output,-0.0033130457003911337,0.015715918445131326,-0.02756500244140625,0.028826077779134113,20,40,0.4
L7H18,base,final,target,last,raw,0.0002483050028483073,0.011820543387418612,-0.019005457560221355,0.018306732177734375,20,40,0.5
L7H18,base,final,target,last,output,-0.0010237097740173336,0.018181855690927708,-0.04110924402872721,0.03210703531901042,20,40,0.55
L8H15,base,earlier,target,first,raw,0.0010627071582882772,0.006028342968526508,-0.013254826528984204,0.014387928114997017,20,1193,0.7
L8H15,base,earlier,target,first,output,0.0027299186699257295,0.014051402216164608,-0.031506958063582925,0.028351971838209363,20,1193,0.55
L8H15,base,earlier,target,last,raw,-0.000687292241743963,0.007488328075732237,-0.014414178914037245,0.011073129615564458,20,1193,0.5
L8H15,base,earlier,target,last,output,0.0006585063193000537,0.017802670980672758,-0.035329977671305336,0.031489657259535515,20,1193,0.45
L8H15,base,earlier,source,first,raw,-0.0020269011826216875,0.009398397535347259,-0.01914331648084852,0.01285409927368164,20,947,0.35
