group,head,id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind
I1,L25H17,G1:I1:conditional:L25H17,noise,20,0.7870596885681153,0.7870596885681153,0.79510498046875,0.4024658203125,1.1487178802490234,1.0,1.0,True,coherent,0.7114002895355224,0.8623153734207152,0.392548942565918,11.200063323974609,0.07027278916212489,0.07027278916212489,G1,conditional
I2,L17H24,G1:I2:conditional:L17H24,noise,20,0.4991199493408203,0.4991199493408203,0.41350555419921875,0.220458984375,1.125,1.0,1.0,True,coherent,0.4032708072662354,0.6118015575408935,0.6963371276855469,11.200063323974609,0.04456402922940758,0.04456402922940758,G1,conditional
I2,L18H18,G1:I2:conditional:L18H18,noise,20,3.5276975631713867,3.5276975631713867,3.508880615234375,1.75860595703125,5.784027099609375,1.0,1.0,True,coherent,3.066971197128296,4.012572555541992,4.263879013061524,11.200063323974609,0.31497121588768834,0.31497121588768834,G1,conditional
I2,L18H19,G1:I2:conditional:L18H19,noise,20,4.105548858642578,4.105548858642578,4.122291564941406,2.19140625,7.54998779296875,1.0,1.0,True,coherent,3.555924777984619,4.709518547058105,2.471022033691406,11.200063323974609,0.36656478984849405,0.36656478984849405,G1,conditional
I2,L19H16,G1:I2:conditional:L19H16,noise,20,-0.20184650421142578,0.21704425811767578,-0.2216796875,-0.60455322265625,0.1519775390625,0.95,0.85,True,coherent,-0.2674614191055298,-0.13827880382537847,0.30729026794433595,11.200063323974609,-0.018021907410055226,0.0193788420511048,G1,conditional
I2,L20H1,G1:I2:conditional:L20H1,noise,20,-0.3571478843688965,0.3637885093688965,-0.44500732421875,-0.8504638671875,0.06640625,0.95,0.9,True,coherent,-0.456114718914032,-0.2602194857597352,1.263136100769043,11.200063323974609,-0.0318880236689728,0.03248093326313422,G1,conditional
I3,L18H18,G1:I3:conditional:L18H18,noise,20,3.2305137634277346,3.2305137634277346,3.304046630859375,1.7556304931640625,6.0337371826171875,1.0,1.0,True,coherent,2.796247119903564,3.7004105949401844,3.713420104980469,11.200063323974609,0.2884370980753803,0.2884370980753803,G1,conditional
I3,L18H19,G1:I3:conditional:L18H19,noise,20,3.6885726928710936,3.6885726928710936,3.4307785034179688,2.1236572265625,6.41021728515625,1.0,1.0,True,coherent,3.2059928703308107,4.238793334960937,2.1993896484375,11.200063323974609,0.3293349855420385,0.3293349855420385,G1,conditional
I3,L20H1,G1:I3:conditional:L20H1,noise,20,-0.34360389709472655,0.34801673889160156,-0.404815673828125,-0.7156982421875,0.04412841796875,0.95,0.9,True,coherent,-0.42561155319213867,-0.26047821044921876,1.4461402893066406,11.200063323974609,-0.03067874592808914,0.03107274743229751,G1,conditional
I3,L23H15,G1:I3:conditional:L23H15,noise,20,-0.30820722579956056,0.3216105461120605,-0.311065673828125,-0.6139678955078125,0.134033203125,0.95,0.95,True,coherent,-0.3759227991104126,-0.23514228105545062,0.4761312484741211,11.200063323974609,-0.027518346716827836,0.02871506497857276,G1,conditional
I3,L25H17,G1:I3:conditional:L25H17,noise,20,0.7338020324707031,0.7338020324707031,0.7246017456054688,0.370849609375,1.0067138671875,1.0,1.0,True,coherent,0.6614459228515625,0.8030432128906249,0.33889312744140626,11.200063323974609,0.0655176681813881,0.0655176681813881,G1,conditional
I4,L16H1,G1:I4:conditional:L16H1,noise,20,1.1520818710327148,1.1520818710327148,0.975433349609375,0.44793701171875,2.6940765380859375,1.0,1.0,True,coherent,0.9178561115264893,1.407657284736633,0.7887172698974609,11.200063323974609,0.10286387118603103,0.10286387118603103,G1,conditional
I4,L16H21,G1:I4:conditional:L16H21,noise,20,1.1136766433715821,1.1136766433715821,1.0964202880859375,0.13140869140625,2.2739105224609375,1.0,1.0,True,coherent,0.8504243564605714,1.3854845905303954,0.8898563385009766,11.200063323974609,0.0994348523894209,0.0994348523894209,G1,conditional
I4,L17H3,G1:I4:conditional:L17H3,noise,20,-0.12327291965484619,0.12780325412750243,-0.102447509765625,-0.4401702880859375,0.02154541015625,0.8,0.5,True,coherent,-0.17555026590824127,-0.07650218546390533,0.21329236030578613,11.200063323974609,-0.011006448453819978,0.011410940316197106,G1,conditional
