group,mode,direction,population,query_first,full_gap,normalized_mean,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O4,donor,noise,core20,False,8.523720169067383,0.37233473178830634,20,3.1736770629882813,3.1736770629882813,3.1578369140625,1.11083984375,6.424560546875,1.0,1.0,True,coherent,2.49592960357666,3.8835586166381817,2.49592960357666,3.8835586166381817
O4,donor,noise,additional69,True,14.77806554324385,0.5666670081932668,69,8.374242188273996,8.374242188273996,8.3223876953125,0.56494140625,14.72021484375,1.0,1.0,True,coherent,7.775042651010596,8.962507171216219,7.775042651010596,8.962507171216219
O4,donor,noise,additional69,False,7.545689016148664,0.3812536881088265,69,2.8768217667289404,2.90694482775702,2.52001953125,-0.86181640625,7.291259765625,0.9565217391304348,0.9710144927536232,True,coherent,2.449911786507869,3.3095312367314875,2.4907876664313715,3.331336864526721
O4,donor,noise,all89,True,14.575445528780476,0.5705180167235048,89,8.315554275941313,8.315554275941313,8.3223876953125,0.56494140625,14.72021484375,1.0,1.0,True,coherent,7.826431396034327,8.799450716007962,7.826431396034327,8.799450716007962
O4,donor,noise,all89,False,7.765471297703432,0.3790537250377373,89,2.943530822068118,2.9668846558988764,2.6383056640625,-0.86181640625,7.291259765625,0.9662921348314607,0.9775280898876404,True,coherent,2.5726701029231043,3.3204728930184007,2.6065747078884853,3.3373407642493085
O4,donor,restore,core20,True,13.876406478881837,0.5994567816889558,20,8.318305969238281,8.318305969238281,8.023040771484375,4.58740234375,10.946533203125,1.0,1.0,True,coherent,7.447182388305665,9.154251632690428,7.447182388305665,9.154251632690428
O4,donor,restore,core20,False,8.523720169067383,0.3932197325676955,20,3.3516949653625487,3.3516949653625487,3.1016273498535156,0.72332763671875,7.535888671875,1.0,1.0,True,coherent,2.5062124752998356,4.266760997772216,2.5062124752998356,4.266760997772216
O4,donor,restore,additional69,True,14.77806554324385,0.5677858072484443,69,8.390775874041129,8.390775874041129,8.552001953125,0.992919921875,14.6787109375,1.0,1.0,True,coherent,7.82532885454703,8.956496293993963,7.82532885454703,8.956496293993963
O4,donor,restore,additional69,False,7.545689016148664,0.37877510313516544,69,2.858119135317595,2.8738608982252036,2.83062744140625,-0.3035888671875,8.1197509765625,0.9710144927536232,1.0,True,coherent,2.422125111455503,3.310836156209309,2.445210940595986,3.3235969654027957
O4,donor,restore,all89,True,14.575445528780476,0.5745615450065773,89,8.37449050217532,8.37449050217532,8.521499633789062,0.992919921875,14.6787109375,1.0,1.0,True,coherent,7.889761171448097,8.848090918680255,7.889761171448097,8.848090918680255
O4,donor,restore,all89,False,7.765471297703432,0.38233803697911994,89,2.9690350521816296,2.98123934027854,2.94744873046875,-0.3035888671875,8.1197509765625,0.9775280898876404,1.0,True,coherent,2.575890557685595,3.382247750142986,2.5912181473849865,3.3906813825114384
O4,mean,noise,core20,True,13.876406478881837,0.3342774130105572,20,4.638569259643555,4.638569259643555,4.6447906494140625,2.0216064453125,6.749603271484375,1.0,1.0,True,coherent,4.03643461227417,5.229930534362792,4.03643461227417,5.229930534362792
O4,mean,noise,core20,False,8.523720169067383,0.2034608997028833,20,1.7342437744140624,1.9103179931640626,1.772216796875,-0.918212890625,4.17962646484375,0.9,1.0,True,coherent,1.1453684997558595,2.3178853225708,1.464540023803711,2.397802238464354
O4,mean,noise,additional69,True,14.77806554324385,0.3339811739096642,69,4.93559567824654,4.951857787975366,4.60357666015625,-0.5610427856445312,13.5,0.9855072463768116,1.0,True,coherent,4.404726976588153,5.49436179658641,4.4291666255481,5.502654154058815
O4,mean,noise,additional69,False,7.545689016148664,0.19758039546051412,69,1.4908802198327107,1.8678017215452332,1.175048828125,-3.29443359375,6.288818359375,0.8115942028985508,1.0,True,coherent,1.0438651347505874,1.9496040758879287,1.520780090663744,2.2447973417199174
O4,mean,noise,all89,True,14.575445528780476,0.33404455176578685,89,4.868848168448116,4.881455871496308,4.60357666015625,-0.5610427856445312,13.5,0.9887640449438202,1.0,True,coherent,4.43803021934595,5.322387858187215,4.455333600151405,5.330392021543523
O4,mean,noise,all89,False,7.765471297703432,0.19903088940932187,89,1.545568659064475,1.8773559398865431,1.6201171875,-3.29443359375,6.288818359375,0.8314606741573034,1.0,True,coherent,1.1734525873419943,1.9195591465810713,1.583054988303881,2.1834146242463186
O4,mean,restore,core20,True,13.876406478881837,0.3564472034670393,20,4.946206283569336,4.946206283569336,5.4761199951171875,2.74609375,8.32855224609375,1.0,1.0,True,coherent,4.350438270568847,5.559362320899963,4.350438270568847,5.559362320899963
O4,mean,restore,core20,False,8.523720169067383,0.23414106366864462,20,1.9957529067993165,2.0381235122680663,1.8359375,-0.4237060546875,4.736328125,0.95,0.9,True,coherent,1.3160904932022095,2.691776633262634,1.3898160076141357,2.715113282203674
O4,mean,restore,additional69,True,14.77806554324385,0.318907051780603,69,4.712829313416412,4.712829313416412,4.3501129150390625,1.602294921875,8.212890625,1.0,1.0,True,coherent,4.316840589219246,5.117889980647875,4.316840589219246,5.117889980647875
O4,mean,restore,additional69,False,7.545689016148664,0.14218528296760824,69,1.0728859279466711,1.6820977252462637,1.0491943359375,-4.18115234375,5.37744140625,0.8115942028985508,0.9710144927536232,True,coherent,0.6432191323542941,1.492953922437585,1.3957567187323086,1.9799324201500934
