group,mode,direction,population,pairs,mean_margin,clean_candidate_preferred,recipient_accuracy,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O4,mean,noise,additional69,138,2.4289502682893174,0.8985507246376812,0.8985507246376812,69,3.213237949039625,3.2711135408152705,2.99822998046875,-1.045654296875,9.8944091796875,0.9710144927536232,1.0,True,coherent,2.7744127145711928,3.675428155194156,2.8610934597858484,3.7183171147885528
O4,mean,noise,all89,178,2.4723776913760753,0.9101123595505618,0.9101123595505618,89,3.2072084137562955,3.2520782545711215,3.0921859741210938,-1.045654296875,9.8944091796875,0.9775280898876404,1.0,True,coherent,2.846597743704078,3.5832262471820524,2.910965023281869,3.6123231277037204
O4,mean,restore,core20,40,-1.920474910736084,0.125,0.875,20,3.470979595184326,3.470979595184326,3.5272216796875,1.1694698333740234,5.767301559448242,1.0,1.0,True,coherent,2.954752554893494,3.990820138454436,2.954752554893494,3.990820138454436
O4,mean,restore,additional69,138,-2.6268314416857734,0.10869565217391304,0.8913043478260869,69,2.8928576206815415,2.9251264212788017,2.73883056640625,-0.839111328125,5.8840789794921875,0.9710144927536232,1.0,True,coherent,2.5378000328506247,3.244633226118226,2.5890897612640824,3.263107619078263
O4,mean,restore,all89,178,-2.468099636977978,0.11235955056179775,0.8876404494382022,89,3.0227726711316056,3.0477900558643127,2.9467697143554688,-0.839111328125,5.8840789794921875,0.9775280898876404,1.0,True,coherent,2.721656986836637,3.322396596629968,2.758668528246076,3.3391524700636275
I1,donor,noise,core20,40,0.3685643196105957,0.5,0.5,20,5.440044498443603,5.440044498443603,5.581367492675781,2.95367431640625,7.633049011230469,1.0,1.0,True,coherent,4.854718987941743,6.012103154659271,4.854718987941743,6.012103154659271
I1,donor,noise,additional69,138,0.33178600366564764,0.5144927536231884,0.5144927536231884,69,5.310402213663295,5.310402213663295,5.315185546875,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.890594623399817,5.73006737180378,4.890594623399817,5.73006737180378
I1,donor,noise,all89,178,0.34005079376563596,0.5112359550561798,0.5112359550561798,89,5.339535311366735,5.339535311366735,5.37152099609375,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.989556100663174,5.688268264090077,4.989556100663174,5.688268264090077
I1,donor,restore,core20,40,0.053511428833007815,0.5,0.5,20,5.444965934753418,5.444965934753418,5.50421142578125,3.43743896484375,7.5455322265625,1.0,1.0,True,coherent,4.906061563491821,5.972516293525695,4.906061563491821,5.972516293525695
I1,donor,restore,additional69,138,-0.21539567864459494,0.47101449275362317,0.5289855072463768,69,5.30429338372272,5.30429338372272,5.300834655761719,0.52880859375,8.60528564453125,1.0,1.0,True,coherent,4.904622824295708,5.70084761985834,4.904622824295708,5.70084761985834
I1,donor,restore,all89,178,-0.15496711516648196,0.47752808988764045,0.5224719101123596,89,5.335905192943102,5.335905192943102,5.3896484375,0.52880859375,8.60528564453125,1.0,1.0,True,coherent,5.0020562225513245,5.661133991466479,5.0020562225513245,5.661133991466479
I1,mean,noise,core20,40,2.949325370788574,0.9,0.9,20,2.859283447265625,2.866852569580078,3.0029773712158203,-0.05169677734375,4.4861297607421875,0.9,0.9,True,coherent,2.282526659965515,3.370091910362243,2.2992253732681274,3.3707089138031003
I1,mean,noise,additional69,138,2.656608737033346,0.8840579710144928,0.8840579710144928,69,2.9855794802955957,3.0908448903456978,2.671630859375,-1.7819862365722656,10.2979736328125,0.9420289855072463,0.9855072463768116,True,coherent,2.506821390165799,3.4926645351492835,2.653612202751464,3.5653693074765407
I1,mean,noise,all89,178,2.722387755854746,0.8876404494382022,0.8876404494382022,89,2.957198349277625,3.0405095373646596,2.722137451171875,-1.7819862365722656,10.2979736328125,0.9325842696629213,0.9662921348314607,True,coherent,2.565839147701692,3.367221952489253,2.6780297367090586,3.4221786227788815
I1,mean,restore,core20,40,-2.1641998291015625,0.15,0.85,20,3.2272546768188475,3.2272546768188475,3.2258453369140625,1.144256591796875,5.9893798828125,1.0,1.0,True,coherent,2.6720698404312135,3.7842277097702017,2.6720698404312135,3.7842277097702017
I1,mean,restore,additional69,138,-2.879801789919535,0.09420289855072464,0.9057971014492754,69,2.6398872724477798,2.760360277217367,2.6480770111083984,-1.7522964477539062,5.76171875,0.927536231884058,0.9855072463768116,True,coherent,2.2416348077680754,3.0253763218288836,2.4168758373761525,3.1058137284672775
I1,mean,restore,all89,178,-2.718992360522238,0.10674157303370786,0.8932584269662921,89,2.7718799475873452,2.865280367015453,2.8748397827148438,-1.7522964477539062,5.9893798828125,0.9438202247191011,0.9887640449438202,True,coherent,2.4329454745804324,3.1023296365242325,2.5682396150372,3.1624797456719898
I2,donor,noise,core20,40,0.24869461059570314,0.6,0.6,20,5.559914207458496,5.559914207458496,5.5944671630859375,2.98089599609375,7.836509704589844,1.0,1.0,True,coherent,4.93645302772522,6.169891443252563,4.93645302772522,6.169891443252563
I2,donor,noise,additional69,138,0.21016300588414288,0.5217391304347826,0.5217391304347826,69,5.4320252114448,5.4320252114448,5.3272705078125,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,4.999225559787473,5.868234818741895,4.999225559787473,5.868234818741895
I2,donor,noise,all89,178,0.2188217934597744,0.5393258426966292,0.5393258426966292,89,5.460764311672596,5.460764311672596,5.3992919921875,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,5.094805681035759,5.825033376725871,5.094805681035759,5.825033376725871
I2,donor,restore,core20,40,0.248321533203125,0.5,0.5,20,5.639776039123535,5.639776039123535,5.67059326171875,3.632080078125,7.730224609375,1.0,1.0,True,coherent,5.097163996696472,6.1795729780197135,5.097163996696472,6.1795729780197135
I2,donor,restore,additional69,138,-0.06628270080124123,0.5,0.5,69,5.453406361566073,5.453406361566073,5.49163818359375,0.549560546875,9.205078125,1.0,1.0,True,coherent,5.038371551209602,5.868258480749265,5.038371551209602,5.868258480749265
I2,donor,restore,all89,178,0.004414879873897252,0.5,0.5,89,5.495287187983481,5.495287187983481,5.623046875,0.549560546875,9.205078125,1.0,1.0,True,coherent,5.148167552037186,5.833635864097081,5.148167552037186,5.833635864097081
I2,mean,noise,core20,40,2.740007781982422,0.9,0.9,20,3.0686010360717773,3.0808263778686524,3.3000869750976562,-0.12225341796875,4.981689453125,0.95,0.95,True,coherent,2.436712260246277,3.626840286254882,2.464217195510864,3.6285985422134397
I2,mean,noise,additional69,138,2.464638834414275,0.8405797101449275,0.8405797101449275,69,3.1775493829146675,3.309085562609244,2.899169921875,-2.1848182678222656,10.6378173828125,0.927536231884058,0.9855072463768116,True,coherent,2.652365539730459,3.729091516784999,2.8334879329239113,3.8241129059722456
I2,mean,noise,all89,178,2.526519496789139,0.8539325842696629,0.8539325842696629,89,3.1530666083432317,3.2577913637911338,2.9647216796875,-2.1848182678222656,10.6378173828125,0.9325842696629213,0.9775280898876404,True,coherent,2.7252648012021954,3.599372428588653,2.8637122277463423,3.670721976006967
I2,mean,restore,core20,40,-1.9913654327392578,0.15,0.85,20,3.400089073181152,3.400089073181152,3.452392578125,0.9820709228515625,6.323577880859375,1.0,1.0,True,coherent,2.8197587299346925,3.989891324043274,2.8197587299346925,3.989891324043274
I2,mean,restore,additional69,138,-2.7495810951011768,0.15942028985507245,0.8405797101449275,69,2.770107967266138,2.9469763507013735,2.785888671875,-2.317169189453125,6.1195526123046875,0.9130434782608695,1.0,True,coherent,2.3275484276854472,3.19974091882291,2.5859487029089445,3.313689283184383
I2,mean,restore,all89,178,-2.579195552997375,0.15730337078651685,0.8426966292134831,89,2.9116767551122087,3.0487994344046947,3.0442657470703125,-2.317169189453125,6.323577880859375,0.9325842696629213,1.0,True,coherent,2.538806679275598,3.2744646029525923,2.7361707264117983,3.3658238693569476
I3,donor,noise,core20,40,0.10254592895507812,0.475,0.475,20,5.706062889099121,5.706062889099121,5.930702209472656,3.2784423828125,8.180397033691406,1.0,1.0,True,coherent,5.113584384918213,6.291238241195679,5.113584384918213,6.291238241195679
I3,donor,noise,additional69,138,0.10630274510038072,0.4855072463768116,0.4855072463768116,69,5.5358854722285615,5.5358854722285615,5.57366943359375,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.1128697238106655,5.9599644787069685,5.1128697238106655,5.9599644787069685
I3,donor,noise,all89,178,0.1054585167531217,0.48314606741573035,0.48314606741573035,89,5.574127588379249,5.574127588379249,5.57586669921875,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.219662127601967,5.926222226994761,5.219662127601967,5.926222226994761
I3,donor,restore,core20,40,0.3600797653198242,0.525,0.475,20,5.751534271240234,5.751534271240234,5.722711563110352,3.6995849609375,7.8658447265625,1.0,1.0,True,coherent,5.207990193367005,6.284250559806822,5.207990193367005,6.284250559806822
I3,donor,restore,additional69,138,0.003451167673304461,0.5,0.5,69,5.523140230040619,5.523140230040619,5.6427459716796875,0.564697265625,9.010833740234375,1.0,1.0,True,coherent,5.104343119220458,5.941959791598112,5.104343119220458,5.941959791598112
I3,donor,restore,all89,178,0.08359242557139879,0.5056179775280899,0.4943820224719101,89,5.5744647336809825,5.5744647336809825,5.698886871337891,0.564697265625,9.010833740234375,1.0,1.0,True,coherent,5.226797479458069,5.918070653851112,5.226797479458069,5.918070653851112
I3,mean,noise,core20,40,2.867929458618164,0.95,0.95,20,2.940679359436035,2.940679359436035,3.0126686096191406,0.11077880859375,4.4835662841796875,1.0,1.0,True,coherent,2.3876891374588016,3.434430155754089,2.3876891374588016,3.434430155754089
I3,mean,noise,additional69,138,2.622647492781929,0.9057971014492754,0.9057971014492754,69,3.019540724547013,3.097676449927731,2.784454345703125,-1.5019569396972656,10.0689697265625,0.9565217391304348,0.9710144927536232,True,coherent,2.565768532476563,3.500042883727861,2.6789098559946254,3.5562808969746467
I3,mean,noise,all89,178,2.6777670356664767,0.9157303370786517,0.9157303370786517,89,3.001819069465894,3.062396204873417,2.838226318359375,-1.5019569396972656,10.0689697265625,0.9662921348314607,0.9775280898876404,True,coherent,2.632123011819432,3.3870373566498913,2.715541079205074,3.4273906253696826
I3,mean,restore,core20,40,-2.1130115509033205,0.1,0.9,20,3.27844295501709,3.27844295501709,3.41119384765625,1.247955322265625,5.9322509765625,1.0,1.0,True,coherent,2.756739525794983,3.8047631311416628,2.756739525794983,3.8047631311416628
I3,mean,restore,additional69,138,-2.834981199623882,0.07971014492753623,0.9202898550724637,69,2.684707862743433,2.7765805894050044,2.59722900390625,-1.7491455078125,5.6468505859375,0.9710144927536232,0.9855072463768116,True,coherent,2.31329306450443,3.0447467707205504,2.4521772426107655,3.104888464056927
I3,mean,restore,all89,178,-2.672740829124879,0.08426966292134831,0.9157303370786517,89,2.818131478984704,2.8893586490931136,2.8419189453125,-1.7491455078125,5.9322509765625,0.9775280898876404,0.9887640449438202,True,coherent,2.50375672726149,3.127334538470493,2.6055865062756483,3.172944836134321
