head,groups,stage2_P,stage3_F,F_family_sd,F_positive_family_fraction,F_promotion,F_suppression,P_common40,F_common40,routing_importance,value_importance,AV_interaction_importance,position_comparisons,contextual_RI_status,reverse_P_recovery,reverse_F_recovery,ri_test_only,ri_historical_extra,ri_union
L6H24,moderate-effect_supplement,0.1013488073027535,-0.0004334744442714,0.0034603958825886,0.4044943820224719,-0.0005740047840589,0.0001405343580781,0.0110059976577758,-0.0010831832885742,-0.0001409294899929,-0.0001203049434704,-8.663434660836552e-06,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L7H1,moderate-effect_supplement,0.2375924346152316,-0.000256238358744,0.0034430288098021,0.4606741573033708,-0.000170075491573,-8.615483058972305e-05,0.2574415206909179,-0.0011241912841796,0.0002786657783422,3.7991598750768085e-05,-7.64118151718311e-05,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L7H18,RI-selected_small-effect,-0.0011905766604991,-0.0001279155859786,0.0038849018008487,0.4606741573033708,-0.000219452247191,9.154335836346228e-05,-0.0135928153991699,-0.0009395599365234,-0.000278255912695,-0.0002548078472694,0.0001004653030566,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L7H25,RI-selected_small-effect,0.0032631520474894,-0.0007265739226609,0.0035654175703174,0.3820224719101123,-0.0007248782040028,-1.6917003674453564e-06,-0.0045053482055664,-0.0012355804443359,-0.0005122891972573,-0.0005497182353159,0.0003241180034165,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L8H8,RI-selected_small-effect,-0.0449317760681838,-0.000251866458507,0.0037967147831246,0.4269662921348314,-0.0004231313641151,0.0001712716027592,-0.0402161598205566,-0.0001245498657226,0.0002581617805395,-0.0002303873555044,-7.874778147493855e-05,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L8H15,moderate-effect_supplement,0.279438067018316,-0.0004437934146838,0.0042189125404251,0.449438202247191,-0.0004491913184691,5.404600936375308e-06,0.3670095443725586,-0.0007732391357421,-0.0002949746806969,-0.0005269559581628,0.0009324202376804,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L8H16,RI-selected_small-effect,-0.0052538668171743,-0.0008983397751711,0.0033815438912181,0.3932584269662921,-0.0009662756759129,6.794125846262728e-05,-0.0037628173828125,-0.0020221710205078,-3.356612130497279e-05,0.0005917709864927,-0.0007327433382527,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L9H6,RI-selected_small-effect,-0.0349045657040028,0.0011349688754992,0.0048445475454992,0.6292134831460674,0.0008928963307584,0.0002420765630314,-0.0632540702819824,0.0003746032714843,-0.0004231313641151,0.0006729083114795,0.000802554441302,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L9H16,RI-selected_small-effect,0.0950192280029982,-0.0006317556574103,0.0037192283806589,0.4606741573033708,-0.0008154022559691,0.0001836519562796,0.1090993881225586,-0.0010993957519531,0.0003145303619041,-0.0003243028447869,-0.000246524810791,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L9H17,RI-selected_small-effect,0.0270456946297977,0.0008761213066872,0.0063029560169845,0.5393258426966292,0.0007152771681882,0.0001608481567897,0.0344621658325195,-0.0007171630859375,-0.000822469089808,-0.0008955296505703,0.0023631379845437,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L9H22,RI-selected_small-effect,-0.0020332443580198,-0.0007952465100234,0.0038734842239695,0.4382022471910112,-0.0010101661253511,0.0002149182758974,-0.0012098312377929,-0.0008440017700195,-0.0010707485541868,-0.0005507094136784,0.0010719701145472,1724,insufficient matched support: see contextual_ri.csv,,,False,True,True
L9H23,random-controls,0.0005100711008136,-0.0004351755206504,0.0032029427317723,0.4943820224719101,-0.0005081691099016,7.299760754188795e-05,-0.0002071380615234,-0.0013641357421875,-0.000638040264001,4.404582334368416e-05,0.0001190860619705,1724,insufficient support: zero saved scored events,,,False,False,False
L9H26,random-controls,-0.0016403091087769,-0.0009253373306788,0.0045570123465663,0.4157303370786517,-0.0009909640537219,6.56307413336936e-05,-0.0076028823852539,-0.0009317398071289,-0.0003343164251091,-0.001016707902544,0.0006507916396923,1724,insufficient support: zero saved scored events,,,False,False,False
L10H16,RI-selected_small-effect,-0.0477431423208686,0.0009239496809712,0.0058385809843766,0.5955056179775281,0.0004827949438202,0.0004411587554417,-0.0266011893749237,-0.0014636993408203,-0.0001363781061065,0.0004313661811057,0.0006675854157865,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L11H3,RI-selected_small-effect,0.0213306539514091,0.0030929104665691,0.0086266545128924,0.6179775280898876,0.0028432781776685,0.0002496363071913,0.0315065383911132,0.0033695220947265,-0.0015947282984015,0.0018645350852709,0.0027807562538747,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L11H4,RI-selected_small-effect,0.0040213954582642,0.0004384008686194,0.0049727435325523,0.5617977528089888,0.0001995643872893,0.0002388404996207,0.0044265747070312,-3.681182861328125e-05,0.0001172376482674,0.000120521931166,0.0009408640057853,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L11H7,RI-selected_small-effect,-0.0018788294845752,-0.0002502484268017,0.0038132764183722,0.4269662921348314,-0.0003977571980337,0.0001475127895226,0.0149991989135742,-0.0003124237060546,0.0002992019224702,0.0004975286762366,-0.0007898995045865,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L11H15,RI-selected_small-effect,-0.0503582686520694,-0.0029604354601227,0.0093065775423389,0.3707865168539326,-0.0026265690835674,-0.0003338596794042,-0.0675471305847168,-0.0018674850463867,-8.933731679166301e-05,-0.0024220970239532,6.40220856398679e-05,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L11H20,random-controls,-0.0025060739410057,-0.0006536151585953,0.0047810438876045,0.4719101123595505,-0.0007406513342696,8.704019396492605e-05,-0.0104816436767578,0.0001766204833984,6.4405162682694e-05,-0.0001393971818216,-7.072995217998377e-05,1724,insufficient support: zero saved scored events,,,False,False,False
L11H27,random-controls,-0.004102074698116,0.0029773872889829,0.0216574674010052,0.5617977528089888,0.0035002633426966,-0.0005228693565625,0.0143058776855468,0.0047998428344726,0.0005377973063608,0.0016834441195713,0.0005405886789386,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L12H2,RI-selected_small-effect,0.0101441961995671,-0.0006904869936825,0.0049413573269853,0.4831460674157303,-0.000889467389396,0.0001989870928646,0.0120584487915039,-0.002214241027832,-0.0002176949147428,-0.001466209968824,0.0011369565899452,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L12H9,RI-selected_small-effect,-0.0060606913620166,0.0004080708107251,0.0144519865102832,0.4943820224719101,0.0006755014483848,-0.0002674286285143,-0.0046133041381835,0.001387596130371,-0.0012174134843804,-0.0003935567448648,0.001958423785949,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L12H17,moderate-effect_supplement,0.2135426971349823,0.0117758499102646,0.0216467100993621,0.6966292134831461,0.011961519048455,-0.0001856651198997,0.2296274185180664,0.0164833068847656,-0.0007952411523026,0.0114919469597634,0.0012720113389947,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L13H1,RI-selected_small-effect,0.0011389335889494,8.198920260654407e-05,0.0035091615751656,0.5056179775280899,-0.0002077938465589,0.0002897870674561,-0.0008211135864257,0.0002342224121093,-0.0004184058543001,-0.0005001271708627,0.0008029991321349,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L13H10,strong-negative,-0.6808159699600734,-0.0286913828903369,0.0329723777019049,0.1910112359550561,-0.0278265449438202,-0.0008648312493656,-0.8156453132629394,-0.0309330940246582,-0.0012219086121977,-0.0275398586573225,0.0001145052106192,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L13H22,RI-selected_small-effect,-0.0055639958113766,0.0001976891849817,0.0151252362365973,0.4831460674157303,0.00018310546875,1.458739966488956e-05,0.001449966430664,-0.0030288696289062,0.0005163878537295,-0.0009716253602102,0.0005745700236116,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L13H30,random-controls,0.0025137006566765,-0.0002372559536708,0.0062011240387827,0.3932584269662921,-0.0002516842959971,1.443269547451748e-05,0.0009002685546875,0.0003326416015625,-4.810697576972876e-05,0.000776915068037,-0.0008779402529255,1724,insufficient support: zero saved scored events,,,False,False,False
L14H10,RI-selected_small-effect,-0.0058660507202148,-0.0017773140682263,0.0129646394801481,0.4719101123595505,-0.0017885358146067,1.1225764671068514e-05,-0.0054308414459228,-0.0041862487792968,-0.000162831852945,-0.0009866778770189,-0.0008411702145351,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L14H23,moderate-effect_supplement,-0.2115684252106741,-0.024763487697987,0.0399565730977882,0.2584269662921348,-0.0237515910287921,-0.001011891311474,-0.202612829208374,-0.0206243991851806,0.0003768165459793,-0.0239763367042112,-0.0011098197336946,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L14H26,strong-positive_outside-RI,0.3985126634662071,0.0066103988818908,0.0796912193758238,0.5842696629213483,0.004307436139396,0.0023029667607853,0.4052606582641601,0.00377197265625,-0.0012935466980666,0.0096260724442728,-0.0015038426002759,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L15H0,RI-selected_small-effect,0.0050197612033801,0.0002642213628533,0.0102966504670159,0.5168539325842697,6.926461551966293e-05,0.0001949607656243,0.0052623748779296,-0.0024438858032226,0.0004781283689348,-0.0009892897659473,0.000715526302209,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L15H2,RI-selected_small-effect,0.0153975326023744,0.0085916572742247,0.0077433256687511,0.8651685393258427,0.0084900588132022,0.0001016031490283,0.0148571014404296,0.0088083267211914,-0.002353341391917,0.0073558560917886,0.0037895588392622,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L15H3,moderate-effect_supplement,-0.1060322831186015,-0.0488650611277376,0.0546700863033496,0.1348314606741573,-0.0494569928458567,0.0005919357364097,-0.1111987113952636,-0.0513971328735351,-0.0102579941910304,-0.049877423918649,0.0114190605249297,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L15H18,RI-selected_small-effect,0.0262743274817306,0.0404967190174574,0.1084506613261904,0.7078651685393258,0.039938851688685,0.000557871347063,0.0343390703201293,0.0371868133544921,-0.0067628046100059,0.0512343470969896,-0.003864379411333,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L15H25,strong-positive_outside-RI,0.6793103164501404,0.1685789354731527,0.1594542925264379,0.9550561797752808,0.1658542933089009,0.0027246461825424,0.6612307786941528,0.1288051605224609,0.0051017718368701,0.1651423700739828,-0.0015590753448143,1724,insufficient support: zero saved scored events,,,False,False,False
L15H27,random-controls,0.006103997819879,0.0036656936902678,0.0122769100847755,0.5842696629213483,0.0036909124824438,-2.5216448173094333e-05,0.0103076934814453,0.006563377380371,0.0004867435841078,0.0041139688384666,-0.0007848846778441,1724,insufficient support: zero saved scored events,,,False,False,False
L15H28,RI-selected_small-effect,0.0147899938433357,0.0113936220661977,0.0318583030714487,0.6067415730337079,0.011327850684691,6.577406036719847e-05,0.0109877586364746,0.0134087562561035,0.0011901534005497,0.0131278091602111,-0.0030513077639461,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L15H29,RI-selected_small-effect,0.004315520940202,-0.0004707909701915,0.0044044130724809,0.4719101123595505,-0.000707733497191,0.0002369478847203,0.005626106262207,-0.0023786544799804,-0.0005740315726633,-0.0007739442118098,0.0009357661343692,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H1,strong-positive_RI-selected,0.8679152553001147,0.8566900478320175,0.4838815071398754,0.9775280898876404,0.8052009839690133,0.0514890678812948,0.8772293090820312,0.8571853637695312,0.0430367287625087,0.8221738184435984,-0.0086747803045122,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H2,RI-selected_small-effect,0.0066012211060256,0.008399883013093,0.0179934194609112,0.6966292134831461,0.0082157435042134,0.0001841435271702,0.0093992233276367,0.011208152770996,0.0001979892173509,0.0088197568829139,-0.0005173254548833,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H4,RI-selected_small-effect,0.0257281614153572,0.0209455757998348,0.0247357433101604,0.8202247191011236,0.0202520134743679,0.0006935663437575,0.0159385681152343,0.0165077209472656,0.0029098746481906,0.020110108879175,-0.0020967038829674,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H16,RI-selected_small-effect,0.0211655745345555,0.0156291629491227,0.0167739160789829,0.8202247191011236,0.0149460696102528,0.0006830973571605,0.0191860198974609,0.0120416641235351,0.0046120172136285,0.0141342355963889,-0.0029928175251135,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H21,strong-positive_RI-selected,0.924523621462704,0.892819924300976,0.5649966644448682,0.9887640449438202,0.9034560985779494,-0.0106361702586827,0.9031507492065428,0.8809165954589844,-0.0522411485736289,0.9448671555251218,0.0001660143391469,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H24,RI-selected_small-effect,-0.0456918277097552,-0.0419822114237238,0.0870675268340035,0.3033707865168539,-0.0426515729239817,0.0006693655185485,-0.0718903541564941,-0.0652898788452148,-0.0039731304297286,-0.0408892952994014,0.0030018560002359,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L16H31,moderate-effect_supplement,-0.1875795996590946,-0.1729035966851738,0.1061900750567894,0.0224719101123595,-0.1720070142424508,-0.0008965784244323,-0.1764330863952636,-0.1623261451721191,-0.006795701016201,-0.1656891710302803,-6.821718108787965e-05,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L17H1,strong-positive_outside-RI,5.701261729336856,-0.0555962739365824,0.0281644104487762,0.0112359550561797,-0.0545376552624648,-0.0010586153255419,5.741884040832519,-0.0519569396972656,-0.0001274280333786,-0.0537114625566461,-0.0016355889566828,1724,insufficient matched support: see contextual_ri.csv,5.21438650334819,-0.0545812778258591,False,False,False
L17H3,strong-negative,-0.5459773085090551,-0.4022092337018988,0.2617148265396189,0.0337078651685393,-0.4153816137420997,0.0131723840584915,-0.524808692932129,-0.40670166015625,-0.1010176599695441,-0.3560709283592995,0.0549708752149946,1724,insufficient matched support: see contextual_ri.csv,,,False,False,False
L17H5,RI-selected_small-effect,-0.0132640613598769,-0.0587060746182216,0.0439640851609714,0.0674157303370786,-0.0591204353932584,0.0004143621144669,-0.0075478553771972,-0.0616344451904296,0.0005107997508531,-0.0557000020916542,-0.0035310541645864,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L17H17,strong-positive_outside-RI,0.5325947504365043,0.5135603861862355,0.2983643562928533,0.9887640449438202,0.4991298204057672,0.0144305697987588,0.5068926811218262,0.5041862487792969,-0.0118501588199915,0.5176870635386264,0.0077138536431816,1724,insufficient support: zero saved scored events,,,False,False,False
L17H24,strong-positive_RI-selected,0.4326200431652283,0.4291944557361388,0.2041671172171116,0.9887640449438202,0.4003553069039677,0.0288391501716013,0.4964737892150879,0.483038330078125,-0.0062096788642111,0.4219826848319407,0.013713874173968,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L18H5,random-controls,-0.0082149773501278,-0.0089617016610134,0.0120739878671878,0.2921348314606741,-0.0091497871313202,0.0001880868097369,-0.0061923027038574,-0.0070085525512695,-0.0008844150586074,-0.0077963330772485,-0.000145210308975,1724,insufficient support: zero saved scored events,,,False,False,False
L18H15,RI-selected_small-effect,0.0060462469465277,0.005192488766788,0.0156638059198016,0.6179775280898876,0.0060088768433988,-0.0008163807097445,0.0048547744750976,0.0047864913940429,0.0001898856645219,0.007354864913426,-0.0023524011119028,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L18H18,strong-positive_outside-RI,2.703694239091337,2.723319755511337,0.9807158601733058,1.0,2.617969298630618,0.1053504608990101,2.767562675476074,2.7680044174194336,0.1097401715396495,2.8844732273830456,-0.2708905359332481,1724,completed; eligibility varies by metric (see support table),2.847919825757488,2.864847402894095,False,False,False
L18H19,strong-positive_RI-selected,3.072138234470668,3.0789664997143693,0.9780862213737684,1.0,2.875833339905471,0.2031331638271889,3.0803802490234373,3.0843584060668947,0.0806187351098221,3.157418727874756,-0.1591728885522049,1724,completed; eligibility varies by metric (see support table),3.218803662932321,3.2245959164051525,True,False,True
L18H22,random-controls,0.0831706175643406,0.0887694680288936,0.0717406510121588,0.9438202247191012,0.0886669373244382,0.000102534722746,0.0702291488647461,0.084954833984375,0.0176595355687516,0.0876739266213406,-0.0167275118024161,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L18H24,strong-negative,-0.5346279197864319,-0.5696672428859754,0.3250797761016892,0.0337078651685393,-0.6000376497761587,0.030370410908474,-0.6463672637939453,-0.6711137771606446,-0.0282483850972036,-0.5350653991270601,-0.0063071679533197,1724,insufficient support: zero saved scored events,,,False,False,False
L19H16,strong-negative,-0.8197843251603373,-0.8292487685600024,0.4298977128950085,0.0,-0.8271018038974719,-0.0021469603093822,-0.8508807420730591,-0.8590944766998291,-0.1642348043034585,-0.6859003399195296,0.0208931531798973,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L19H20,random-controls,0.0019101721517155,0.0012614593077241,0.0053085703078971,0.5056179775280899,0.0011246927668539,0.0001367705591608,-0.0015830039978027,-0.000514793395996,0.0028313143869464,0.0010452431239438,-0.0025233418753977,1724,insufficient support: zero saved scored events,,,False,False,False
L19H22,strong-positive_outside-RI,0.4289205958334248,0.4194150935398059,0.241923740792598,0.9775280898876404,0.4073829222261236,0.0120321753319729,0.4891920089721679,0.4663902521133423,0.014048220066542,0.4199813403440325,-0.0145817097653163,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L20H1,strong-negative,-1.562972363461269,-1.5264921509817746,0.7658995967518462,0.0,-1.487522768170646,-0.0389693787928377,-1.4342435836791991,-1.431660270690918,-0.214670358079203,-1.2969278807050726,-0.0147215489591105,1724,insufficient matched support: see contextual_ri.csv,-1.62775938698415,-1.580464695276839,False,False,False
L20H7,RI-selected_small-effect,-0.0261140083998776,-0.0260404951117011,0.3533915423634678,0.3258426966292135,-0.0498307474543539,0.0237902563609434,-0.0772954702377319,-0.0755789756774902,-0.039472783549448,-0.0026230437032292,0.0161215857173619,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L20H14,RI-selected_small-effect,0.0172549338822954,0.0173213026496801,0.0263384314476676,0.7303370786516854,0.0169670876492275,0.0003542190187432,0.013936424255371,0.0144736051559448,2.0675444870852356e-05,0.0180942503254065,-0.0009731549895211,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L21H6,strong-positive_outside-RI,0.7023398956555998,0.6881023417697864,0.3172828605963576,1.0,0.636124343014835,0.0519780000943816,0.7522012710571289,0.7546694278717041,0.0046655729915318,0.6203096458751164,0.0631159574128268,1724,completed; eligibility varies by metric (see support table),,,False,False,False
L21H11,random-controls,1.3514850916487448e-05,0.0002945567784684,0.0025236264727116,0.5280898876404494,5.829200316011236e-05,0.0002362714724594,-0.0003122329711914,0.0002271652221679,-0.0007585836260506,-0.0005242315570959,0.0015907448329282,1724,insufficient support: zero saved scored events,,,False,False,False
L21H18,strong-positive_outside-RI,1.7040413363596028,1.7020256854175182,0.5708842272619736,1.0,1.4941471399885884,0.2078785494472203,1.8497880935668944,1.8519536972045896,0.0110192406043577,1.6949202130349834,-0.0039941768967703,1724,completed; eligibility varies by metric (see support table),1.751831068081802,1.7580045635780592,False,False,False
L21H22,random-controls,8.256247874056355e-05,-0.0007512971256556,0.004986773541734,0.4269662921348314,-0.0005109122629915,-0.0002403835232338,0.0003219604492187,-0.0002220153808593,-0.0009269633989655,5.229403463642249e-05,0.0001707344912411,1724,insufficient support: zero saved scored events,,,False,False,False
L21H23,strong-positive_outside-RI,0.6109174931986948,0.6030534519238419,0.3328675659246465,1.0,0.5720667464009831,0.0309867095411493,0.6337644577026367,0.6235842704772949,-0.0034353545542513,0.6386165190278814,-0.0317438639951555,1724,insufficient support: zero saved scored events,,,False,False,False
L21H24,RI-selected_small-effect,0.01258299859722,0.0132375138529231,0.016338688951477,0.7640449438202247,0.0107264143697331,0.0025111028317655,0.0180311679840087,0.0200119018554687,0.0042865249548065,0.0087812509429588,0.0001884256855825,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L21H25,RI-selected_small-effect,0.0546797366624467,0.0496970669607098,0.037455469696996,0.9775280898876404,0.048729371488764,0.0009677021690968,0.055244493484497,0.0561595916748046,0.0014155152138699,0.0412774166364348,0.0069154219680957,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L21H27,RI-selected_small-effect,0.046034196789345,0.0503837660457311,0.1581409764722165,0.5617977528089888,0.0635012508778089,-0.0131174781349267,0.0628979682922363,0.0479659080505371,0.0011953450320811,0.0206251519449641,0.0282736092471004,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L22H5,strong-positive_RI-selected,0.9824650635880032,0.9838193989871592,0.3908057033208212,1.0,0.9194178206197332,0.0644015823857168,1.068263816833496,1.066744041442871,-0.0045241988107059,1.040489668256781,-0.0522785936848501,1724,completed; eligibility varies by metric (see support table),1.0077442747823309,1.0084269716498555,True,False,True
L22H15,random-controls,-0.00013231427482,-7.61707177322902e-05,0.0023921738597949,0.4606741573033708,-0.0002338538009129,0.0001576871014712,-1.277923583984375e-05,-0.0004749298095703,0.000266487678785,-0.0002427958370594,-0.0001806355594249,1724,insufficient support: zero saved scored events,,,False,False,False
L22H31,random-controls,0.0186898976229549,0.0187326763453108,0.0515387543725971,0.8314606741573034,0.0194482696190309,-0.0007155892554293,0.0141558647155761,0.0152432441711425,0.0002039362875263,0.0103629519430439,0.0079862187417705,1724,insufficient support: zero saved scored events,,,False,False,False
L23H10,RI-selected_small-effect,0.0266347681538442,0.033515764086434,0.0284869575046189,0.9213483146067416,0.0335734506671348,-5.768524127060108e-05,0.0167827606201171,0.0280548095703125,0.0058665221996521,0.03238643689102,-0.0047317086980583,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L23H15,strong-negative,-0.9468907184815138,-0.953273545490222,0.5473221493237116,0.0112359550561797,-0.9417292562763344,-0.0115442851955971,-0.9492952346801756,-0.9637468338012696,-0.0932470921720011,-0.8512508145878824,-0.0088357121756907,1724,completed; eligibility varies by metric (see support table),-0.9253885558481968,-0.9282172931714004,True,False,True
L23H17,random-controls,-0.0003755494449915,-0.000520896375849,0.0021390618178658,0.3932584269662921,-0.0005692042661516,4.830922973289918e-05,-0.0004932403564453,-0.0006253242492675,-0.0004753745004032,-0.0002023771907506,0.0002393374282322,1724,insufficient support: zero saved scored events,,,False,False,False
L24H17,RI-selected_small-effect,0.0346287770217724,0.036341265346227,0.1443016722113711,0.6292134831460674,0.0802509436446629,-0.0439096742801451,0.0355298995971679,0.033620262145996,-0.0169180377145831,0.0158601235807611,0.0374245536461305,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L25H11,random-controls,0.0002114746008026,0.0001285692279258,0.002504873382561,0.5393258426966292,3.0174683988764044e-05,9.839856222774204e-05,-0.0003402709960937,-0.0006702423095703,0.0003473410445652,-0.0001866040604837,-0.0001535308494996,1724,insufficient support: zero saved scored events,,,False,False,False
L25H13,random-controls,0.0060967273926467,0.0061186431499009,0.0172010232672325,0.6292134831460674,0.0057750230424859,0.0003436247954207,0.0046305656433105,0.0050241470336914,0.0052377159675855,-0.0002162590455473,0.0011406962791185,1724,insufficient support: zero saved scored events,,,False,False,False
L25H15,random-controls,-0.0001950156822633,-0.0004291534423828,0.0028873575553632,0.4044943820224719,-0.000132357136587,-0.000296792287505,-0.0005311965942382,-0.000853157043457,0.0002224847172083,-0.0004381490557381,-0.0001128657480304,1724,insufficient support: zero saved scored events,,,False,False,False
L25H17,strong-positive_outside-RI,1.267172958073991,1.270994771732373,0.3624679082005095,1.0,1.0850131859940089,0.1859815897566548,1.3193326950073243,1.3212377548217773,-0.0163695678282319,1.2935328805044797,-0.0061615973376156,1724,completed; eligibility varies by metric (see support table),1.2693675126922264,1.2706036406956362,False,False,False
L25H18,RI-selected_small-effect,-0.0006707384345236,0.000505458103137,0.1023213423271454,0.348314606741573,0.0041051285990168,-0.0035996664775891,0.0057316780090332,0.0047619581222534,-0.0125572761792815,-0.0173049401701166,0.030518901482057,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L25H20,random-controls,0.0003478982475366,0.0006026578753182,0.0025273774371252,0.5280898876404494,0.000316834181882,0.0002858297208721,0.0012451171875,0.0011798858642578,0.0006918049930186,-0.0003943014680669,0.0002358897348468,1724,insufficient support: zero saved scored events,,,False,False,False
L25H21,random-controls,0.0069173587841934,0.0058009999521662,0.0935976012187289,0.3033707865168539,0.0034213976913623,0.0023796062790945,0.026913833618164,0.0223529815673828,-0.0062275870462481,-0.0168236453881424,0.028851672504725,1724,insufficient support: zero saved scored events,,,False,False,False
