id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
G1:O4:whole,noise,20,5.643379020690918,5.643379020690918,5.778144836425781,3.35931396484375,8.119377136230469,1.0,1.0,True,coherent,5.051795473098755,6.238350305557249,4.939403915405274,11.200063323974609,0.5038702780019846,0.5038702780019846,G1,O4,whole,,,,
G3:0:change,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,G3,,change,,[],,
G3:0:change,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,G3,,change,,[],,
G3:0:conditional,noise,20,0.004895973205566406,0.025926780700683594,-0.00609588623046875,-0.04998779296875,0.2675628662109375,0.25,0.05,False,below_rule,-0.013816924095153808,0.03578794479370111,0.03177299499511719,11.200063323974609,0.0004371379932367163,0.002314878045839732,G3,,conditional,,[],,
G3:1:change,noise,20,0.002173614501953125,0.004479217529296875,0.0012054443359375,-0.0079345703125,0.0174560546875,0.65,0.0,False,below_rule,-0.0002924203872680664,0.0049070405960083,0.00665283203125,11.200063323974609,0.00019407162612199998,0.0003999278753816294,G3,,change,,['L21H18'],,
G3:1:conditional,noise,20,0.007069587707519531,0.026161003112792968,-0.009176254272460938,-0.0423583984375,0.27972412109375,0.2,0.05,False,below_rule,-0.012163577079772949,0.039040451049804685,0.030138778686523437,11.200063323974609,0.0006312096193587162,0.0023357906429683573,G3,,conditional,,['L21H18'],,
G3:2:change,noise,20,0.0029079437255859373,0.009529876708984374,7.62939453125e-05,-0.016143798828125,0.055267333984375,0.5,0.0,False,below_rule,-0.0026602697372436522,0.01010514736175537,0.012943267822265625,11.200063323974609,0.0002596363646767297,0.0008508770382203939,G3,,change,,"['L21H18', 'L22H5', 'L21H6']",,
G3:2:conditional,noise,20,0.007803916931152344,0.02648639678955078,-0.007568359375,-0.033203125,0.26090240478515625,0.15,0.05,False,below_rule,-0.011572084426879882,0.03890459060668943,0.031959152221679686,11.200063323974609,0.000696774357913446,0.0023648434855591026,G3,,conditional,,"['L21H18', 'L22H5', 'L21H6']",,
G3:3:change,noise,20,0.01903667449951172,0.029710960388183594,0.00295257568359375,-0.043487548828125,0.30078125,0.6,0.05,False,below_rule,-0.002873401641845703,0.05352191925048823,0.02721061706542969,11.200063323974609,0.001699693470371925,0.002652749321924365,G3,,change,,"['L21H18', 'L22H5', 'L21H6', 'L27H6']",,
G3:3:conditional,noise,20,0.023932647705078126,0.039652252197265626,-0.003631591796875,-0.0478515625,0.32080078125,0.3,0.1,False,below_rule,-0.007955398559570313,0.06848615646362297,0.03817291259765625,11.200063323974609,0.002136831463608641,0.0035403596435376297,G3,,conditional,,"['L21H18', 'L22H5', 'L21H6', 'L27H6']",,
G3:4:change,noise,20,0.015659141540527343,0.025184440612792968,0.00151824951171875,-0.040557861328125,0.261474609375,0.55,0.05,False,below_rule,-0.003672823905944824,0.045476555824279785,0.021108627319335938,11.200063323974609,0.001398129732624612,0.0022485980555916776,G3,,change,,['L27H6'],,
G3:4:conditional,noise,20,0.02055511474609375,0.03833770751953125,-0.00341796875,-0.0477294921875,0.281494140625,0.45,0.1,False,below_rule,-0.00938720703125,0.06160907745361326,0.0376495361328125,11.200063323974609,0.001835267725861328,0.003422990246623552,G3,,conditional,,['L27H6'],,
block:L13H10:query_sentence,noise,20,-0.6655460596084595,0.6655460596084595,-0.5087072849273682,-1.6493988037109375,-0.177398681640625,1.0,1.0,True,coherent,-0.8443546622991562,-0.502541060447693,0.44828181266784667,11.200063323974609,-0.05942341934655014,0.05942341934655014,blocking,,blocking,,,426,query_sentence
block:L13H10:query_sentence,restore,20,-0.42905116081237793,0.47606654167175294,-0.351593017578125,-1.680877685546875,0.437164306640625,0.9,0.95,True,coherent,-0.6264199733734132,-0.252573544979096,0.42313375473022463,11.200063323974609,-0.038307922768075826,0.04250570089659184,blocking,,blocking,,,426,query_sentence
block:L13H10:query_sentence:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L13H10:query_sentence:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L13H10:query_sentence:source,noise,20,-0.5907781839370727,0.5910330057144165,-0.392181396484375,-1.7917938232421875,0.0025482177734375,0.95,0.9,True,coherent,-0.813276498913765,-0.3915812200307847,0.45752673149108886,11.200063323974609,-0.05274775390532533,0.052770505721093944,blocking,,source,,,426,query_sentence
