id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
block:L17H1:query_sentence:source,noise,20,6.217210197448731,6.217210197448731,5.994285583496094,3.42901611328125,9.062126159667969,1.0,1.0,True,coherent,5.562572336196899,6.855063424110412,3.4199398040771483,11.200063323974609,0.555104914821357,0.555104914821357,blocking,,source,,,545,query_sentence
block:L17H1:query_sentence:source,restore,20,6.025264549255371,6.025264549255371,5.9854583740234375,3.71099853515625,8.40966796875,1.0,1.0,True,coherent,5.418320536613464,6.641606130599975,3.6944019317626955,11.200063323974609,0.537967007414844,0.537967007414844,blocking,,source,,,545,query_sentence
block:L17H1:query_writer_union,noise,20,5.017246437072754,5.017246437072754,4.712368011474609,2.56317138671875,6.8335723876953125,1.0,1.0,True,coherent,4.469584221839905,5.526516542434691,3.4160282135009767,11.200063323974609,0.4479658991153154,0.4479658991153154,blocking,,blocking,,,545,query_writer_union
block:L17H1:query_writer_union,restore,20,4.8619993209838865,4.8619993209838865,4.939567565917969,2.845733642578125,6.89080810546875,1.0,1.0,True,coherent,4.383451111316681,5.343513145446778,3.4538013458251955,11.200063323974609,0.43410462783513,0.43410462783513,blocking,,blocking,,,545,query_writer_union
block:L17H1:query_writer_union:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L17H1:query_writer_union:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L17H1:query_writer_union:source,noise,20,5.697087287902832,5.697087287902832,5.357818603515625,3.3106689453125,8.617439270019531,1.0,1.0,True,coherent,5.0846329164505,6.310855112075806,3.3841800689697266,11.200063323974609,0.5086656318904709,0.5086656318904709,blocking,,source,,,545,query_writer_union
block:L17H1:query_writer_union:source,restore,20,5.456295585632324,5.456295585632324,5.323783874511719,3.31231689453125,7.790283203125,1.0,1.0,True,coherent,4.94442388534546,5.977122392654419,3.546335220336914,11.200063323974609,0.48716649431371495,0.48716649431371495,blocking,,source,,,545,query_writer_union
block:L17H3:colon,noise,20,-0.2598437309265137,0.2598437309265137,-0.24216461181640625,-0.5003204345703125,-0.082183837890625,1.0,0.9,True,coherent,-0.31349902391433715,-0.20763713836669923,0.28621158599853513,11.200063323974609,-0.023200201946206672,0.023200201946206672,blocking,,blocking,,,547,colon
block:L17H3:colon,restore,20,-0.3038646697998047,0.3038646697998047,-0.27825927734375,-0.68804931640625,-0.05224609375,1.0,0.85,True,coherent,-0.38644288063049315,-0.22651248931884774,0.34067459106445314,11.200063323974609,-0.027130620694738275,0.027130620694738275,blocking,,blocking,,,547,colon
block:L17H3:colon:self,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L17H3:colon:self,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0,control,,self_clamp,,,,
block:L17H3:colon:source,noise,20,-0.40670166015625,0.40670166015625,-0.383453369140625,-0.7285385131835938,-0.1014404296875,1.0,1.0,True,coherent,-0.5008425807952881,-0.3137744426727297,0.296771240234375,11.200063323974609,-0.0363124429203604,0.0363124429203604,blocking,,source,,,547,colon
