config_id,family,noise,restore,extension_priority,source,site,receiver,channel,mediators,live_heads,bidirectional_mean,same_sign
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,86,0.1055908203125,-0.024322509765625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.0406341552734375,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,88,0.136962890625,0.252197265625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.194580078125,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,90,0.1088714599609375,0.11647987365722656,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.11267566680908203,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,92,0.0975341796875,0.44140625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.26947021484375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,94,0.265960693359375,0.2470855712890625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.25652313232421875,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,96,0.3548126220703125,0.288818359375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.32181549072265625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,98,0.284820556640625,0.19757080078125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.2411956787109375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,100,0.11883544921875,0.14520263671875,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.13201904296875,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,102,0.1601390838623047,0.136962890625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.14855098724365234,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,104,0.027069091796875,0.1478271484375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.0874481201171875,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,108,0.2425384521484375,0.3152904510498047,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.2789144515991211,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,110,0.158447265625,0.1453857421875,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.15191650390625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,112,0.2899284362792969,0.53369140625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.41180992126464844,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,114,0.0645751953125,0.0089111328125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.0367431640625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,116,0.41607666015625,0.2980842590332031,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.35708045959472656,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,118,0.085784912109375,0.393798828125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.2397918701171875,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,120,0.513397216796875,0.55859375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.5359954833984375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,122,0.162872314453125,0.140655517578125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.151763916015625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,124,0.31280517578125,0.10986328125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.211334228515625,True
