layer,head,variant,evals,qk_passes,freq,n_a,strength_first,strength_last,null_tok10,null_random
1,26,corrupted,513588,4,7.78834e-06,4,0,0.0327624,0,0.00191001
1,26,reorder,513581,3,5.84134e-06,3,0,0.0224285,0,0.0364956
1,27,base,513588,653,0.00127145,653,0.0775372,0.0154575,0.0450285,0.0259427
1,27,corrupted,513588,658,0.00128118,658,0.0771395,0.0155041,0.0447693,0.0255315
1,27,reorder,513581,735,0.00143113,735,0.0728612,0.0151158,0.0422072,0.0234343
1,28,base,513588,0,0,0,0,0,0,0
1,28,corrupted,513588,0,0,0,0,0,0,0
1,28,reorder,513581,0,0,0,0,0,0,0
1,29,base,513588,0,0,0,0,0,0,0
1,29,corrupted,513588,0,0,0,0,0,0,0
1,29,reorder,513581,0,0,0,0,0,0,0
1,30,base,513588,6,1.16825e-05,6,0.0219854,0.018581,3.89095e-05,0.0405744
1,30,corrupted,513588,6,1.16825e-05,6,0.0222462,0,0.000167902,0.0231789
1,30,reorder,513581,5,9.73556e-06,5,0.0213816,0.0222117,6.78476e-05,0.0279633
1,31,base,513588,0,0,0,0,0,0,0
1,31,corrupted,513588,0,0,0,0,0,0,0
1,31,reorder,513581,0,0,0,0,0,0,0
2,0,base,513588,51,9.93014e-05,51,0.00860452,0.0136884,0.00698621,0.00925522
2,0,corrupted,513588,42,8.17776e-05,42,0.00888956,0.0128217,0.00598985,0.0156373
2,0,reorder,513581,50,9.73556e-05,50,0.00779046,0.018973,0.00827758,0.0112509
2,1,base,513588,0,0,0,0,0,0,0
2,1,corrupted,513588,0,0,0,0,0,0,0
2,1,reorder,513581,0,0,0,0,0,0,0
2,2,base,513588,0,0,0,0,0,0,0
2,2,corrupted,513588,0,0,0,0,0,0,0
2,2,reorder,513581,0,0,0,0,0,0,0
2,3,base,513588,74,0.000144084,74,0.0117154,0.00407721,0.0173096,0.0249448
2,3,corrupted,513588,74,0.000144084,74,0.0116241,0.00191342,0.0173465,0.0191084
2,3,reorder,513581,77,0.000149928,77,0.0114283,0.00393399,0.0185119,0.0287822
2,4,base,513588,0,0,0,0,0,0,0
2,4,corrupted,513588,0,0,0,0,0,0,0
2,4,reorder,513581,0,0,0,0,0,0,0
2,5,base,513588,0,0,0,0,0,0,0
2,5,corrupted,513588,0,0,0,0,0,0,0
2,5,reorder,513581,0,0,0,0,0,0,0
2,6,base,513588,0,0,0,0,0,0,0
2,6,corrupted,513588,0,0,0,0,0,0,0
2,6,reorder,513581,0,0,0,0,0,0,0
2,7,base,513588,6,1.16825e-05,6,0.0060501,0.0326093,6.28008e-05,0.036388
2,7,corrupted,513588,5,9.73543e-06,5,0.00441651,0.0243433,0,0.0197714
2,7,reorder,513581,7,1.36298e-05,7,0.00619166,0.0363056,3.56586e-05,0.00996723
2,8,base,513588,2,3.89417e-06,2,0,0,0,0.00987531
2,8,corrupted,513588,2,3.89417e-06,2,0,0,0,0.04242
2,8,reorder,513581,2,3.89423e-06,2,0,0,0,0
2,9,base,513588,0,0,0,0,0,0,0
2,9,corrupted,513588,0,0,0,0,0,0,0
2,9,reorder,513581,0,0,0,0,0,0,0
2,10,base,513588,0,0,0,0,0,0,0
