head,phase,direction,mode,prior_P,prior_F,conditional_mean,conditional_ma,conditional_class,conditional_retained,ci_low,ci_high,change_mean,change_ma,change_retained
L8H15,sensitivity,noise,mean,0.279438067018316,-0.00044379341468382417,0.13010552224148525,0.2707266218206856,heterogeneous,True,0.058969246537497876,0.20089965576536192,-0.013123753365505947,0.031232721350166234,False
L8H15,sensitivity,restore,mean,0.279438067018316,-0.00044379341468382417,0.13776109191808808,0.2712387315342935,heterogeneous,True,0.07088466554545285,0.20464967254842265,-0.007801355940572331,0.030605878722801638,False
L9H6,conditional,noise,donor,-0.034904565704002806,0.001134968875499254,-0.06277732849121094,0.08399848937988282,below_rule,False,-0.10358634948730469,-0.024412088394165046,0.00047674179077148435,0.00882406234741211,False
L9H17,conditional,noise,donor,0.027045694629797775,0.0008761213066872586,0.03506259918212891,0.06127872467041016,below_rule,False,0.0022393178939819334,0.07086049556732173,0.000600433349609375,0.007831954956054687,False
L11H4,conditional,noise,donor,0.004021395458264298,0.00043840086861942593,0.0052967071533203125,0.01609382629394531,below_rule,False,-0.0030193424224853518,0.014059896469116205,0.0008701324462890625,0.0033405303955078127,False
L11H7,conditional,noise,donor,-0.0018788294845752502,-0.00025024842680170293,0.010118865966796875,0.0979095458984375,below_rule,False,-0.04295703887939453,0.061517686843871974,-0.004880332946777343,0.01621837615966797,False
L12H2,conditional,noise,donor,0.01014419619956713,-0.0006904869936825185,0.0134368896484375,0.03243865966796875,below_rule,False,-0.0028427886962890626,0.0296489334106445,0.0013784408569335938,0.006468772888183594,False
L14H23,conditional,noise,donor,-0.21156842521067415,-0.024763487697987075,-0.20623512268066407,0.2431560516357422,coherent,True,-0.30825104713439944,-0.11231884002685553,-0.003622293472290039,0.030274438858032226,False
L14H23,extension,noise,donor,-0.21156842521067415,-0.024763487697987075,-0.21501205610425284,0.2461879293570358,coherent,True,-0.26629071155290923,-0.1678061260601108,-0.0034436308935786903,0.03702437877655029,False
L14H23,extension,restore,donor,-0.21156842521067415,-0.024763487697987075,-0.20057762874646134,0.23979423822981588,coherent,True,-0.24640265930904431,-0.15474069707849053,0.001605955402502853,0.03388386629940419,False
L14H23,sensitivity,noise,mean,-0.21156842521067415,-0.024763487697987075,-0.1341525088535266,0.21162699581531996,heterogeneous,True,-0.18276465300763592,-0.08686284657274745,0.000997243302591731,0.026084299837605338,False
L14H23,sensitivity,restore,mean,-0.21156842521067415,-0.024763487697987075,-0.10446254590923866,0.18301809235904995,heterogeneous,True,-0.15351549299915185,-0.05765197632018101,0.0056214734409632304,0.024279280994715314,False
L15H3,conditional,noise,donor,-0.10603228311860159,-0.04886506112773767,-0.10548095703125,0.1121337890625,coherent,True,-0.15101354598999023,-0.06460092544555665,0.005717754364013672,0.011234188079833984,False
