family,mode,direction,background,effect
168,donor,restore,intact,-0.5858154296875
170,donor,restore,intact,1.4566650390625
172,donor,restore,intact,-0.28485107421875
174,donor,restore,intact,0.9912109375
176,donor,restore,intact,0.03634357452392578
178,donor,restore,intact,0.3582763671875
180,donor,restore,intact,0.4701385498046875
182,donor,restore,intact,1.2503662109375
186,donor,restore,intact,-0.967559814453125
188,donor,restore,intact,-1.044189453125
192,donor,restore,intact,0.43377685546875
194,donor,restore,intact,-0.3360595703125
196,donor,restore,intact,0.0654296875
198,donor,restore,intact,-1.635986328125
0,donor,restore,weakened,0.9516868591308594
2,donor,restore,weakened,0.36102294921875
4,donor,restore,weakened,1.8844070434570312
6,donor,restore,weakened,-0.11376953125
8,donor,restore,weakened,0.7161941528320312
12,donor,restore,weakened,-0.0693359375
14,donor,restore,weakened,0.910736083984375
16,donor,restore,weakened,0.50054931640625
20,donor,restore,weakened,0.36333179473876953
24,donor,restore,weakened,-0.78387451171875
26,donor,restore,weakened,1.2947731018066406
28,donor,restore,weakened,-0.18231773376464844
30,donor,restore,weakened,0.59442138671875
32,donor,restore,weakened,0.227783203125
34,donor,restore,weakened,1.54443359375
36,donor,restore,weakened,-0.36260986328125
38,donor,restore,weakened,0.3021240234375
40,donor,restore,weakened,0.3120269775390625
44,donor,restore,weakened,0.5799331665039062
46,donor,restore,weakened,0.249420166015625
48,donor,restore,weakened,-0.3824920654296875
50,donor,restore,weakened,-0.2979736328125
52,donor,restore,weakened,0.18798828125
54,donor,restore,weakened,0.35772705078125
56,donor,restore,weakened,-0.4000396728515625
58,donor,restore,weakened,0.013885498046875
60,donor,restore,weakened,0.979095458984375
62,donor,restore,weakened,1.486572265625
64,donor,restore,weakened,1.10223388671875
66,donor,restore,weakened,-0.17446422576904297
68,donor,restore,weakened,0.612060546875
70,donor,restore,weakened,-0.383514404296875
72,donor,restore,weakened,-0.979095458984375
76,donor,restore,weakened,1.0436248779296875
78,donor,restore,weakened,1.90478515625
80,donor,restore,weakened,0.38238525390625
82,donor,restore,weakened,0.77423095703125
84,donor,restore,weakened,-0.23529052734375
86,donor,restore,weakened,0.19675827026367188
88,donor,restore,weakened,0.1920032501220703
90,donor,restore,weakened,-0.187286376953125
92,donor,restore,weakened,-0.0341339111328125
94,donor,restore,weakened,0.88458251953125
96,donor,restore,weakened,0.8658447265625
98,donor,restore,weakened,-0.1668701171875
100,donor,restore,weakened,-0.737335205078125
102,donor,restore,weakened,1.485647201538086
104,donor,restore,weakened,-0.538421630859375
108,donor,restore,weakened,0.19879150390625
110,donor,restore,weakened,0.5665130615234375
112,donor,restore,weakened,0.686676025390625
114,donor,restore,weakened,-0.8539199829101562
116,donor,restore,weakened,0.75140380859375
118,donor,restore,weakened,0.7736663818359375
120,donor,restore,weakened,0.3069610595703125
122,donor,restore,weakened,0.014862060546875
124,donor,restore,weakened,-0.44696044921875
126,donor,restore,weakened,0.6358489990234375
128,donor,restore,weakened,-0.25341796875
130,donor,restore,weakened,-0.57421875
132,donor,restore,weakened,-0.337432861328125
134,donor,restore,weakened,-0.695404052734375
136,donor,restore,weakened,0.9002590179443359
138,donor,restore,weakened,-0.78399658203125
140,donor,restore,weakened,0.308319091796875
142,donor,restore,weakened,-0.279541015625
148,donor,restore,weakened,-0.021484375
150,donor,restore,weakened,1.60107421875
152,donor,restore,weakened,-0.40419769287109375
154,donor,restore,weakened,0.47998046875
156,donor,restore,weakened,0.66650390625
158,donor,restore,weakened,-0.18731689453125
160,donor,restore,weakened,1.0050048828125
162,donor,restore,weakened,0.889556884765625
166,donor,restore,weakened,-0.3512115478515625
168,donor,restore,weakened,-0.585693359375
170,donor,restore,weakened,1.79296875
172,donor,restore,weakened,-0.289276123046875
174,donor,restore,weakened,0.99609375
176,donor,restore,weakened,0.0614471435546875
178,donor,restore,weakened,0.3388671875
180,donor,restore,weakened,0.52459716796875
182,donor,restore,weakened,1.400970458984375
186,donor,restore,weakened,-1.281005859375
188,donor,restore,weakened,-0.64178466796875
192,donor,restore,weakened,0.438201904296875
194,donor,restore,weakened,-0.3783245086669922
196,donor,restore,weakened,-0.01934814453125
198,donor,restore,weakened,-1.4355926513671875
0,mean,noise,intact,-0.38739013671875
2,mean,noise,intact,-0.97161865234375
4,mean,noise,intact,-0.403045654296875
6,mean,noise,intact,-0.9305419921875
8,mean,noise,intact,-4.450439453125
12,mean,noise,intact,0.166717529296875
14,mean,noise,intact,-0.64141845703125
16,mean,noise,intact,-1.4447479248046875
20,mean,noise,intact,-0.7174272537231445
24,mean,noise,intact,0.107177734375
26,mean,noise,intact,1.4361572265625
28,mean,noise,intact,-0.991943359375
30,mean,noise,intact,-0.982696533203125
32,mean,noise,intact,0.2142791748046875
34,mean,noise,intact,-2.7303614616394043
36,mean,noise,intact,-0.1121826171875
38,mean,noise,intact,-0.56005859375
40,mean,noise,intact,0.7210960388183594
44,mean,noise,intact,-1.27032470703125
46,mean,noise,intact,-0.424774169921875
48,mean,noise,intact,-0.449615478515625
50,mean,noise,intact,-1.07427978515625
52,mean,noise,intact,0.072601318359375
54,mean,noise,intact,-0.9344482421875
56,mean,noise,intact,-0.4546356201171875
58,mean,noise,intact,0.37139892578125
60,mean,noise,intact,-1.0339446067810059
62,mean,noise,intact,-1.389923095703125
64,mean,noise,intact,-1.5879669189453125
66,mean,noise,intact,-0.132080078125
68,mean,noise,intact,-1.4266357421875
70,mean,noise,intact,0.218505859375
72,mean,noise,intact,-1.347412109375
76,mean,noise,intact,-2.12127685546875
78,mean,noise,intact,0.159912109375
80,mean,noise,intact,-2.504608154296875
82,mean,noise,intact,-1.6737060546875
84,mean,noise,intact,0.59796142578125
86,mean,noise,intact,-2.12127685546875
88,mean,noise,intact,-1.7471923828125
90,mean,noise,intact,-0.7958335876464844
92,mean,noise,intact,-1.6728515625
94,mean,noise,intact,-0.6795654296875
96,mean,noise,intact,-1.8275527954101562
98,mean,noise,intact,-1.2394561767578125
100,mean,noise,intact,-0.3701448440551758
102,mean,noise,intact,1.2108688354492188
104,mean,noise,intact,-0.052001953125
108,mean,noise,intact,-0.012599945068359375
110,mean,noise,intact,-1.31884765625
112,mean,noise,intact,0.5698623657226562
114,mean,noise,intact,-0.75933837890625
116,mean,noise,intact,-0.32275390625
118,mean,noise,intact,-1.03900146484375
120,mean,noise,intact,0.07640838623046875
122,mean,noise,intact,-1.1787729263305664
124,mean,noise,intact,-1.16021728515625
126,mean,noise,intact,-0.38641357421875
128,mean,noise,intact,0.4801177978515625
130,mean,noise,intact,-1.08306884765625
132,mean,noise,intact,-0.4927978515625
134,mean,noise,intact,0.198211669921875
136,mean,noise,intact,0.94287109375
138,mean,noise,intact,-0.889007568359375
140,mean,noise,intact,-0.2398681640625
142,mean,noise,intact,-1.151123046875
148,mean,noise,intact,-1.1201171875
150,mean,noise,intact,-0.16992568969726562
152,mean,noise,intact,-1.6947021484375
154,mean,noise,intact,-0.094970703125
156,mean,noise,intact,-1.651519775390625
158,mean,noise,intact,-1.198486328125
160,mean,noise,intact,-0.7244729995727539
162,mean,noise,intact,-0.802490234375
166,mean,noise,intact,-0.212310791015625
168,mean,noise,intact,-1.881103515625
170,mean,noise,intact,0.251953125
172,mean,noise,intact,-0.7061767578125
174,mean,noise,intact,-0.896728515625
176,mean,noise,intact,-1.7027587890625
178,mean,noise,intact,-0.9736213684082031
180,mean,noise,intact,-0.52691650390625
182,mean,noise,intact,4.260986328125
186,mean,noise,intact,-0.860748291015625
188,mean,noise,intact,1.8043289184570312
192,mean,noise,intact,-0.28570556640625
194,mean,noise,intact,-0.6495361328125
196,mean,noise,intact,-0.777099609375
198,mean,noise,intact,0.422943115234375
0,mean,noise,weakened,-0.4630126953125
2,mean,noise,weakened,-1.04913330078125
4,mean,noise,weakened,-0.3638758659362793
6,mean,noise,weakened,-1.0136871337890625
8,mean,noise,weakened,-4.47998046875
12,mean,noise,weakened,0.02716064453125
14,mean,noise,weakened,-0.69525146484375
16,mean,noise,weakened,-1.54229736328125
20,mean,noise,weakened,-0.748565673828125
24,mean,noise,weakened,0.27922821044921875
26,mean,noise,weakened,1.3116455078125
28,mean,noise,weakened,-1.169189453125
30,mean,noise,weakened,-1.0124664306640625
32,mean,noise,weakened,0.1400909423828125
34,mean,noise,weakened,-2.896195888519287
36,mean,noise,weakened,-0.09321975708007812
38,mean,noise,weakened,-0.752410888671875
40,mean,noise,weakened,0.6875686645507812
44,mean,noise,weakened,-1.1144561767578125
46,mean,noise,weakened,-0.381317138671875
48,mean,noise,weakened,-0.39698028564453125
50,mean,noise,weakened,-0.92730712890625
52,mean,noise,weakened,0.0738525390625
54,mean,noise,weakened,-1.030731201171875
56,mean,noise,weakened,-0.53424072265625
58,mean,noise,weakened,0.44586181640625
60,mean,noise,weakened,-1.151702880859375
62,mean,noise,weakened,-1.4884757995605469
64,mean,noise,weakened,-1.550079345703125
66,mean,noise,weakened,-0.2164306640625
68,mean,noise,weakened,-1.334716796875
70,mean,noise,weakened,0.2489013671875
72,mean,noise,weakened,-1.2919921875
76,mean,noise,weakened,-2.1399993896484375
78,mean,noise,weakened,0.1357421875
80,mean,noise,weakened,-2.4703369140625
82,mean,noise,weakened,-1.474151611328125
84,mean,noise,weakened,0.6038818359375
86,mean,noise,weakened,-2.202392578125
88,mean,noise,weakened,-1.7619152069091797
90,mean,noise,weakened,-0.6063995361328125
92,mean,noise,weakened,-1.65771484375
94,mean,noise,weakened,-0.6593017578125
96,mean,noise,weakened,-1.8225860595703125
98,mean,noise,weakened,-1.412994384765625
100,mean,noise,weakened,-0.388458251953125
102,mean,noise,weakened,1.15386962890625
