source,site,population,mode,direction,source_mean,blocked_residual_mean,ratio,ratio_ci_low,ratio_ci_high,bootstrap_denominator_min_abs,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
L17H1,query_writer_union,additional69,donor,restore,5.329133213430211,0.559858418893123,0.8949438123479074,0.8755246192562315,0.9099612441210497,4.551382064819336,69,4.769274794537088,4.769274794537088,4.873809814453125,0.279205322265625,9.042449951171875,1.0,1.0,True,coherent,4.399164002183555,5.141505237247632,4.399164002183555,5.141505237247632
L17H1,query_writer_union,all89,donor,restore,5.357709027408214,0.5675972606358903,0.8940597076600733,0.8783483384853784,0.9064745061482309,4.73252540759826,89,4.790111766772323,4.790111766772323,4.880126953125,0.279205322265625,9.042449951171875,1.0,1.0,True,coherent,4.482427552308929,5.093421411782168,4.482427552308929,5.093421411782168
L17H1,query_writer_union,core20,mean,noise,1.7646690368652345,0.25870695114135744,0.8533963333991933,0.8010550938130347,0.8957383803576121,1.223651123046875,20,1.505962085723877,1.5139456748962403,1.67437744140625,-0.07983589172363281,2.20355224609375,0.95,0.95,True,coherent,1.2274430537223815,1.75190554857254,1.2479053378105165,1.75415745973587
L17H1,query_writer_union,additional69,mean,noise,1.9453420155290244,0.30718365959499194,0.8420927234682406,0.7981485323493115,0.8775568823976622,1.3966727602309075,69,1.6381583559340325,1.6510376584702644,1.39697265625,-0.439208984375,5.34796142578125,0.9710144927536232,0.9855072463768116,True,coherent,1.3893211527147153,1.9148427109787427,1.4097731894341068,1.9260180456050924
L17H1,query_writer_union,all89,mean,noise,1.904741346166375,0.29629001724586057,0.8444460620114138,0.8088003456402612,0.8741373767214244,1.4621188774537504,89,1.6084513289205145,1.6202304711502589,1.4524078369140625,-0.439208984375,5.34796142578125,0.9662921348314607,0.9775280898876404,True,coherent,1.4036703316013466,1.8276060466016275,1.420789958653825,1.8369227896915392
L17H1,query_writer_union,core20,mean,restore,1.856373405456543,0.23833210468292237,0.8716141353984174,0.8327624825389351,0.9069292564892392,1.2287918090820313,20,1.6180413007736205,1.6180413007736205,1.424468994140625,0.9038524627685547,4.2425689697265625,1.0,1.0,True,coherent,1.3104666900634765,1.997036820054054,1.3104666900634765,1.997036820054054
L17H1,query_writer_union,additional69,mean,restore,1.6800739730613818,0.21691880709883096,0.8708873474757973,0.8457366861613251,0.8940365072298962,1.2622286133144214,69,1.463155165962551,1.463155165962551,1.32110595703125,0.08349609375,3.6783447265625,1.0,0.9855072463768116,True,coherent,1.293839556928994,1.640167388363161,1.293839556928994,1.640167388363161
L17H1,query_writer_union,all89,mean,restore,1.7196918230378226,0.22173078408402003,0.8710636515719808,0.8498818253353504,0.8904853199920779,1.4032176317793599,89,1.4979610389538025,1.4979610389538025,1.3553466796875,0.08349609375,4.2425689697265625,1.0,0.9887640449438202,True,coherent,1.3494162217954573,1.656177306577061,1.3494162217954573,1.656177306577061
L17H1,query_sentence,core20,donor,noise,6.217210197448731,0.7371543407440185,0.8814332606855539,0.8575341894360622,0.9042291609811302,4.931131744384766,20,5.480055856704712,5.480055856704712,5.4942779541015625,2.6300048828125,7.28863525390625,1.0,1.0,True,coherent,4.896843726634979,6.020011135339736,4.896843726634979,6.020011135339736
L17H1,query_sentence,additional69,donor,noise,6.293529890585637,0.7424181025961171,0.8820347061977595,0.8606282212709027,0.8988178785017988,5.427716877149499,69,5.5511117879895195,5.5511117879895195,5.29425048828125,0.5670833587646484,9.60595703125,1.0,1.0,True,coherent,5.135085508443307,5.964886202328447,5.135085508443307,5.964886202328447
