id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference
G2:L26H23:conditional,noise,69,-0.34918584512627643,0.360892653465271,-0.221527099609375,-1.7709026336669922,0.2844390869140625,0.9420289855072463,0.6956521739130435,True,coherent,-0.451907216941101,-0.2567185954771182,0.13812695724376733
G2:L26H23:conditional,restore,69,-0.35771389283995697,0.3614772851916327,-0.2105865478515625,-1.884735107421875,0.1132354736328125,0.9710144927536232,0.7101449275362319,True,coherent,-0.4663374285767044,-0.26074586191039173,0.1564343217490376
G2:L6H24:change,noise,69,-0.00467514473458995,0.04835804821788401,-0.014792442321777344,-0.13623046875,0.2394496202468872,0.6086956521739131,0.08695652173913043,False,below_rule,-0.019981294568034186,0.011556247308634315,0.0645927173503931
G2:L6H24:change,restore,69,-0.00685946492181308,0.053035255791484444,0.00146484375,-0.19244384765625,0.11021804809570312,0.4927536231884058,0.15942028985507245,False,below_rule,-0.02320170298866604,0.009079158910806604,0.07038342434427013
G2:L6H24:conditional,noise,69,0.12285998420438905,0.23204261496447134,0.1077880859375,-0.43994140625,1.0479736328125,0.6666666666666666,0.7101449275362319,True,heterogeneous,0.05546541978483615,0.19300193337426663,0.24299594284831613
G2:L6H24:conditional,restore,69,0.09004611554353134,0.20229380372641742,0.0676422119140625,-0.54931640625,1.21063232421875,0.6521739130434783,0.6231884057971014,True,heterogeneous,0.027955673570218293,0.1579074089077935,0.2739736446435901
G2:L8H15:change,noise,69,0.010953580123790796,0.04485522318577421,0.011627197265625,-0.16461944580078125,0.1312255859375,0.6231884057971014,0.10144927536231885,False,below_rule,-0.0030344792034315026,0.024495121145593934,0.10667448112930077
G2:L8H15:change,restore,69,0.015142026154891304,0.05207329902096071,0.00350189208984375,-0.15932655334472656,0.1758441925048828,0.5217391304347826,0.15942028985507245,False,below_rule,-0.0012973042501919511,0.03185447057088215,0.09701256130052649
G2:L8H15:conditional,noise,69,0.2650086102278336,0.37357889914858167,0.26507568359375,-0.955810546875,1.4639892578125,0.7681159420289855,0.7971014492753623,True,coherent,0.17302499715832698,0.3593228395434393,0.5457129305687504
G2:L8H15:conditional,restore,69,0.3246157273002293,0.3589310576950294,0.316650390625,-0.4156646728515625,0.92840576171875,0.8985507246376812,0.8405797101449275,True,coherent,0.25798632269320276,0.39095664715421374,0.44906102056088654
G2group:negative:change,noise,69,-0.1465734588927117,0.21520268571549567,-0.070892333984375,-0.9467759132385254,0.444671630859375,0.6376811594202898,0.6086956521739131,True,heterogeneous,-0.2123903096586034,-0.0840882338475492,0.37275658137556433
G2group:negative:change,restore,69,-0.14110993647920914,0.22171584419582202,-0.061859130859375,-1.0072784423828125,0.5635528564453125,0.6521739130434783,0.5942028985507246,True,heterogeneous,-0.2093232234319051,-0.0777575441028761,0.38897721663765283
G2group:negative:intact,noise,69,-2.119431343631468,2.119431343631468,-1.892486572265625,-5.9022536277771,-0.0673828125,1.0,0.9855072463768116,True,coherent,-2.4088359129601633,-1.8470840343530628,0.8754001562146173
G2group:negative:intact,restore,69,-2.07734975953033,2.07734975953033,-1.90673828125,-5.4580078125,-0.0672607421875,1.0,0.9855072463768116,True,coherent,-2.3437786827916685,-1.8230820621269344,0.7054093402364979
G2group:negative:weakened,noise,69,-2.2660048025241797,2.2660048025241797,-2.06219482421875,-6.849029541015625,-0.0654296875,1.0,0.9855072463768116,True,coherent,-2.5874166156934657,-1.964482763711957,0.9950743585393049
G2group:negative:weakened,restore,69,-2.218459696009539,2.218459696009539,-1.993011474609375,-5.452266693115234,-0.0673828125,1.0,0.9855072463768116,True,coherent,-2.508205859211908,-1.9412861599438433,0.8704413814821105
G2group:positive:change,noise,69,-0.18640969283338907,0.3609729072322016,-0.203094482421875,-1.42724609375,0.9681015014648438,0.6956521739130435,0.8405797101449275,True,heterogeneous,-0.28805850990440535,-0.08715248885362069,0.5749872629193292
G2group:positive:change,restore,69,-0.2615546765534774,0.39593556998432544,-0.20067596435546875,-3.173187255859375,0.9156494140625,0.7246376811594203,0.7971014492753623,True,coherent,-0.3995843980623328,-0.14071929316589823,0.5444432963495669
G2group:positive:intact,noise,69,5.321525649747986,5.321525649747986,5.0489501953125,0.0037841796875,9.2635498046875,1.0,0.9855072463768116,True,coherent,4.917406961365023,5.72696245977844,2.3632444436999336
G2group:positive:intact,restore,69,5.455947820691095,5.455947820691095,5.3880615234375,1.2510986328125,11.63201904296875,1.0,1.0,True,coherent,5.0230895505435225,5.904910445558852,2.5526797529579937
G2group:positive:weakened,noise,69,5.135115956914598,5.135115956914598,5.15533447265625,0.007080078125,9.009124755859375,1.0,0.9855072463768116,True,coherent,4.7361252183499545,5.528959897333297,2.587635126666746
G2group:positive:weakened,restore,69,5.194393144137617,5.194393144137617,5.042022705078125,1.244140625,12.2928466796875,1.0,1.0,True,coherent,4.782925174892812,5.624354563243147,2.7592658167300015
G2group:reference1:change,noise,69,-0.02357567738795626,0.03863140292789625,-0.02170085906982422,-0.138916015625,0.082244873046875,0.6811594202898551,0.028985507246376812,False,below_rule,-0.03383851573951002,-0.013514858095542245,0.06583088377247685
G2group:reference1:change,restore,69,-0.021579797717108242,0.04490108766417573,-0.0079345703125,-0.356719970703125,0.156524658203125,0.6521739130434783,0.11594202898550725,False,below_rule,-0.038300333161284957,-0.006381937386333085,0.09070747486059216
G2group:reference1:intact,noise,69,0.057360573091368744,0.2450674789539282,0.0403289794921875,-0.729705810546875,1.2347412109375,0.5797101449275363,0.7536231884057971,True,heterogeneous,-0.01712486605713333,0.13214076429173552,0.2887628389441449
G2group:reference1:intact,restore,69,-0.05833891163701597,0.19924465124157892,-0.05419921875,-0.98681640625,0.5438232421875,0.6086956521739131,0.6376811594202898,True,heterogeneous,-0.12157349033632141,0.002781465088111704,0.32713212828705274
G2group:reference1:weakened,noise,69,0.03378489570341248,0.23141368748485178,0.021240234375,-0.7106304168701172,1.2374267578125,0.5507246376811594,0.782608695652174,True,heterogeneous,-0.03633974254995153,0.1058123257713041,0.28286787046902423
G2group:reference1:weakened,restore,69,-0.0799187093541242,0.20827649987262228,-0.076171875,-0.9873046875,0.5889053344726562,0.6086956521739131,0.6521739130434783,True,heterogeneous,-0.14636020142099132,-0.01680268895798838,0.3367313440295233
G2group:reference2:change,noise,69,-0.008396471756092016,0.05126272595447043,0.00836181640625,-0.7452392578125,0.13421630859375,0.391304347826087,0.11594202898550725,False,below_rule,-0.03896768935348677,0.015107588837112204,0.05530417138251705
G2group:reference2:change,restore,69,-0.01582713662714198,0.03902762782746467,-0.0041351318359375,-0.21484375,0.09632110595703125,0.5797101449275363,0.10144927536231885,False,below_rule,-0.030234804015228715,-0.002526073676088594,0.058485945065816246
G2group:reference2:intact,noise,69,0.08014978187671606,0.19530916213989258,0.02203369140625,-0.44049072265625,1.74261474609375,0.6086956521739131,0.6231884057971014,True,heterogeneous,0.01414563120275304,0.1577528416246607,0.24742196953814963
G2group:reference2:intact,restore,69,0.09254231660262398,0.18949500374172046,0.0467529296875,-0.41705322265625,0.9869384765625,0.6086956521739131,0.6376811594202898,True,heterogeneous,0.03724239252615666,0.1525913010472836,0.24764069266941235
G2group:reference2:weakened,noise,69,0.07175331012062404,0.16713884429655212,0.0406494140625,-0.3447265625,0.99737548828125,0.6086956521739131,0.6666666666666666,True,heterogeneous,0.022439109803973765,0.12535712580749936,0.21271003847536835
G2group:reference2:weakened,restore,69,0.076715179975482,0.16602266093958978,0.05584716796875,-0.38409423828125,0.821258544921875,0.6521739130434783,0.5797101449275363,True,heterogeneous,0.02885147801775863,0.12689983188242152,0.21456140538920526
G2group:reference3:change,noise,69,-0.0097054035767265,0.036774305329806564,-0.0062255859375,-0.1727447509765625,0.11229813098907471,0.5652173913043478,0.057971014492753624,False,below_rule,-0.021376321626746134,0.0014271733121595256,0.08904910087585449
G2group:reference3:change,restore,69,-0.02560193642326023,0.04291243138520614,-0.016937255859375,-0.16651153564453125,0.10609149932861328,0.7101449275362319,0.08695652173913043,False,below_rule,-0.038333177393761235,-0.013264672047850048,0.07841528325841046
G2group:reference3:intact,noise,69,-0.08320869224658911,0.22268654643625452,-0.07568359375,-0.6829986572265625,0.469970703125,0.5942028985507246,0.6376811594202898,True,heterogeneous,-0.14772643576497618,-0.019820562307385475,0.27066028981968976
