head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L18H15,corrupted,final,distractor_source_mass,0.0071148244369396724,0.0028795126009478426,0.0027215587639754326,0.014085416759674748,20,120,1.0
L18H15,corrupted,final,distractor_source_first,0.003223696017266775,0.001594285992328141,0.001257351686945185,0.008121709882592162,20,120,1.0
L18H15,corrupted,final,distractor_source_last,0.0027266343082374077,0.0013580570505980932,0.0011438500599372976,0.0061902151598284645,20,120,1.0
L18H15,corrupted,final,distractor_target_mass,0.04408941382425838,0.01465323140520136,0.017986580574264128,0.07793927541933954,20,120,1.0
L18H15,corrupted,final,distractor_target_first,0.017095166128516817,0.006951986883853829,0.007520663547135579,0.03108547325246036,20,120,1.0
L18H15,corrupted,final,distractor_target_last,0.01463358387676029,0.0057394623419804325,0.008522943826392293,0.03064233041368425,20,120,1.0
L18H15,corrupted,final,relevant_source_mass,0.04459434316959232,0.015738794161247346,0.024362947326153517,0.0821835808455944,20,40,1.0
L18H15,corrupted,final,relevant_source_first,0.021353601609007455,0.010625126056213888,0.005802242609206587,0.0456252321600914,20,40,1.0
L18H15,corrupted,final,relevant_source_last,0.021596209984272717,0.00749736238173241,0.011052163317799568,0.03703259862959385,20,40,1.0
L18H15,corrupted,final,relevant_target_mass,0.1423264542128891,0.06897532782208869,0.061888872645795345,0.320748969912529,20,40,1.0
L18H15,corrupted,final,relevant_target_first,0.03873596669873223,0.02288606976153012,0.015087940730154514,0.11283695511519909,20,40,1.0
L18H15,corrupted,final,relevant_target_last,0.04946547046420165,0.04241735280715601,0.0063403184758499265,0.18004349991679192,20,40,1.0
L18H22,corrupted,earlier,self,0.014463275428029604,0.0014714862716155702,0.011615503732886567,0.017313185430830345,20,2096,1.0
L18H22,corrupted,earlier,previous,0.018406684485694425,0.002575496551652775,0.01394462197405863,0.02426042781327851,20,2096,1.0
L18H22,corrupted,earlier,distractor_target_mass,0.042682764546607216,0.006282258853208156,0.03260106409617073,0.05367313631280201,20,4413,1.0
L18H22,corrupted,earlier,distractor_target_first,0.010026444165535402,0.0021983179258745467,0.007323738855204822,0.015757599804443335,20,4413,1.0
L18H22,corrupted,earlier,distractor_target_last,0.025249949653369425,0.003683169808051026,0.0191005129443302,0.03370858383713535,20,4413,1.0
L18H22,corrupted,earlier,distractor_source_mass,0.017385780294925126,0.0021760544426922815,0.013613545512883204,0.021884411468050917,20,3633,1.0
L18H22,corrupted,earlier,distractor_source_first,0.004748538369601371,0.0007037088383907887,0.0039632713074292504,0.006425963528802943,20,3633,1.0
L18H22,corrupted,earlier,distractor_source_last,0.011101815373518217,0.0016448298129060578,0.008462864119091598,0.015605408427605988,20,3633,1.0
L18H22,corrupted,earlier,relevant_target_mass,0.04228873921462426,0.008795016125158022,0.02961412839147793,0.0618744860493562,20,1193,1.0
L18H22,corrupted,earlier,relevant_target_first,0.010151439381623318,0.003054629503996286,0.006213388825017319,0.016650760803980213,20,1193,1.0
L18H22,corrupted,earlier,relevant_target_last,0.023592094124866785,0.0064922894387053984,0.013878254383416787,0.037715359423467314,20,1193,1.0
L18H22,corrupted,earlier,relevant_source_mass,0.02369187969338746,0.006375455374391153,0.013840515197997498,0.0404135525792905,20,947,1.0
L18H22,corrupted,earlier,relevant_source_first,0.007696471510568946,0.0030352831186165256,0.004151500826626785,0.018028162615246403,20,947,1.0
L18H22,corrupted,earlier,relevant_source_last,0.015315242896607382,0.0036720954540853633,0.009689014390045011,0.022385389402673657,20,947,1.0
L18H22,corrupted,final,self,0.011522153537953272,0.003993440467113244,0.005812055082060397,0.020923749543726444,20,40,1.0
L18H22,corrupted,final,previous,0.0001293167378207727,3.863118004867539e-05,5.935129775025416e-05,0.00024348509032279253,20,40,1.0
L18H22,corrupted,final,distractor_source_mass,0.003929048134887125,0.0020766102495412535,0.0012354615052269462,0.010658735681014756,20,120,1.0
L18H22,corrupted,final,distractor_source_first,0.0018434764759300982,0.0011372292592411533,0.0006956642973818816,0.006064923679029259,20,120,1.0
L18H22,corrupted,final,distractor_source_last,0.001471233798186707,0.000791302204023284,0.0005231770331495985,0.0031394528292973214,20,120,1.0
L18H22,corrupted,final,distractor_target_mass,0.015229633910833703,0.005592001705074143,0.005517171113751829,0.027488198402958613,20,120,1.0
L18H22,corrupted,final,distractor_target_first,0.003954762661912052,0.0013149815981279443,0.002091550583524319,0.007011527370195836,20,120,1.0
L18H22,corrupted,final,distractor_target_last,0.007649109530878681,0.0034636613888964453,0.003069497674005106,0.01636579892753313,20,120,1.0
L18H22,corrupted,final,relevant_source_mass,0.028791592665947975,0.010289119479587714,0.013207267969846725,0.04558295197784901,20,40,1.0
L18H22,corrupted,final,relevant_source_first,0.015035960503155366,0.006766824527527412,0.0046321278205141425,0.03033067099750042,20,40,1.0
L18H22,corrupted,final,relevant_source_last,0.012341252341866494,0.004246122313353752,0.006443300051614642,0.02384738903492689,20,40,1.0
L18H22,corrupted,final,relevant_target_mass,0.044100252981297675,0.01804958626826881,0.015907657332718372,0.07609857805073261,20,40,1.0
L18H22,corrupted,final,relevant_target_first,0.008362719393335282,0.003198026964721792,0.0035640407586470246,0.013903732411563396,20,40,1.0
L18H22,corrupted,final,relevant_target_last,0.023054475680692122,0.013603027200024891,0.007012057350948453,0.05360490456223488,20,40,1.0
L19H20,corrupted,earlier,self,0.010456455098949498,0.002146384493105501,0.007965904056755738,0.013992314155126773,20,2096,1.0
L19H20,corrupted,earlier,previous,0.0045647998119806195,0.000888274352936204,0.0031951490573370466,0.006215405093094391,20,2096,1.0
L19H20,corrupted,earlier,distractor_target_mass,0.017422906095785215,0.005230643951359831,0.011245090595974259,0.02883764007750835,20,4413,1.0
L19H20,corrupted,earlier,distractor_target_first,0.005819064022492096,0.0021054558232998367,0.00284301066331781,0.009966176367470325,20,4413,1.0
L19H20,corrupted,earlier,distractor_target_last,0.002602322308606097,0.0011167078748267824,0.001206507729144743,0.005123156818896505,20,4413,1.0
L19H20,corrupted,earlier,distractor_source_mass,0.011437698920159967,0.005479456015153241,0.00600673587541678,0.026588059862488817,20,3633,1.0
L19H20,corrupted,earlier,distractor_source_first,0.005346987157077085,0.003278440884582411,0.002163794990256167,0.01419223054250029,20,3633,1.0
L19H20,corrupted,earlier,distractor_source_last,0.0026686392387842094,0.0009277742979000692,0.001290218034697758,0.0047467492067054,20,3633,1.0
L19H20,corrupted,earlier,relevant_target_mass,0.017378872264778904,0.006112918387837463,0.00610100476742132,0.03121166778443391,20,1193,1.0
L19H20,corrupted,earlier,relevant_target_first,0.004576157834948462,0.003051416292979549,0.0015929699758120918,0.012354300902173283,20,1193,1.0
L19H20,corrupted,earlier,relevant_target_last,0.002489266137703971,0.0019411805837598638,0.0007173422777365583,0.00920095808271526,20,1193,1.0
L19H20,corrupted,earlier,relevant_source_mass,0.001259831694569498,0.0006140778286294029,0.0006526276828648109,0.0027398661710321902,20,947,1.0
L19H20,corrupted,earlier,relevant_source_first,0.000543314281152986,0.00016855499608201644,0.0003244553814993753,0.0009075493306025035,20,947,1.0
L19H20,corrupted,earlier,relevant_source_last,0.000568107110844092,0.00018737572825327844,0.0003024320006300948,0.001105536311515607,20,947,1.0
L19H20,corrupted,final,self,0.019544317061081527,0.0053298069347454844,0.011147649958729744,0.032718696631491184,20,40,1.0
L19H20,corrupted,final,previous,0.020318948943167926,0.0041434257926814,0.015371063258498907,0.03298488259315491,20,40,1.0
L19H20,corrupted,final,distractor_source_mass,0.006629642501745063,0.0023433973532934757,0.0036899681823949018,0.010953380726277828,20,120,1.0
L19H20,corrupted,final,distractor_source_first,0.0035881175615941176,0.0013807465290311754,0.0020535633181377,0.006656339838324736,20,120,1.0
L19H20,corrupted,final,distractor_source_last,0.001460974732375083,0.0004605724208607369,0.0009299530793214217,0.002285665696642051,20,120,1.0
L19H20,corrupted,final,distractor_target_mass,0.006468949626044681,0.0017598282676235177,0.0038162830363338194,0.009150111426909765,20,120,1.0
L19H20,corrupted,final,distractor_target_first,0.003495922091436417,0.000711713783602977,0.002292436392356952,0.0054402779787778854,20,120,1.0
L19H20,corrupted,final,distractor_target_last,0.0007055119401532769,0.0002353291876050204,0.00035103060993909213,0.0012236564750007044,20,120,1.0
L19H20,corrupted,final,relevant_source_mass,0.0032689793297322467,0.0017141504092592183,0.0012689385330304503,0.00741190230473876,20,40,1.0
L19H20,corrupted,final,relevant_source_first,0.0018867381520976778,0.001031414663832242,0.000566888993489556,0.003951084101572633,20,40,1.0
L19H20,corrupted,final,relevant_source_last,0.0010704951069783419,0.0003227975479527947,0.0006552655977429822,0.0017380094504915178,20,40,1.0
