head,population,tokens,self_minus_others,mean_self_rank_min,mean_self_rank_max,self_top_fraction
L25H13,name,314,-0.006412331480532885,172.64968152866243,172.69426751592357,0.0031847133757961785
L25H13,nonname,128,-0.005051267798990011,69.28125,69.28125,0.0078125
L25H18,name,314,0.15491008758544922,99.2452229299363,99.26433121019109,0.1624203821656051
L25H18,nonname,128,0.10399073362350464,43.6953125,43.703125,0.171875
L26H23,name,314,-0.19595767557621002,309.02547770700636,309.0509554140127,0.0
L26H23,nonname,128,-0.1063806563615799,114.2421875,114.2421875,0.0
L27H23,name,314,-0.007420726586133242,168.56050955414014,168.62420382165604,0.0
L27H23,nonname,128,-0.01589447446167469,81.0859375,81.140625,0.0078125
L29H5,name,314,-0.001227221917361021,164.37579617834396,164.47133757961782,0.0031847133757961785
L29H5,nonname,128,0.002055441029369831,64.1328125,64.171875,0.0078125
L30H18,name,314,0.603135347366333,28.805732484076433,28.821656050955415,0.06687898089171974
L30H18,nonname,128,0.030023470520973206,52.4765625,52.4921875,0.1015625
L2H1,name,314,0.0035793371498584747,151.86305732484075,151.88216560509554,0.0031847133757961785
L2H1,nonname,128,0.0003431506920605898,64.6484375,64.671875,0.0078125
L3H11,name,314,0.010659719817340374,135.93949044585986,135.96815286624204,0.006369426751592357
L3H11,nonname,128,0.018282722681760788,46.8828125,46.890625,0.0546875
L6H2,name,314,-0.0030620284378528595,162.20700636942675,162.25477707006368,0.0
L6H2,nonname,128,-0.005751278251409531,71.6796875,71.703125,0.0078125
L7H1,name,314,0.026688849553465843,101.20700636942675,101.25796178343948,0.01592356687898089
L7H1,nonname,128,0.0182892307639122,47.375,47.4296875,0.03125
L8H8,name,314,-0.022558415308594704,202.828025477707,202.87579617834396,0.006369426751592357
L8H8,nonname,128,-0.05655393376946449,107.7578125,107.7734375,0.0
L9H6,name,314,-0.00012259598588570952,158.71656050955414,158.7611464968153,0.0
L9H6,nonname,128,-0.000281661341432482,65.1875,65.203125,0.0
L9H22,name,314,0.05182143673300743,81.06687898089172,81.10509554140127,0.07643312101910828
L9H22,nonname,128,0.1521102786064148,10.5546875,10.5703125,0.578125
L10H16,name,314,-0.017828643321990967,185.4968152866242,185.54777070063693,0.006369426751592357
L10H16,nonname,128,-0.023570939898490906,86.1796875,86.1875,0.0
L11H7,name,314,-0.0008957007084973156,157.12738853503186,157.21019108280254,0.0031847133757961785
L11H7,nonname,128,-0.0011716578155755997,66.7578125,66.765625,0.0078125
L11H27,name,314,0.0004879443149548024,153.8535031847134,153.88853503184714,0.0031847133757961785
L11H27,nonname,128,-0.0013571036979556084,66.140625,66.15625,0.0
L12H17,name,314,0.0035882238298654556,149.80254777070064,149.84713375796179,0.0031847133757961785
L12H17,nonname,128,0.007312251720577478,55.1015625,55.125,0.0078125
L13H22,name,314,-0.00022690890182275325,156.55732484076432,156.62101910828025,0.0
L13H22,nonname,128,-0.00294249365106225,66.78125,66.8125,0.015625
L14H23,name,314,0.005009769927710295,145.28980891719746,145.37898089171975,0.0
L14H23,nonname,128,0.011576773598790169,50.8203125,50.8203125,0.0078125
L15H2,name,314,0.11327708512544632,44.99363057324841,45.01910828025478,0.1337579617834395
L15H2,nonname,128,0.04095609486103058,36.640625,36.6875,0.046875
L15H25,name,314,0.035254232585430145,86.08917197452229,86.14012738853503,0.025477707006369428
L15H25,nonname,128,0.07971084862947464,16.6875,16.71875,0.3125
L15H29,name,314,0.018213870003819466,127.70382165605096,127.75796178343948,0.01592356687898089
L15H29,nonname,128,0.03998509794473648,34.0078125,34.0234375,0.1015625
L16H4,name,314,0.027837412431836128,103.6687898089172,103.70700636942675,0.03503184713375796
L16H4,nonname,128,0.06853020191192627,22.8125,22.8125,0.296875
L16H24,name,314,0.003988188691437244,149.03184713375796,149.10828025477707,0.0
L16H24,nonname,128,-0.004070775117725134,68.765625,68.796875,0.015625
L17H3,name,314,-0.026618167757987976,210.02866242038218,210.0796178343949,0.0
L17H3,nonname,128,-0.03625739365816116,95.4375,95.4453125,0.0
L17H24,name,314,0.18489967286586761,13.821656050955413,13.828025477707007,0.12420382165605096
L17H24,nonname,128,0.11838087439537048,6.4453125,6.4609375,0.515625
L18H18,name,314,-0.07982755452394485,258.99044585987264,259.02866242038215,0.0
L18H18,nonname,128,-0.032826829701662064,88.421875,88.4609375,0.0
L18H24,name,314,-0.06295768171548843,228.09235668789808,228.13694267515925,0.0
L18H24,nonname,128,-0.05094282329082489,99.109375,99.1171875,0.0
L19H22,name,314,0.17031027376651764,33.761146496815286,33.789808917197455,0.20063694267515925
L19H22,nonname,128,0.09089256823062897,23.1796875,23.1953125,0.21875
L20H14,name,314,-0.007040669210255146,180.18471337579618,180.24522292993632,0.0
L20H14,nonname,128,-0.004311146214604378,69.96875,69.96875,0.0078125
L21H18,name,314,0.1147344559431076,19.78980891719745,19.828025477707005,0.31210191082802546
L21H18,nonname,128,0.06549374759197235,19.03125,19.046875,0.2890625
L21H24,name,314,0.07209077477455139,45.461783439490446,45.49044585987261,0.14012738853503184
L21H24,nonname,128,0.1453694999217987,7.0546875,7.0546875,0.65625
L22H5,name,314,0.04178331419825554,100.30573248407643,100.34394904458598,0.012738853503184714
L22H5,nonname,128,0.02484196051955223,35.7578125,35.796875,0.03125
L23H10,name,314,0.19903168082237244,9.187898089171975,9.219745222929935,0.23885350318471338
L23H10,nonname,128,0.14502224326133728,6.9375,6.9453125,0.53125
L24H17,name,314,0.46376293897628784,44.904458598726116,44.9140127388535,0.4713375796178344
L24H17,nonname,128,0.19158393144607544,25.453125,25.4609375,0.421875
L25H15,name,314,-0.008808347396552563,172.51273885350318,172.55095541401275,0.0
L25H15,nonname,128,-0.010705377906560898,74.4296875,74.4765625,0.0
L25H20,name,314,-0.007743398658931255,169.81210191082803,169.85987261146497,0.0031847133757961785
L25H20,nonname,128,-0.006632620468735695,68.90625,68.9140625,0.0078125
L26H31,name,314,0.054289381951093674,187.4203821656051,187.46496815286625,0.06369426751592357
L26H31,nonname,128,0.06291472166776657,67.25,67.2578125,0.1171875
L28H1,name,314,-0.002802911913022399,162.04140127388536,162.10828025477707,0.0
L28H1,nonname,128,-0.004764222539961338,70.1484375,70.171875,0.0078125
L30H3,name,314,0.10500781238079071,142.7324840764331,142.7611464968153,0.07961783439490445
L30H3,nonname,128,0.04107068479061127,52.2578125,52.28125,0.1171875
L31H1,name,314,0.32021772861480713,21.8343949044586,21.84713375796178,0.410828025477707
L31H1,nonname,128,-0.022320255637168884,84.9453125,85.015625,0.0
