head,family,order,base_margin,query_change_margin,source_query_preference_shift,source_reorder_change,source_corruption_change,target_query_preference_shift,target_reorder_change,target_corruption_change
L0H1,154,0,7.268270015716553,-1.4837267398834229,-1.5042023733258247e-06,-0.0005922599375480786,2.300366759300232e-07,-4.118774086236954e-07,-0.0015151144325500354,-0.00035451026633381844
L0H1,154,1,3.4639748334884644,10.117300868034363,1.1590891517698765e-06,-0.005278259458236789,-3.688037395477295e-07,6.246264092624187e-07,-0.0031458472221856937,-4.1885534301400185e-05
L0H1,162,0,6.707120180130005,9.346593618392944,-2.1704414393752813e-05,0.0005370508297346532,3.771856427192688e-07,-8.773058652877808e-06,0.0002940272679552436,-0.0002300691558048129
L0H1,162,1,7.759797930717468,7.023754358291626,1.7804442904889584e-05,-0.006987136614043266,1.3969838619232178e-08,4.877452738583088e-06,-0.0025561219081282616,0.0005435775965452194
L0H1,176,0,9.172008872032166,0.9334995746612549,-0.00917720228608232,-2.618199505377561e-05,-2.255546860396862e-09,-0.000630225520581007,0.0001246854371856898,3.903041942976415e-07
L0H1,176,1,5.6944358348846436,5.451282620429993,0.007496321166399866,-0.00695472676306963,1.0441988706588745e-05,0.0037913429896434536,-0.0034896181896328926,-0.0012088031508028507
L0H1,178,0,9.348368525505066,2.068503737449646,1.2092816177755594e-05,6.870250217616558e-07,-2.9423972591757774e-07,3.8414145819842815e-06,8.852803148329258e-07,3.155216109007597e-05
L0H1,178,1,4.94228720664978,7.269891381263733,-8.984818123281002e-06,-0.00629111094167456,3.1846575438976288e-06,-4.452303983271122e-06,-0.0028990167193114758,-0.0004258938133716583
L0H1,186,0,7.7053669691085815,7.226882576942444,-0.004480308140045963,2.381014928687364e-05,-3.137392923235893e-08,-0.0018205298820248572,8.631086529931054e-06,-1.8752507457975298e-06
L0H1,186,1,3.9118971824645996,7.691999316215515,0.0037684330309275538,-0.007570032248622738,9.694136679172516e-06,0.002075710972349043,-0.004882020735749393,-0.0012527313083410263
