head,family,order,j,text,final,question,punctuation,entities,importance,promotion,suppression
L7H18,0,0,253,nia,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": true}]",0.00299072265625,0.00390625,-0.00091552734375
L7H18,0,0,254,.,False,False,True,[],0.00347900390625,0.00390625,-0.00042724609375
L7H18,0,0,255,Dir,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": true, ""last"": false}]",-0.017822265625,-0.015625,-0.002197265625
L7H18,0,0,256,ln,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",-0.0009765625,0.0,-0.0009765625
L7H18,0,0,257,a,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": true}]",0.0030517578125,0.00390625,-0.0008544921875
L7H18,0,0,258,is,False,False,False,[],0.0084228515625,0.01171875,-0.0032958984375
L7H18,0,0,259,the,False,False,False,[],-0.0006103515625,0.0,-0.0006103515625
L7H18,0,0,260,mother,False,False,False,[],0.00018310546875,0.00390625,-0.00372314453125
L7H18,0,0,261,of,False,False,False,[],-0.0020751953125,0.0,-0.0020751953125
L7H18,0,0,262,Kul,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": true, ""last"": false}]",0.00787353515625,0.0078125,6.103515625e-05
L7H18,0,0,263,n,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": false}]",0.00469970703125,0.00390625,0.00079345703125
L7H18,0,0,264,ra,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": true}]",0.001953125,0.00390625,-0.001953125
L7H18,0,0,265,.,False,False,True,[],0.0101318359375,0.01171875,-0.0015869140625
L7H18,0,0,266,Question,False,True,False,[],0.00274658203125,0.00390625,-0.00115966796875
L7H18,0,0,267,:,False,True,True,[],-0.00592041015625,-0.00390625,-0.00201416015625
L7H18,0,0,268,Who,False,True,False,[],0.0030517578125,0.00390625,-0.0008544921875
L7H18,0,0,269,is,False,True,False,[],-0.0010986328125,0.0,-0.0010986328125
L7H18,0,0,270,the,False,True,False,[],0.00689697265625,0.0078125,-0.00091552734375
L7H18,0,0,271,mother,False,True,False,[],0.0042724609375,0.00390625,0.0003662109375
L7H18,0,0,272,of,False,True,False,[],0.0069580078125,0.0078125,-0.0008544921875
L7H18,0,0,273,Jar,False,True,False,[],0.0093994140625,0.01171875,-0.0023193359375
L7H18,0,0,274,lia,False,True,False,[],0.00848388671875,0.0078125,0.00067138671875
L7H18,0,0,275,?,False,True,True,[],0.002685546875,0.00390625,-0.001220703125
