head,flat_id,attribution_pairs,exact_pairs,exact_families,old_extension,selection_reasons
L16H1,513,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.009277917476560616, ""events"": 223, ""families"": 76}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.00655791267781964, ""events"": 223, ""families"": 76}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.0037734729406350346, ""events"": 223, ""families"": 76}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 5, ""score"": 0.0010534681418940576, ""events"": 223, ""families"": 76}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.009277917476560616, ""events"": 223, ""families"": 76}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.00655791267781964, ""events"": 223, ""families"": 76}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.0037734729406350346, ""events"": 223, ""families"": 76}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 5, ""score"": 0.0010534681418940576, ""events"": 223, ""families"": 76}]"
L16H2,514,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.0097365781132664, ""events"": 81, ""families"": 42}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 4, ""score"": 0.011689670661571509, ""events"": 81, ""families"": 42}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 4, ""score"": 0.0011411129498377526, ""events"": 81, ""families"": 42}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 4, ""score"": 0.0097365781132664, ""events"": 81, ""families"": 42}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.011689670661571509, ""events"": 81, ""families"": 42}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 4, ""score"": 0.0011411129498377526, ""events"": 81, ""families"": 42}]"
L16H4,516,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.01415589768451658, ""events"": 63, ""families"": 32}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.00041638198134200544, ""events"": 63, ""families"": 32}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 2, ""score"": 0.00875194134641788, ""events"": 63, ""families"": 32}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.000988428977507283, ""events"": 63, ""families"": 32}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 8, ""score"": 0.010262235836650304, ""events"": 78, ""families"": 37}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.01415589768451658, ""events"": 63, ""families"": 32}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.00041638198134200544, ""events"": 63, ""families"": 32}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 2, ""score"": 0.00875194134641788, ""events"": 63, ""families"": 32}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.000988428977507283, ""events"": 63, ""families"": 32}]"
L16H16,528,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 9, ""score"": 0.01564971533701802, ""events"": 77, ""families"": 32}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 3, ""score"": 0.006737707783723015, ""events"": 75, ""families"": 32}]"
L16H21,533,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 4, ""score"": 0.009786698997378317, ""events"": 230, ""families"": 79}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 2, ""score"": 0.018495307651958483, ""events"": 230, ""families"": 79}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 3, ""score"": 0.0021692556449907684, ""events"": 230, ""families"": 79}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.003928382506669441, ""events"": 230, ""families"": 79}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.00965913253902101, ""events"": 222, ""families"": 77}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 2, ""score"": 0.01906419224672733, ""events"": 222, ""families"": 77}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 3, ""score"": 0.003350484595247, ""events"": 222, ""families"": 77}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.0044655327865107675, ""events"": 222, ""families"": 77}]"
L16H24,536,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.011341950545043108, ""events"": 68, ""families"": 35}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 4, ""score"": 0.001235581919311713, ""events"": 68, ""families"": 35}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.022721252403266372, ""events"": 68, ""families"": 35}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 2, ""score"": 0.003585940890960276, ""events"": 68, ""families"": 35}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 2, ""score"": 0.012614883777534978, ""events"": 68, ""families"": 35}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.011341950545043108, ""events"": 68, ""families"": 35}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 4, ""score"": 0.001235581919311713, ""events"": 68, ""families"": 35}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.022721252403266372, ""events"": 68, ""families"": 35}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 2, ""score"": 0.003585940890960276, ""events"": 68, ""families"": 35}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 2, ""score"": 0.012614883777534978, ""events"": 68, ""families"": 35}]"
L16H31,543,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.02937963526208131, ""events"": 52, ""families"": 28}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.026854552259291748, ""events"": 52, ""families"": 28}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 2, ""score"": 0.012882887287386915, ""events"": 23, ""families"": 14}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.01219223949102877, ""events"": 23, ""families"": 14}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.01623025922925167, ""events"": 23, ""families"": 14}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.003830537212909096, ""events"": 23, ""families"": 14}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.015539611432893527, ""events"": 23, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 7, ""score"": 0.011333628892316483, ""events"": 30, ""families"": 18}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.025189295894017926, ""events"": 30, ""families"": 18}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 2, ""score"": 0.010848694563596106, ""events"": 30, ""families"": 18}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.02331456453787353, ""events"": 30, ""families"": 18}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 2, ""score"": 0.012882887287386915, ""events"": 23, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.01219223949102877, ""events"": 23, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.01623025922925167, ""events"": 23, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.003830537212909096, ""events"": 23, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.015539611432893527, ""events"": 23, ""families"": 14}]"
L17H5,549,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.022880036868702838, ""events"": 65, ""families"": 34}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 7, ""score"": 0.006059165166116858, ""events"": 65, ""families"": 34}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 2, ""score"": 0.025760038934337592, ""events"": 32, ""families"": 20}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.00818287800405718, ""events"": 32, ""families"": 20}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 5, ""score"": 0.01274667883941826, ""events"": 32, ""families"": 20}]"
L17H24,568,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.04774379096208857, ""events"": 21, ""families"": 13}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.04191331915820065, ""events"": 21, ""families"": 13}]"
L18H15,591,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 9, ""score"": 0.021350123325458895, ""events"": 45, ""families"": 18}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 4, ""score"": 0.0068013697353800934, ""events"": 39, ""families"": 17}]"
