pair_id,family,order,writer,site,readout,intact_contrast,head_site_shift,head_span_shift,entity_swap_shift,irrelevant_shift,none_contrast
056/direct/base/0/order1,56,1,L15H25,query_is,identity,-0.34375,0.01171875,0.01171875,0.109375,0.0859375,-0.59375
056/direct/base/0/order1,56,1,L15H25,query_is,mother_of,0.30078125,0.001953125,0.001953125,0.005859375,0.0078125,0.34765625
056/direct/base/0/order1,56,1,L17H1,query_is,identity,-0.0546875,-0.53125,-0.53125,-0.5,-0.4257807731628418,-0.59375
056/direct/base/0/order1,56,1,L17H1,query_is,mother_of,0.328125,-0.025390625,-0.025390625,-0.013671875,-0.01171875,0.34765625
056/direct/base/0/order1,56,1,L17H1,query_period,identity,-0.41796875,-0.01171875,-0.01171875,-0.01953125,0.00390625,-0.59375
056/direct/base/0/order1,56,1,L17H1,query_period,mother_of,0.3203125,-0.013671875,-0.013671875,-0.005859375,-0.025390625,0.34765625
064/direct/base/0/order0,64,0,L15H25,query_child_last,identity,-0.35546875,-0.01953125,-0.01953125,0.05859375,0.8945317268371582,-0.45703125
064/direct/base/0/order0,64,0,L15H25,query_child_last,mother_of,-0.447265625,0.0,0.0,0.001953125,0.01953125,-0.34375
064/direct/base/0/order0,64,0,L15H25,query_is,identity,0.5,0.007812023162841797,0.007812023162841797,-0.00390625,0.015625,-0.45703125
064/direct/base/0/order0,64,0,L15H25,query_is,mother_of,-0.41015625,0.0,0.0,0.0,0.001953125,-0.34375
064/direct/base/0/order0,64,0,L17H1,query_is,identity,0.484375,-0.39453125,-0.39453125,-0.4921875,-0.61328125,-0.45703125
064/direct/base/0/order0,64,0,L17H1,query_is,mother_of,-0.40234375,-0.013671875,-0.013671875,-0.005859375,-0.013671875,-0.34375
064/direct/base/0/order0,64,0,L17H1,query_period,identity,0.43359375,-0.0546875,-0.0546875,-0.0625,-0.2265625,-0.45703125
064/direct/base/0/order0,64,0,L17H1,query_period,mother_of,-0.41015625,-0.0234375,-0.0234375,-0.029296875,-0.009765625,-0.34375
064/direct/base/0/order1,64,1,L15H25,query_child_last,identity,-0.09765625,-0.0234375,-0.0234375,-0.01953125,0.671875,-0.45703125
064/direct/base/0/order1,64,1,L15H25,query_child_last,mother_of,-0.4453125,-0.00390625,-0.00390625,0.001953125,0.01171875,-0.34375
064/direct/base/0/order1,64,1,L15H25,query_is,identity,0.546875,0.015625,0.015625,0.01171875,-0.0703129768371582,-0.45703125
064/direct/base/0/order1,64,1,L15H25,query_is,mother_of,-0.408203125,0.0,0.0,0.0,-0.001953125,-0.34375
064/direct/base/0/order1,64,1,L17H1,query_is,identity,0.6640625,-0.70703125,-0.70703125,-0.78515625,-0.64453125,-0.45703125
064/direct/base/0/order1,64,1,L17H1,query_is,mother_of,-0.39453125,-0.033203125,-0.033203125,-0.017578125,-0.017578125,-0.34375
064/direct/base/0/order1,64,1,L17H1,query_period,identity,0.23828125,-0.03125,-0.03125,-0.0390625,0.125,-0.45703125
064/direct/base/0/order1,64,1,L17H1,query_period,mother_of,-0.412109375,-0.0234375,-0.0234375,-0.013671875,-0.0234375,-0.34375
082/direct/base/0/order0,82,0,L15H25,query_child_last,identity,0.41015625,0.0078125,0.0078125,-0.00390625,-0.25,1.21875
082/direct/base/0/order0,82,0,L15H25,query_child_last,mother_of,1.70703125,0.0,0.0,0.001953125,-0.00390625,1.681640625
082/direct/base/0/order0,82,0,L15H25,query_is,identity,0.24609375,0.0078125,0.0078125,-0.421875,-0.4375,1.21875
082/direct/base/0/order0,82,0,L15H25,query_is,mother_of,1.705078125,-0.001953125,-0.001953125,-0.0078125,-0.00390625,1.681640625
082/direct/base/0/order0,82,0,L17H1,query_is,identity,0.1406245231628418,-0.45703125,-0.45703125,-0.6992182731628418,-0.8984370231628418,1.21875
082/direct/base/0/order0,82,0,L17H1,query_is,mother_of,1.70703125,-0.00390625,-0.00390625,-0.00390625,-0.009765625,1.681640625
082/direct/base/0/order0,82,0,L17H1,query_period,identity,0.078125,-0.1171875,-0.1171875,-0.12109375,-0.140625,1.21875
082/direct/base/0/order0,82,0,L17H1,query_period,mother_of,1.712890625,-0.0546875,-0.0546875,-0.046875,-0.01953125,1.681640625
082/direct/base/0/order1,82,1,L15H25,query_child_last,identity,0.2265625,0.01953125,0.01953125,-0.015625,0.1484375,1.21875
082/direct/base/0/order1,82,1,L15H25,query_child_last,mother_of,1.701171875,0.001953125,0.001953125,0.009765625,0.015625,1.681640625
082/direct/base/0/order1,82,1,L15H25,query_is,identity,0.46875,0.00390625,0.00390625,-0.60546875,-0.640625,1.21875
082/direct/base/0/order1,82,1,L15H25,query_is,mother_of,1.7109375,0.0,0.0,-0.0078125,-0.021484375,1.681640625
082/direct/base/0/order1,82,1,L17H1,query_is,identity,0.22265625,-0.609375,-0.609375,-0.9960932731628418,-0.7460942268371582,1.21875
082/direct/base/0/order1,82,1,L17H1,query_is,mother_of,1.708984375,-0.009765625,-0.009765625,-0.01171875,-0.013671875,1.681640625
082/direct/base/0/order1,82,1,L17H1,query_period,identity,0.00390625,-0.015625,-0.015625,-0.0390625,-0.08984375,1.21875
082/direct/base/0/order1,82,1,L17H1,query_period,mother_of,1.70703125,-0.021484375,-0.021484375,-0.017578125,-0.037109375,1.681640625
096/direct/base/0/order0,96,0,L15H25,query_child_last,identity,1.234375,-0.01171875,-0.01171875,-0.05078125,-0.6484375,2.6953125
096/direct/base/0/order0,96,0,L15H25,query_child_last,mother_of,1.322265625,0.001953125,0.001953125,0.00390625,0.013671875,1.427734375
096/direct/base/0/order0,96,0,L15H25,query_is,identity,1.35546875,0.01953125,0.01953125,-0.21484375,-0.13671875,2.6953125
096/direct/base/0/order0,96,0,L15H25,query_is,mother_of,1.357421875,-0.00390625,-0.00390625,0.001953125,-0.001953125,1.427734375
096/direct/base/0/order0,96,0,L17H1,query_is,identity,1.71875,-0.296875,-0.296875,-0.3515625,-0.28515625,2.6953125
096/direct/base/0/order0,96,0,L17H1,query_is,mother_of,1.3515625,0.01171875,0.01171875,0.00390625,-0.01171875,1.427734375
096/direct/base/0/order0,96,0,L17H1,query_period,identity,1.62890625,-0.0625,-0.0625,-0.08203125,-0.0390625,2.6953125
096/direct/base/0/order0,96,0,L17H1,query_period,mother_of,1.341796875,-0.013671875,-0.013671875,-0.033203125,-0.005859375,1.427734375
096/direct/base/0/order1,96,1,L15H25,query_child_last,identity,0.859375,0.015625,0.015625,0.03515625,-0.41015625,2.6953125
096/direct/base/0/order1,96,1,L15H25,query_child_last,mother_of,1.33984375,0.001953125,0.001953125,0.00390625,-0.017578125,1.427734375
096/direct/base/0/order1,96,1,L15H25,query_is,identity,1.26953125,0.01953125,0.01953125,-0.0234375,-0.15234375,2.6953125
096/direct/base/0/order1,96,1,L15H25,query_is,mother_of,1.359375,0.0,0.0,0.0,-0.01953125,1.427734375
096/direct/base/0/order1,96,1,L17H1,query_is,identity,1.6484375,-0.171875,-0.171875,-0.26171875,-0.25390625,2.6953125
096/direct/base/0/order1,96,1,L17H1,query_is,mother_of,1.35546875,-0.001953125,-0.001953125,-0.017578125,-0.005859375,1.427734375
096/direct/base/0/order1,96,1,L17H1,query_period,identity,1.5859375,0.0078125,0.0078125,0.0234375,-0.05078125,2.6953125
096/direct/base/0/order1,96,1,L17H1,query_period,mother_of,1.34375,-0.001953125,-0.001953125,-0.017578125,-0.01953125,1.427734375
098/direct/base/0/order0,98,0,L15H25,query_child_last,identity,0.44140625,0.015625,0.015625,-0.03125,0.390625,-0.3671875
098/direct/base/0/order0,98,0,L15H25,query_child_last,mother_of,0.07421875,0.0078125,0.0078125,0.0,0.01953125,0.1953125
098/direct/base/0/order0,98,0,L15H25,query_is,identity,0.171875,0.00390625,0.00390625,-0.07421875,-0.12109375,-0.3671875
098/direct/base/0/order0,98,0,L15H25,query_is,mother_of,0.0625,0.00390625,0.00390625,0.0078125,0.0078125,0.1953125
098/direct/base/0/order0,98,0,L17H1,query_is,identity,1.0468745231628418,-0.3281245231628418,-0.3281245231628418,-0.3164052963256836,-0.3789057731628418,-0.3671875
098/direct/base/0/order0,98,0,L17H1,query_is,mother_of,0.0625,0.0,0.0,0.0,0.0,0.1953125
098/direct/base/0/order0,98,0,L17H1,query_period,identity,1.04296875,-0.09765625,-0.09765625,-0.0703125,-0.16796875,-0.3671875
098/direct/base/0/order0,98,0,L17H1,query_period,mother_of,0.07421875,-0.01953125,-0.01953125,-0.0234375,-0.0078125,0.1953125
098/direct/base/0/order1,98,1,L15H25,query_child_last,identity,0.37109375,0.015625,0.015625,-0.00390625,0.80078125,-0.3671875
098/direct/base/0/order1,98,1,L15H25,query_child_last,mother_of,0.078125,0.0,0.0,0.0,0.01953125,0.1953125
098/direct/base/0/order1,98,1,L15H25,query_is,identity,0.109375,0.0078125,0.0078125,-0.078125,-0.0625,-0.3671875
098/direct/base/0/order1,98,1,L15H25,query_is,mother_of,0.0703125,0.0,0.0,0.0,-0.00390625,0.1953125
098/direct/base/0/order1,98,1,L17H1,query_is,identity,0.9843745231628418,-0.34375,-0.34375,-0.3046865463256836,-0.2812495231628418,-0.3671875
098/direct/base/0/order1,98,1,L17H1,query_is,mother_of,0.0625,-0.00390625,-0.00390625,0.0,0.0,0.1953125
098/direct/base/0/order1,98,1,L17H1,query_period,identity,0.890625,-0.003906726837158203,-0.003906726837158203,-0.015624523162841797,0.09765625,-0.3671875
098/direct/base/0/order1,98,1,L17H1,query_period,mother_of,0.0703125,-0.00390625,-0.00390625,-0.0078125,-0.015625,0.1953125
102/direct/base/0/order0,102,0,L15H25,query_child_last,identity,-6.01953125,-0.023437023162841797,-0.023437023162841797,-0.08984375,0.265625,-5.789063453674316
102/direct/base/0/order0,102,0,L15H25,query_child_last,mother_of,-2.898437023162842,-4.76837158203125e-07,-4.76837158203125e-07,0.0039052963256835938,-4.76837158203125e-07,-2.964844226837158
102/direct/base/0/order0,102,0,L15H25,query_is,identity,-5.296875,0.015625,0.015625,-0.2734375,-0.39453125,-5.789063453674316
102/direct/base/0/order0,102,0,L15H25,query_is,mother_of,-2.929687023162842,0.0,0.0,0.0039052963256835938,0.003905773162841797,-2.964844226837158
102/direct/base/0/order0,102,0,L17H1,query_is,identity,-5.55859375,-0.5234370231628418,-0.5234370231628418,-0.5078125,-0.90234375,-5.789063453674316
102/direct/base/0/order0,102,0,L17H1,query_is,mother_of,-2.953125,-0.015625,-0.015625,-0.0078125,-0.0234375,-2.964844226837158
102/direct/base/0/order0,102,0,L17H1,query_period,identity,-5.675781726837158,-0.0976552963256836,-0.0976552963256836,-0.1289057731628418,-0.1914057731628418,-5.789063453674316
102/direct/base/0/order0,102,0,L17H1,query_period,mother_of,-2.906249523162842,-0.0546875,-0.0546875,-0.0585942268371582,-0.0507817268371582,-2.964844226837158
102/direct/base/0/order1,102,1,L15H25,query_child_last,identity,-6.605468273162842,-0.015625,-0.015625,-0.0664067268371582,1.0937495231628418,-5.789063453674316
102/direct/base/0/order1,102,1,L15H25,query_child_last,mother_of,-2.906249523162842,-4.76837158203125e-07,-4.76837158203125e-07,-0.003906726837158203,0.019530773162841797,-2.964844226837158
102/direct/base/0/order1,102,1,L15H25,query_is,identity,-5.3515625,0.01171875,0.01171875,-0.32421875,-0.22265625,-5.789063453674316
102/direct/base/0/order1,102,1,L15H25,query_is,mother_of,-2.9296875,0.003906726837158203,0.003906726837158203,0.0,0.00390625,-2.964844226837158
102/direct/base/0/order1,102,1,L17H1,query_is,identity,-5.53515625,-0.8671870231628418,-0.8671870231628418,-0.84375,-0.546875,-5.789063453674316
102/direct/base/0/order1,102,1,L17H1,query_is,mother_of,-2.949219226837158,-0.031249046325683594,-0.031249046325683594,-0.023437023162841797,-0.015624523162841797,-2.964844226837158
102/direct/base/0/order1,102,1,L17H1,query_period,identity,-5.8203125,-0.0468745231628418,-0.0468745231628418,-0.0625004768371582,0.04296875,-5.789063453674316
102/direct/base/0/order1,102,1,L17H1,query_period,mother_of,-2.949218273162842,-0.003906726837158203,-0.003906726837158203,-0.003906726837158203,-0.01953125,-2.964844226837158
116/direct/base/0/order0,116,0,L15H25,query_child_last,identity,-1.203125,0.023437023162841797,0.023437023162841797,0.0468745231628418,0.0703125,-0.16796875
116/direct/base/0/order0,116,0,L15H25,query_child_last,mother_of,0.5234375,0.001953125,0.001953125,0.0078125,-0.01953125,0.5625
116/direct/base/0/order0,116,0,L15H25,query_is,identity,-0.84375,0.007812023162841797,0.007812023162841797,-0.1679692268371582,-0.3554682731628418,-0.16796875
116/direct/base/0/order0,116,0,L15H25,query_is,mother_of,0.521484375,0.0,0.0,-0.00390625,-0.00390625,0.5625
116/direct/base/0/order0,116,0,L17H1,query_is,identity,-0.40625,-0.5859375,-0.5859375,-0.6835942268371582,-0.87109375,-0.16796875
116/direct/base/0/order0,116,0,L17H1,query_is,mother_of,0.56640625,-0.01953125,-0.01953125,-0.015625,-0.01953125,0.5625
116/direct/base/0/order0,116,0,L17H1,query_period,identity,-0.85546875,-0.1015629768371582,-0.1015629768371582,-0.109375,0.15234375,-0.16796875
116/direct/base/0/order0,116,0,L17H1,query_period,mother_of,0.583984375,-0.0546875,-0.0546875,-0.068359375,-0.029296875,0.5625
116/direct/base/0/order1,116,1,L15H25,query_child_last,identity,-1.16015625,-0.00390625,-0.00390625,0.0546875,0.23046875,-0.16796875
116/direct/base/0/order1,116,1,L15H25,query_child_last,mother_of,0.51953125,0.001953125,0.001953125,0.00390625,-0.009765625,0.5625
116/direct/base/0/order1,116,1,L15H25,query_is,identity,-0.93359375,0.0078125,0.0078125,-0.24609375,-0.1445317268371582,-0.16796875
116/direct/base/0/order1,116,1,L15H25,query_is,mother_of,0.525390625,0.0,0.0,-0.0078125,-0.005859375,0.5625
116/direct/base/0/order1,116,1,L17H1,query_is,identity,-0.265625,-0.81640625,-0.81640625,-1.13671875,-0.8203129768371582,-0.16796875
116/direct/base/0/order1,116,1,L17H1,query_is,mother_of,0.564453125,-0.01953125,-0.01953125,-0.01953125,-0.009765625,0.5625
116/direct/base/0/order1,116,1,L17H1,query_period,identity,-0.68359375,-0.011718273162841797,-0.011718273162841797,-0.023437976837158203,-0.265625,-0.16796875
116/direct/base/0/order1,116,1,L17H1,query_period,mother_of,0.576171875,-0.017578125,-0.017578125,-0.021484375,-0.064453125,0.5625
130/direct/base/0/order0,130,0,L15H25,query_child_last,identity,0.1875,0.00390625,0.00390625,0.00390625,0.13671875,-0.1484375
130/direct/base/0/order0,130,0,L15H25,query_child_last,mother_of,-0.728515625,0.0,0.0,0.00390625,0.009765625,-0.65625
130/direct/base/0/order0,130,0,L15H25,query_is,identity,0.1171875,0.0,0.0,0.0,-0.0390625,-0.1484375
130/direct/base/0/order0,130,0,L15H25,query_is,mother_of,-0.712890625,0.001953125,0.001953125,-0.005859375,-0.00390625,-0.65625
130/direct/base/0/order0,130,0,L17H1,query_is,identity,0.203125,-0.41015625,-0.41015625,-0.3203125,-0.42578125,-0.1484375
130/direct/base/0/order0,130,0,L17H1,query_is,mother_of,-0.72265625,-0.00390625,-0.00390625,-0.00390625,-0.005859375,-0.65625
130/direct/base/0/order0,130,0,L17H1,query_period,identity,-0.125,-0.02734375,-0.02734375,-0.0234375,0.1015625,-0.1484375
130/direct/base/0/order0,130,0,L17H1,query_period,mother_of,-0.69921875,-0.017578125,-0.017578125,-0.01953125,-0.02734375,-0.65625
130/direct/base/0/order1,130,1,L15H25,query_child_last,identity,0.33203125,-0.00390625,-0.00390625,0.0078125,-0.02734375,-0.1484375
130/direct/base/0/order1,130,1,L15H25,query_child_last,mother_of,-0.71875,0.0,0.0,0.0,-0.005859375,-0.65625
130/direct/base/0/order1,130,1,L15H25,query_is,identity,0.1562495231628418,-0.011718273162841797,-0.011718273162841797,-0.0664057731628418,4.76837158203125e-07,-0.1484375
130/direct/base/0/order1,130,1,L15H25,query_is,mother_of,-0.712890625,0.001953125,0.001953125,-0.00390625,-0.005859375,-0.65625
130/direct/base/0/order1,130,1,L17H1,query_is,identity,0.18359375,-0.51171875,-0.51171875,-0.4140629768371582,-0.2734375,-0.1484375
130/direct/base/0/order1,130,1,L17H1,query_is,mother_of,-0.716796875,-0.009765625,-0.009765625,-0.0078125,-0.009765625,-0.65625
130/direct/base/0/order1,130,1,L17H1,query_period,identity,-0.015625,-0.019530773162841797,-0.019530773162841797,-0.015625,-0.13671875,-0.1484375
130/direct/base/0/order1,130,1,L17H1,query_period,mother_of,-0.71484375,-0.01171875,-0.01171875,-0.01171875,-0.01171875,-0.65625
150/direct/base/0/order0,150,0,L15H25,query_child_last,identity,5.187500476837158,0.1210932731628418,0.1210932731628418,0.2539052963256836,-0.3476567268371582,5.4296875
150/direct/base/0/order0,150,0,L15H25,query_child_last,mother_of,1.80859375,0.0,0.0,0.0078125,-0.00390625,1.841796875
150/direct/base/0/order0,150,0,L15H25,query_is,identity,4.5390625,-0.00390625,-0.00390625,-0.0546875,0.0078125,5.4296875
150/direct/base/0/order0,150,0,L15H25,query_is,mother_of,1.826171875,0.001953125,0.001953125,0.00390625,0.005859375,1.841796875
150/direct/base/0/order0,150,0,L17H1,query_is,identity,5.0546875,-0.28515625,-0.28515625,-0.3828125,-0.36328125,5.4296875
