id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G2:L15H3:change,restore,89,0.0038401142934734902,0.014615648248222438,0.00341796875,-0.0493927001953125,0.0698089599609375,0.5842696629213483,0.0,False,below_rule,-0.00013834264840972558,0.007929738451925553,0.023960735021012553,11.170458413241954,0.0003437741005258342,0.001308419736015167,G2,,change,483,,,
G2:L15H3:conditional,noise,89,-0.10403674238183525,0.11476349160912332,-0.088714599609375,-0.491668701171875,0.12918055057525635,0.8539325842696629,0.4606741573033708,True,coherent,-0.1279965996407391,-0.08205636870325282,0.12050080835149529,11.170458413241954,-0.009313560691341503,0.010273839028224447,G2,,conditional,483,,,
G2:L15H3:conditional,restore,89,-0.08622377374198999,0.0970475807618559,-0.08056640625,-0.34326171875,0.08511161804199219,0.8651685393258427,0.39325842696629215,False,below_rule,-0.10337790907099005,-0.069201330790359,0.11749426166663009,11.170458413241954,-0.007718910948164537,0.008687878077305353,G2,,conditional,483,,,
G2:L16H1:change,noise,89,-0.07029077846012759,0.09515159183673644,-0.05841064453125,-0.38812255859375,0.162353515625,0.7865168539325843,0.34831460674157305,False,below_rule,-0.09223763303140577,-0.049336749348747606,0.1868448391389311,11.170458413241954,-0.006292559880694045,0.00851814565854697,G2,,change,513,,,
G2:L16H1:change,restore,89,-0.07314490736200568,0.09750155652506967,-0.04895353317260742,-0.9805908203125,0.2641754150390625,0.7865168539325843,0.34831460674157305,False,below_rule,-0.10549508279628968,-0.04585299853528484,0.21109046293108652,11.170458413241954,-0.006548066753938807,0.008728518823317674,G2,,change,513,,,
G2:L16H1:conditional,noise,89,0.797624476839987,0.8028481020016617,0.65625,-0.12856948375701904,2.196044921875,0.9775280898876404,1.0,True,coherent,0.7013447331578544,0.8961978485075276,0.8883763725837964,11.170458413241954,0.07140481145289863,0.07187243999314567,G2,,conditional,513,,,
G2:L16H1:conditional,restore,89,0.7688864804385753,0.7768968303551834,0.74322509765625,-0.31024169921875,2.1189727783203125,0.9662921348314607,0.9662921348314607,True,coherent,0.6673661521311556,0.8727438658810732,0.8395363882686315,11.170458413241954,0.06883213311345426,0.06954923438363242,G2,,conditional,513,,,
G2:L16H21:change,noise,89,-0.03185427724645379,0.09198745047108511,-0.0289306640625,-0.520843505859375,0.35356903076171875,0.6292134831460674,0.3258426966292135,False,below_rule,-0.05945356575290809,-0.005499593528468962,0.19178640440608677,11.170458413241954,-0.002851653537216729,0.008234885898866883,G2,,change,533,,,
G2:L16H21:change,restore,89,-0.0660185840692413,0.1302621846788385,-0.0335845947265625,-1.28564453125,0.3182373046875,0.6404494382022472,0.3595505617977528,True,heterogeneous,-0.1157073211803865,-0.023811351382330568,0.20435672395684745,11.170458413241954,-0.0059101051744644565,0.011661310562189636,G2,,change,533,,,
G2:L16H21:conditional,noise,89,0.8926693442162503,0.8990938087527671,0.8189668655395508,-0.285888671875,2.746337890625,0.9887640449438202,0.9887640449438202,True,coherent,0.7773676984430699,1.012493367442924,0.6675254173493117,11.170458413241954,0.07991340294128312,0.08048853283289982,G2,,conditional,533,,,
G2:L16H21:conditional,restore,89,0.9992877686961313,1.000586651684193,0.85430908203125,-0.05780029296875,3.611968994140625,0.9887640449438202,0.9775280898876404,True,coherent,0.8630055227976167,1.1493103222230847,0.6348465855201978,11.170458413241954,0.08945808056646373,0.08957435896256984,G2,,conditional,533,,,
G2:L16H31:change,noise,89,0.014296846443347716,0.02392692914169826,0.010467529296875,-0.09356689453125,0.12017822265625,0.6966292134831461,0.02247191011235955,False,below_rule,0.008068822374504602,0.020564401685521826,0.045628030648392236,11.170458413241954,0.0012798800115848068,0.00214198274202733,G2,,change,543,,,
G2:L16H31:change,restore,89,0.01771686853987447,0.02434259050347832,0.01570606231689453,-0.085479736328125,0.14505767822265625,0.7865168539325843,0.02247191011235955,False,below_rule,0.011929786138320237,0.023951445737581567,0.04659659139225992,11.170458413241954,0.001586046685324222,0.002179193512293241,G2,,change,543,,,
G2:L16H31:conditional,noise,89,-0.17328275321574693,0.1743679086813766,-0.140625,-0.5068359375,0.03724205493927002,0.9775280898876404,0.6966292134831461,True,coherent,-0.19715412470062127,-0.15061901784345005,0.29830311389451614,11.170458413241954,-0.015512591050903506,0.01560973616576677,G2,,conditional,543,,,
G2:L16H31:conditional,restore,89,-0.16655344909496522,0.16802926545732477,-0.14215087890625,-0.550537109375,0.02685546875,0.9662921348314607,0.6853932584269663,True,coherent,-0.19050915683253428,-0.14407293300950125,0.29138720437382043,11.170458413241954,-0.014910171358547417,0.015042289156023845,G2,,conditional,543,,,
G2:L17H24:change,noise,89,-0.02011471517970053,0.04410512125893925,-0.017223358154296875,-0.1544189453125,0.180511474609375,0.7191011235955056,0.1348314606741573,False,below_rule,-0.03167837925171584,-0.008000060279717629,0.09142678775144426,11.170458413241954,-0.0018007063305348024,0.003948371644860616,G2,,change,568,,,
