id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind,head,cohort
G2:L16H24:change,noise,20,0.011239147186279297,0.014372539520263673,0.00946807861328125,-0.014617919921875,0.0468292236328125,0.75,0.0,False,below_rule,0.0048862814903259276,0.017897188663482652,0.022093772888183594,11.200063323974609,0.0010034896108329161,0.001283255201736059,G2,change,536,
G2:L16H24:conditional,noise,20,-0.060651206970214845,0.07893733978271485,-0.04228401184082031,-0.23046875,0.0755615234375,0.7,0.35,False,below_rule,-0.09956677913665771,-0.02376516342163086,0.19667472839355468,11.200063323974609,-0.00541525571916957,0.007047936917797894,G2,conditional,536,
G2:L16H31:change,noise,20,0.010909175872802735,0.017055416107177736,0.009979248046875,-0.02520751953125,0.0473175048828125,0.75,0.0,False,below_rule,0.002986772060394287,0.018804199695587154,0.03491840362548828,11.200063323974609,0.0009740280529888427,0.0015227963997908197,G2,change,543,
G2:L16H31:conditional,noise,20,-0.16552391052246093,0.16552391052246093,-0.12384033203125,-0.3536376953125,-0.04010009765625,1.0,0.65,True,coherent,-0.20666190147399902,-0.12597043037414551,0.2755424499511719,11.200063323974609,-0.014778837023907185,0.014778837023907185,G2,conditional,543,
G2:L16H4:change,noise,20,-0.0008905410766601562,0.002971458435058594,-0.000675201416015625,-0.008514404296875,0.00689697265625,0.55,0.0,False,below_rule,-0.002573394775390625,0.0007606649398803699,0.009403610229492187,11.200063323974609,-7.951214657455406e-05,0.0002653072888166583,G2,change,516,
G2:L16H4:conditional,noise,20,0.015048027038574219,0.03023052215576172,0.023038864135742188,-0.031982421875,0.060516357421875,0.6,0.0,False,below_rule,0.0019007158279418948,0.02805306434631343,0.032128524780273435,11.200063323974609,0.0013435662463052993,0.002699138503177114,G2,conditional,516,
G2:L17H24:change,noise,20,-0.014768314361572266,0.04067869186401367,-0.0222015380859375,-0.11815643310546875,0.126312255859375,0.65,0.1,False,below_rule,-0.036889712810516354,0.008363363742828341,0.08503246307373047,11.200063323974609,-0.001318592041346725,0.003632005524195364,G2,change,568,
G2:L17H24:conditional,noise,20,0.4817054748535156,0.4817054748535156,0.45603179931640625,0.19561767578125,1.1585693359375,1.0,1.0,True,coherent,0.3903665542602539,0.5884400177001952,0.9342514038085937,11.200063323974609,0.04300917422693383,0.04300917422693383,G2,conditional,568,
G2:L17H5:change,noise,20,0.0025647163391113283,0.010295963287353516,0.0031194686889648438,-0.030303955078125,0.02294158935546875,0.7,0.0,False,below_rule,-0.003186802864074707,0.007852616310119624,0.01769084930419922,11.200063323974609,0.00022899123557822685,0.0009192772388450879,G2,change,549,
G2:L17H5:conditional,noise,20,-0.004983139038085937,0.036758041381835936,-0.00800323486328125,-0.10919189453125,0.102752685546875,0.55,0.1,False,below_rule,-0.025247793197631836,0.01564688682556151,0.14510116577148438,11.200063323974609,-0.00044492061285217376,0.003281949424620884,G2,conditional,549,
